Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa)
49,12.873453,0,0,0,0.57664568,0,0,0.77431221,4.0510621,0,0,0,0,0,0,0,0
50,13.044682,0,0,0,0.58431561,0,0,0.7846113,4.1049451,0,0,0,0,0,0,0,0
51,13.215911,0,0,0,0.59198555,0,0,0.79491039,4.1588281,0,0,0,0,0,0,0,0
52,13.38714,0,0,0,0.59965549,0,0,0.80520948,4.2127111,0,0,0,0,0,0,0,0
53,13.55837,0,0,0,0.60732543,0,0,0.81550857,4.2665941,0,0,0,0,0,0,0,0
54,13.729599,0,0,0,0.61499537,0,0,0.82580766,4.3204771,0,0,0,0,0,0,0,0
55,13.900828,0,0,0,0.6226653,0,0,0.83610675,4.37436,0,0,0,0,0,0,0,0
56,14.072057,0,0,0,0.63033524,0,0,0.84640585,4.428243,0,0,0,0,0,0,0,0
57,14.243286,0,0,0,0.63800518,0,0,0.85670494,4.482126,0,0,0,0,0,0,0,0
58,14.414516,0,0,0,0.64567512,0,0,0.86700403,4.536009,0,0,0,0,0,0,0,0
59,14.585745,0,0,0,0.65334505,0,0,0.87730312,4.589892,0,0,0,0,0,0,0,0
60,14.756974,0,0,0,0.66101499,0,0,0.88760221,4.643775,0,0,0,0,0,0,0,0
61,14.928203,0,0,0,0.66868493,0,0,0.8979013,4.697658,0,0,0,0,0,0,0,0
62,15.099432,0,0,0,0.67635487,0,0,0.90820039,4.751541,0,0,0,0,0,0,0,0
63,15.270662,0,0,0,0.68402481,0,0,0.91849948,4.805424,0,0,0,0,0,0,0,0
64,15.441891,0,0,0,0.69169474,0,0,0.92879858,4.859307,0,0,0,0,0,0,0,0
65,15.61312,0,0,0,0.69936468,0,0,0.93909767,4.91319,0,0,0,0,0,0,0,0
66,15.784349,0,0,0,0.70703462,0,0,0.94939676,4.967073,0,0,0,0,0,0,0,0
67,15.955578,0,0,0,0.71470456,0,0,0.95969585,5.020956,0,0,0,0,0,0,0,0
68,16.126808,0,0,0,0.7223745,0,0,0.96999494,5.0748389,0,0,0,0,0,0,0,0
69,16.298037,0,0,0,0.73004443,0,0,0.98029403,5.1287219,0,0,0,0,0,0,0,0
70,16.469266,0,0,0,0.73771437,0,0,0.99059312,5.1826049,0,0,0,0,0,0,0,0
71,16.640495,0,0,0,0.74538431,0,0,1.0008922,5.2364879,0,0,0,0,0,0,0,0
72,16.811725,0,0,0,0.75305425,0,0,1.0111913,5.2903709,0,0,0,0,0,0,0,0
73,16.982954,0,0,0,0.76072418,0,0,1.0214904,5.3442539,0,0,0,0,0,0,0,0
74,17.154183,0,0,0,0.76839412,0,0,1.0317895,5.3981369,0,0,0,0,0,0,0,0
75,17.325412,0,0,0,0.77606406,0,0,1.0420886,5.4520199,0,0,0,0,0,0,0,0
76,17.496641,0,0,0,0.783734,0,0,1.0523877,5.5059029,0,0,0,0,0,0,0,0
77,17.667871,0,0,0,0.79140394,0,0,1.0626868,5.5597859,0,0,0,0,0,0,0,0
78,17.8391,0,0,0,0.79907387,0,0,1.0729859,5.6136689,0,0,0,0,0,0,0,0
79,18.010329,0,0,0,0.80674381,0,0,1.0832849,5.6675519,0,0,0,0,0,0,0,0
80,18.181558,0,0,0,0.81441375,0,0,1.093584,5.7214348,0,0,0,0,0,0,0,0
81,18.352787,0,0,0,0.82208369,0,0,1.1038831,5.7753178,0,0,0,0,0,0,0,0
82,18.524017,0,0,0,0.82975362,0,0,1.1141822,5.8292008,0,0,0,0,0,0,0,0
83,18.695246,0,0,0,0.83742356,0,0,1.1244813,5.8830838,0,0,0,0,0,0,0,0
84,18.866475,0,0,0,0.8450935,0,0,1.1347804,5.9369668,0,0,0,0,0,0,0,0
85,19.037704,0,0,0,0.85276344,0,0,1.1450795,5.9908498,0,0,0,0,0,0,0,0
86,19.208933,0,0,0,0.86043338,0,0,1.1553786,6.0447328,0,0,0,0,0,0,0,0
87,19.380163,0,0,0,0.86810331,0,0,1.1656777,6.0986158,0,0,0,0,0,0,0,0
88,19.551392,0,0,0,0.87577325,0,0,1.1759768,6.1524988,0,0,0,0,0,0,0,0
89,19.722621,0,0,0,0.88344319,0,0,1.1862759,6.2063818,0,0,0,0,0,0,0,0
90,19.89385,0,0,0,0.89111313,0,0,1.196575,6.2602648,0,0,0,0,0,0,0,0
91,20.065079,0,0,0,0.89878307,0,0,1.206874,6.3141478,0,0,0,0,0,0,0,0
92,20.236309,0,0,0,0.906453,0,0,1.2171731,6.3680308,0,0,0,0,0,0,0,0
93,20.407538,0,0,0,0.91412294,0,0,1.2274722,6.4219137,0,0,0,0,0,0,0,0
94,20.578767,0,0,0,0.92179288,0,0,1.2377713,6.4757967,0,0,0,0,0,0,0,0
95,20.749996,0,0,0,0.92946282,0,0,1.2480704,6.5296797,0,0,0,0,0,0,0,0
96,20.921225,0,0,0,0.93713275,0,0,1.2583695,6.5835627,0,0,0,0,0,0,0,0
97,21.092455,0,0,0,0.94480269,0,0,1.2686686,6.6374457,0,0,0,0,0,0,0,0
98,21.263684,0,0,0,0.95247263,0,0,1.2789677,6.6913287,0,0,0,0,0,0,0,0
99,21.434913,0,0,0,0.96014257,0,0,1.2892668,6.7452117,0,0,0,0,0,0,0,0
100,21.606142,0,0,0,0.96781251,0,0,1.2995659,6.7990947,0,0,0,0,0,0,0,0
101,21.777372,0,0,0,0.97548244,0,0,1.309865,6.8529777,0,0,0,0,0,0,0,0
102,21.948601,0,0,0,0.98315238,0,0,1.320164,6.9068607,0,0,0,0,0,0,0,0
103,22.11983,0,0,0,0.99082232,0,0,1.3304631,6.9607437,0,0,0,0,0,0,0,0
104,22.291059,0,0,0,0.99849226,0,0,1.3407622,7.0146267,0,0,0,0,0,0,0,0
105,22.462288,0,0,0,1.0061622,0,0,1.3510613,7.0685097,0,0,0,0,0,0,0,0
106,22.633518,0,0,0,1.0138321,0,0,1.3613604,7.1223926,0,0,0,0,0,0,0,0
