Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa)
0,-1.8028782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.098218512,-0.20295991,-0.093378727,-0.020690729,0,0,0,0,0,0,0,-0.37724988,-1.1653707,-1.0332676,-0.14523795,-0.030203176,0,0,0,0,0,0,-0.40300929,-1.1126689,-0.85815274,-0.1223035,-0.023282568,0,0,0,0,0,0,0,-0.066955702,-0.16498616,-0.079973215,-0.023929965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1.7210085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.093758359,-0.1937434,-0.089138351,-0.019751152,0,0,0,0,0,0,0,-0.36011877,-1.1124506,-0.98634634,-0.13864262,-0.028831634,0,0,0,0,0,0,-0.38470843,-1.062142,-0.81918358,-0.11674963,-0.022225295,0,0,0,0,0,0,0,-0.063915209,-0.15749405,-0.07634159,-0.022843293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-1.6391389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.089298205,-0.18452688,-0.084897974,-0.018811575,0,0,0,0,0,0,0,-0.34298766,-1.0595305,-0.93942513,-0.13204729,-0.027460093,0,0,0,0,0,0,-0.36640757,-1.0116152,-0.78021442,-0.11119577,-0.021168021,0,0,0,0,0,0,0,-0.060874716,-0.15000195,-0.072709965,-0.021756621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-1.5572693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.084838052,-0.17531037,-0.080657598,-0.017871999,0,0,0,0,0,0,0,-0.32585655,-1.0066104,-0.89250391,-0.12545196,-0.026088551,0,0,0,0,0,0,-0.34810671,-0.9610883,-0.74124526,-0.1056419,-0.020110748,0,0,0,0,0,0,0,-0.057834223,-0.14250984,-0.06907834,-0.020669949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-1.4753997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.080377898,-0.16609385,-0.076417222,-0.016932422,0,0,0,0,0,0,0,-0.30872543,-0.95369034,-0.8455827,-0.11885663,-0.024717009,0,0,0,0,0,0,-0.32980585,-0.91056143,-0.7022761,-0.10008804,-0.019053474,0,0,0,0,0,0,0,-0.05479373,-0.13501773,-0.065446715,-0.019583277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-1.39353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.075917745,-0.15687734,-0.072176846,-0.015992845,0,0,0,0,0,0,0,-0.29159432,-0.90077026,-0.79866148,-0.1122613,-0.023345467,0,0,0,0,0,0,-0.31150499,-0.86003456,-0.66330694,-0.094534173,-0.017996201,0,0,0,0,0,0,0,-0.051753237,-0.12752562,-0.06181509,-0.018496605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-1.3116604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.071457592,-0.14766082,-0.067936469,-0.015053269,0,0,0,0,0,0,0,-0.27446321,-0.84785017,-0.75174027,-0.10566597,-0.021973925,0,0,0,0,0,0,-0.29320413,-0.80950769,-0.62433778,-0.088980308,-0.016938927,0,0,0,0,0,0,0,-0.048712744,-0.12003352,-0.058183465,-0.017409933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-1.2297908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.066997438,-0.13844431,-0.063696093,-0.014113692,0,0,0,0,0,0,0,-0.2573321,-0.79493009,-0.70481906,-0.09907064,-0.020602383,0,0,0,0,0,0,-0.27490327,-0.75898082,-0.58536862,-0.083426443,-0.015881654,0,0,0,0,0,0,0,-0.045672251,-0.11254141,-0.05455184,-0.016323261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-1.1479211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.062537285,-0.12922779,-0.059455717,-0.013174115,0,0,0,0,0,0,0,-0.24020099,-0.74201,-0.65789784,-0.09247531,-0.019230842,0,0,0,0,0,0,-0.25660241,-0.70845395,-0.54639947,-0.077872578,-0.01482438,0,0,0,0,0,0,0,-0.042631758,-0.1050493,-0.050920215,-0.015236589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-1.0660515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.058077131,-0.12001128,-0.055215341,-0.012234539,0,0,0,0,0,0,0,-0.22306987,-0.68908992,-0.61097663,-0.085879979,-0.0178593,0,0,0,0,0,0,-0.23830155,-0.65792708,-0.50743031,-0.072318713,-0.013767107,0,0,0,0,0,0,0,-0.039591265,-0.097557198,-0.04728859,-0.014149917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
