Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.34835091,-0.042931349,-0.032198817,-0.029685879,-0.024963911,-0.10528298,-0.034164924,-0.034746683,-0.030439268,-0.029281377,-0.034889354,-0.10095429,-0.12795456,-0.033065111,-0.026095314,-0.021436581,-0.01503801,-0.016987506,-0.027573868,-0.032788868,-0.023827416,-0.026096143,-0.032273329,-0.016432907,-0.014642037,-0.014335011,-0.016446569,-0.015699742,-0.020838107,-0.035758988,-0.027283975,-0.023111791,-0.018238232,-0.016367689,-0.023425783,-0.025558905,-0.043591633,-0.039715038,-0.037204508,-0.029093442,-0.027199022,-0.028731059,-0.029884679
2,-0.69670181,-0.085862697,-0.064397635,-0.059371758,-0.049927821,-0.21056595,-0.068329847,-0.069493366,-0.060878536,-0.058562754,-0.069778709,-0.20190859,-0.25590912,-0.066130222,-0.052190628,-0.042873163,-0.03007602,-0.033975012,-0.055147736,-0.065577736,-0.047654833,-0.052192285,-0.064546658,-0.032865815,-0.029284074,-0.028670021,-0.032893139,-0.031399483,-0.041676215,-0.071517976,-0.054567949,-0.046223582,-0.036476463,-0.032735379,-0.046851565,-0.05111781,-0.087183265,-0.079430076,-0.074409016,-0.058186884,-0.054398043,-0.057462118,-0.059769359
3,-1.0450527,-0.12879405,-0.096596452,-0.089057637,-0.074891732,-0.31584893,-0.10249477,-0.10424005,-0.091317803,-0.087844131,-0.10466806,-0.30286288,-0.38386369,-0.099195333,-0.078285941,-0.064309744,-0.04511403,-0.050962517,-0.082721604,-0.098366604,-0.071482249,-0.078288428,-0.096819987,-0.049298722,-0.04392611,-0.043005032,-0.049339708,-0.047099225,-0.062514322,-0.10727696,-0.081851924,-0.069335374,-0.054714695,-0.049103068,-0.070277348,-0.076676714,-0.1307749,-0.11914511,-0.11161352,-0.087280325,-0.081597065,-0.086193176,-0.089654038
4,-1.3934036,-0.17172539,-0.12879527,-0.11874352,-0.099855643,-0.42113191,-0.13665969,-0.13898673,-0.12175707,-0.11712551,-0.13955742,-0.40381717,-0.51181825,-0.13226044,-0.10438126,-0.085746326,-0.06015204,-0.067950023,-0.11029547,-0.13115547,-0.095309665,-0.10438457,-0.12909332,-0.065731629,-0.058568147,-0.057340042,-0.065786277,-0.062798966,-0.08335243,-0.14303595,-0.1091359,-0.092447165,-0.072952926,-0.065470758,-0.093703131,-0.10223562,-0.17436653,-0.15886015,-0.14881803,-0.11637377,-0.10879609,-0.11492424,-0.11953872
5,-1.7417545,-0.21465674,-0.16099409,-0.14842939,-0.12481955,-0.52641488,-0.17082462,-0.17373342,-0.15219634,-0.14640689,-0.17444677,-0.50477147,-0.63977281,-0.16532555,-0.13047657,-0.10718291,-0.07519005,-0.084937529,-0.13786934,-0.16394434,-0.11913708,-0.13048071,-0.16136664,-0.082164537,-0.073210184,-0.071675053,-0.082232847,-0.078498708,-0.10419054,-0.17879494,-0.13641987,-0.11555896,-0.091191158,-0.081838447,-0.11712891,-0.12779452,-0.21795816,-0.19857519,-0.18602254,-0.14546721,-0.13599511,-0.14365529,-0.1494234
6,-2.0901054,-0.25758809,-0.1931929,-0.17811527,-0.14978346,-0.63169786,-0.20498954,-0.2084801,-0.18263561,-0.17568826,-0.20933613,-0.60572576,-0.76772737,-0.19839067,-0.15657188,-0.12861949,-0.09022806,-0.10192503,-0.16544321,-0.19673321,-0.1429645,-0.15657686,-0.19363997,-0.098597444,-0.087852221,-0.086010063,-0.098679416,-0.094198449,-0.12502864,-0.21455393,-0.16370385,-0.13867075,-0.10942939,-0.098206136,-0.1405547,-0.15335343,-0.2615498,-0.23829023,-0.22322705,-0.17456065,-0.16319413,-0.17238635,-0.17930808
7,-2.4384563,-0.30051944,-0.22539172,-0.20780115,-0.17474737,-0.73698084,-0.23915447,-0.24322678,-0.21307487,-0.20496964,-0.24422548,-0.70668005,-0.89568194,-0.23145578,-0.1826672,-0.15005607,-0.10526607,-0.11891254,-0.19301708,-0.22952208,-0.16679191,-0.182673,-0.2259133,-0.11503035,-0.10249426,-0.10034507,-0.11512599,-0.10989819,-0.14586675,-0.25031292,-0.19098782,-0.16178254,-0.12766762,-0.11457383,-0.16398048,-0.17891233,-0.30514143,-0.27800527,-0.26043156,-0.20365409,-0.19039315,-0.20111741,-0.20919276
8,-2.7868073,-0.34345079,-0.25759054,-0.23748703,-0.19971129,-0.84226381,-0.27331939,-0.27797346,-0.24351414,-0.23425102,-0.27911483,-0.80763435,-1.0236365,-0.26452089,-0.20876251,-0.17149265,-0.12030408,-0.13590005,-0.22059094,-0.26231094,-0.19061933,-0.20876914,-0.25818663,-0.13146326,-0.11713629,-0.11468008,-0.13157255,-0.12559793,-0.16670486,-0.2860719,-0.2182718,-0.18489433,-0.14590585,-0.13094152,-0.18740626,-0.20447124,-0.34873306,-0.31772031,-0.29763606,-0.23274753,-0.21759217,-0.22984847,-0.23907743
9,-3.1351582,-0.38638214,-0.28978936,-0.26717291,-0.2246752,-0.94754679,-0.30748431,-0.31272015,-0.27395341,-0.26353239,-0.31400419,-0.90858864,-1.1515911,-0.297586,-0.23485782,-0.19292923,-0.13534209,-0.15288755,-0.24816481,-0.29509981,-0.21444675,-0.23486528,-0.29045996,-0.14789617,-0.13177833,-0.1290151,-0.14801912,-0.14129767,-0.18754297,-0.32183089,-0.24555577,-0.20800612,-0.16414408,-0.1473092,-0.21083204,-0.23003014,-0.39232469,-0.35743534,-0.33484057,-0.26184098,-0.2447912,-0.25857953,-0.26896211
10,-3.4835091,-0.42931349,-0.32198817,-0.29685879,-0.24963911,-1.0528298,-0.34164924,-0.34746683,-0.30439268,-0.29281377,-0.34889354,-1.0095429,-1.2795456,-0.33065111,-0.26095314,-0.21436581,-0.1503801,-0.16987506,-0.27573868,-0.32788868,-0.23827416,-0.26096143,-0.32273329,-0.16432907,-0.14642037,-0.14335011,-0.16446569,-0.15699742,-0.20838107,-0.35758988,-0.27283975,-0.23111791,-0.18238232,-0.16367689,-0.23425783,-0.25558905,-0.43591633,-0.39715038,-0.37204508,-0.29093442,-0.27199022,-0.28731059,-0.29884679
11,-3.83186,-0.47224483,-0.35418699,-0.32654467,-0.27460302,-1.1581127,-0.37581416,-0.38221351,-0.33483195,-0.32209515,-0.3837829,-1.1104972,-1.4075002,-0.36371622,-0.28704845,-0.2358024,-0.16541811,-0.18686256,-0.30331255,-0.36067755,-0.26210158,-0.28705757,-0.35500662,-0.18076198,-0.16106241,-0.15768512,-0.18091226,-0.17269716,-0.22921918,-0.39334887,-0.30012372,-0.2542297,-0.20062055,-0.18004458,-0.25768361,-0.28114795,-0.47950796,-0.43686542,-0.40924959,-0.32002786,-0.29918924,-0.31604165,-0.32873147
12,-4.1802109,-0.51517618,-0.38638581,-0.35623055,-0.29956693,-1.2633957,-0.40997908,-0.4169602,-0.36527121,-0.35137653,-0.41867225,-1.2114515,-1.5354547,-0.39678133,-0.31314377,-0.25723898,-0.18045612,-0.20385007,-0.33088642,-0.39346642,-0.285929,-0.31315371,-0.38727995,-0.19719489,-0.17570444,-0.17202013,-0.19735883,-0.1883969,-0.25005729,-0.42910785,-0.32740769,-0.27734149,-0.21885878,-0.19641227,-0.28110939,-0.30670686,-0.52309959,-0.47658046,-0.4464541,-0.3491213,-0.32638826,-0.34477271,-0.35861615
13,-4.5285618,-0.55810753,-0.41858463,-0.38591643,-0.32453084,-1.3686787,-0.44414401,-0.45170688,-0.39571048,-0.3806579,-0.45356161,-1.3124058,-1.6634093,-0.42984644,-0.33923908,-0.27867556,-0.19549413,-0.22083758,-0.35846028,-0.42625529,-0.30975641,-0.33924986,-0.41955328,-0.2136278,-0.19034648,-0.18635514,-0.2138054,-0.20409664,-0.2708954,-0.46486684,-0.35469167,-0.30045329,-0.23709701,-0.21277996,-0.30453518,-0.33226576,-0.56669122,-0.5162955,-0.4836586,-0.37821474,-0.35358728,-0.37350376,-0.38850083
14,-4.8769127,-0.60103888,-0.45078344,-0.4156023,-0.34949475,-1.4739617,-0.47830893,-0.48645356,-0.42614975,-0.40993928,-0.48845096,-1.4133601,-1.7913639,-0.46291155,-0.36533439,-0.30011214,-0.21053214,-0.23782508,-0.38603415,-0.45904415,-0.33358383,-0.365346,-0.45182661,-0.2300607,-0.20498852,-0.20069015,-0.23025197,-0.21979638,-0.2917335,-0.50062583,-0.38197564,-0.32356508,-0.25533524,-0.22914765,-0.32796096,-0.35782467,-0.61028286,-0.55601054,-0.52086311,-0.40730819,-0.3807863,-0.40223482,-0.41838551
15,-5.2252636,-0.64397023,-0.48298226,-0.44528818,-0.37445866,-1.5792446,-0.51247385,-0.52120025,-0.45658902,-0.43922066,-0.52334031,-1.5143144,-1.9193184,-0.49597666,-0.39142971,-0.32154872,-0.22557015,-0.25481259,-0.41360802,-0.49183302,-0.35741125,-0.39144214,-0.48409993,-0.24649361,-0.21963055,-0.21502516,-0.24669854,-0.23549612,-0.31257161,-0.53638482,-0.40925962,-0.34667687,-0.27357347,-0.24551534,-0.35138674,-0.38338357,-0.65387449,-0.59572557,-0.55806762,-0.43640163,-0.40798533,-0.43096588,-0.44827019
16,-5.5736145,-0.68690158,-0.51518108,-0.47497406,-0.39942257,-1.6845276,-0.54663878,-0.55594693,-0.48702829,-0.46850203,-0.55822967,-1.6152687,-2.047273,-0.52904178,-0.41752502,-0.3429853,-0.24060816,-0.27180009,-0.44118189,-0.52462189,-0.38123866,-0.41753828,-0.51637326,-0.26292652,-0.23427259,-0.22936017,-0.26314511,-0.25119587,-0.33340972,-0.57214381,-0.43654359,-0.36978866,-0.29181171,-0.26188303,-0.37481252,-0.40894248,-0.69746612,-0.63544061,-0.59527213,-0.46549507,-0.43518435,-0.45969694,-0.47815487
