Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa)
10,-0.56171057,-0.058925389,-0.062585174,-0.055920043,-0.045967702,-0.054448485,-0.054234397,-0.042666997,-0.058144773,-0.043652031,-0.036791696,-0.23894747,-0.2091923,-0.020893873,-0.040797336,-0.049211432,-0.027210209,-0.090181431,-0.41417393,-0.4018614,-0.015660474,-0.038147171,-0.052695077,-0.043440866,-0.026673431,-0.037924106,-0.030596365,-0.046682823,-0.035585166,-0.049793638,-0.054367547,-0.069416073,-0.08146532,-0.068910837,-0.044775162,-0.03010566,-0.048293801,-0.052240763,-0.063645627,-0.062723503,-0.050997946,-0.03863183,-0.024648265
11,-0.61788163,-0.064817928,-0.068843692,-0.061512047,-0.050564473,-0.059893333,-0.059657837,-0.046933697,-0.06395925,-0.048017234,-0.040470866,-0.26284222,-0.23011153,-0.022983261,-0.044877069,-0.054132575,-0.02993123,-0.099199574,-0.45559132,-0.44204753,-0.017226521,-0.041961888,-0.057964584,-0.047784953,-0.029340774,-0.041716516,-0.033656001,-0.051351105,-0.039143683,-0.054773002,-0.059804302,-0.076357681,-0.089611852,-0.07580192,-0.049252679,-0.033116226,-0.053123181,-0.05746484,-0.07001019,-0.068995853,-0.05609774,-0.042495013,-0.027113092
12,-0.67405269,-0.070710467,-0.075102209,-0.067104051,-0.055161243,-0.065338182,-0.065081276,-0.051200397,-0.069773727,-0.052382437,-0.044150036,-0.28673696,-0.25103075,-0.025072648,-0.048956803,-0.059053719,-0.032652251,-0.10821772,-0.49700872,-0.48223367,-0.018792568,-0.045776605,-0.063234092,-0.052129039,-0.032008117,-0.045508927,-0.036715637,-0.056019388,-0.0427022,-0.059752366,-0.065241057,-0.083299288,-0.097758384,-0.082693004,-0.053730195,-0.036126792,-0.057952561,-0.062688916,-0.076374753,-0.075268204,-0.061197535,-0.046358196,-0.029577919
13,-0.73022374,-0.076603006,-0.081360727,-0.072696055,-0.059758013,-0.07078303,-0.070504716,-0.055467097,-0.075588204,-0.05674764,-0.047829205,-0.31063171,-0.27194998,-0.027162035,-0.053036536,-0.063974862,-0.035373272,-0.11723586,-0.53842611,-0.52241981,-0.020358616,-0.049591322,-0.0685036,-0.056473126,-0.03467546,-0.049301337,-0.039775274,-0.06068767,-0.046260716,-0.06473173,-0.070677812,-0.090240895,-0.10590492,-0.089584088,-0.058207711,-0.039137358,-0.062781941,-0.067912992,-0.082739315,-0.081540554,-0.066297329,-0.050221379,-0.032042745
14,-0.7863948,-0.082495544,-0.087619244,-0.07828806,-0.064354783,-0.076227879,-0.075928156,-0.059733796,-0.081402682,-0.061112844,-0.051508375,-0.33452646,-0.29286921,-0.029251423,-0.05711627,-0.068896005,-0.038094293,-0.126254,-0.5798435,-0.56260595,-0.021924663,-0.053406039,-0.073773107,-0.060817212,-0.037342803,-0.053093748,-0.04283491,-0.065355952,-0.049819233,-0.069711093,-0.076114566,-0.097182503,-0.11405145,-0.096475171,-0.062685227,-0.042147924,-0.067611321,-0.073137069,-0.089103878,-0.087812904,-0.071397124,-0.054084562,-0.034507572
15,-0.84256586,-0.088388083,-0.093877761,-0.083880064,-0.068951553,-0.081672727,-0.081351595,-0.064000496,-0.087217159,-0.065478047,-0.055187545,-0.3584212,-0.31378844,-0.03134081,-0.061196004,-0.073817148,-0.040815313,-0.13527215,-0.62126089,-0.60279209,-0.023490711,-0.057220757,-0.079042615,-0.065161299,-0.040010147,-0.056886159,-0.045894547,-0.070024235,-0.05337775,-0.074690457,-0.081551321,-0.10412411,-0.12219798,-0.10336625,-0.067162744,-0.045158491,-0.072440701,-0.078361145,-0.095468441,-0.094085254,-0.076496918,-0.057947745,-0.036972398
16,-0.89873692,-0.094280622,-0.10013628,-0.089472068,-0.073548324,-0.087117575,-0.086775035,-0.068267196,-0.093031636,-0.06984325,-0.058866714,-0.38231595,-0.33470767,-0.033430197,-0.065275737,-0.078738292,-0.043536334,-0.14429029,-0.66267829,-0.64297823,-0.025056758,-0.061035474,-0.084312122,-0.069505386,-0.04267749,-0.060678569,-0.048954183,-0.074692517,-0.056936266,-0.079669821,-0.086988076,-0.11106572,-0.13034451,-0.11025734,-0.07164026,-0.048169057,-0.077270082,-0.083585221,-0.101833,-0.1003576,-0.081596713,-0.061810928,-0.039437225
17,-0.95490797,-0.10017316,-0.1063948,-0.095064072,-0.078145094,-0.092562424,-0.092198475,-0.072533896,-0.098846114,-0.074208453,-0.062545884,-0.4062107,-0.3556269,-0.035519585,-0.069355471,-0.083659435,-0.046257355,-0.15330843,-0.70409568,-0.68316437,-0.026622805,-0.064850191,-0.08958163,-0.073849472,-0.045344833,-0.06447098,-0.05201382,-0.079360799,-0.060494783,-0.084649185,-0.092424831,-0.11800732,-0.13849104,-0.11714842,-0.076117776,-0.051179623,-0.082099462,-0.088809298,-0.10819757,-0.10662996,-0.086696507,-0.065674111,-0.041902051
18,-1.011079,-0.1060657,-0.11265331,-0.10065608,-0.082741864,-0.098007272,-0.097621914,-0.076800595,-0.10466059,-0.078573656,-0.066225053,-0.43010544,-0.37654613,-0.037608972,-0.073435204,-0.088580578,-0.048978376,-0.16232658,-0.74551307,-0.72335051,-0.028188853,-0.068664908,-0.094851138,-0.078193559,-0.048012176,-0.06826339,-0.055073456,-0.084029082,-0.0640533,-0.089628549,-0.097861585,-0.12494893,-0.14663758,-0.12403951,-0.080595292,-0.054190189,-0.086928842,-0.094033374,-0.11456213,-0.11290231,-0.091796302,-0.069537294,-0.044366878
19,-1.0672501,-0.11195824,-0.11891183,-0.10624808,-0.087338634,-0.10345212,-0.10304535,-0.081067295,-0.11047507,-0.082938859,-0.069904223,-0.45400019,-0.39746536,-0.039698359,-0.077514938,-0.093501721,-0.051699397,-0.17134472,-0.78693047,-0.76353665,-0.0297549,-0.072479625,-0.10012065,-0.082537645,-0.050679519,-0.072055801,-0.058133093,-0.088697364,-0.067611816,-0.094607913,-0.10329834,-0.13189054,-0.15478411,-0.13093059,-0.085072809,-0.057200755,-0.091758222,-0.09925745,-0.12092669,-0.11917466,-0.096896097,-0.073400477,-0.046831704
