Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.022773207,0.0043861394,0.004894566,0.002958636,0.0023440541,0.001729961,0.0017334145,0.0012527949,0.0016081388,0.0051607855,0.0025266578,0.0027977215,0.00068127213,0.00085149242,0.00116302,0.0027579669,0.0038004904,0.0072671241,0.014846221,0.0020029301,0.00059243715,0.00091931465,0.0015607914,0.0012210209,0.00072951573,0.00081932193,0.0006021827,0.00064052865,0.00082777726,0.0016590197,0.0017481257,0.0020425538,0.002102226,0.0014744629,0.00074990064,0.00082260951,0.0021833983,0.002145884,0.002073177,0.0018222536,0.001270505,0.00096014317,0.00064089219
2,0.045546413,0.0087722787,0.009789132,0.0059172719,0.0046881081,0.0034599221,0.0034668291,0.0025055897,0.0032162776,0.010321571,0.0050533156,0.0055954429,0.0013625443,0.0017029848,0.0023260399,0.0055159338,0.0076009808,0.014534248,0.029692443,0.0040058602,0.0011848743,0.0018386293,0.0031215828,0.0024420419,0.0014590315,0.0016386439,0.0012043654,0.0012810573,0.0016555545,0.0033180394,0.0034962514,0.0040851076,0.004204452,0.0029489258,0.0014998013,0.001645219,0.0043667967,0.0042917679,0.004146354,0.0036445072,0.00254101,0.0019202863,0.0012817844
3,0.06831962,0.013158418,0.014683698,0.0088759079,0.0070321622,0.0051898831,0.0052002436,0.0037583846,0.0048244164,0.015482356,0.0075799734,0.0083931644,0.0020438164,0.0025544773,0.0034890599,0.0082739006,0.011401471,0.021801372,0.044538664,0.0060087903,0.0017773115,0.0027579439,0.0046823741,0.0036630628,0.0021885472,0.0024579658,0.0018065481,0.0019215859,0.0024833318,0.0049770591,0.0052443771,0.0061276614,0.0063066779,0.0044233887,0.0022497019,0.0024678285,0.006550195,0.0064376519,0.006219531,0.0054667608,0.0038115151,0.0028804295,0.0019226766
4,0.091092826,0.017544557,0.019578264,0.011834544,0.0093762162,0.0069198442,0.0069336581,0.0050111795,0.0064325552,0.020643142,0.010106631,0.011190886,0.0027250885,0.0034059697,0.0046520798,0.011031868,0.015201962,0.029068496,0.059384886,0.0080117204,0.0023697486,0.0036772586,0.0062431655,0.0048840838,0.0029180629,0.0032772877,0.0024087308,0.0025621146,0.003311109,0.0066360787,0.0069925028,0.0081702152,0.0084089039,0.0058978516,0.0029996026,0.003290438,0.0087335934,0.0085835358,0.008292708,0.0072890144,0.0050820201,0.0038405727,0.0025635687
5,0.11386603,0.021930697,0.02447283,0.01479318,0.01172027,0.0086498052,0.0086670726,0.0062639743,0.008040694,0.025803927,0.012633289,0.013988607,0.0034063606,0.0042574621,0.0058150998,0.013789834,0.019002452,0.03633562,0.074231107,0.01001465,0.0029621858,0.0045965732,0.0078039569,0.0061051047,0.0036475787,0.0040966097,0.0030109135,0.0032026432,0.0041388863,0.0082950984,0.0087406285,0.010212769,0.01051113,0.0073723145,0.0037495032,0.0041130475,0.010916992,0.01072942,0.010365885,0.009111268,0.0063525251,0.0048007159,0.0032044609
6,0.13663924,0.026316836,0.029367396,0.017751816,0.014064324,0.010379766,0.010400487,0.0075167692,0.0096488328,0.030964713,0.015159947,0.016786329,0.0040876328,0.0051089545,0.0069781198,0.016547801,0.022802942,0.043602745,0.089077329,0.012017581,0.0035546229,0.0055158879,0.0093647483,0.0073261257,0.0043770944,0.0049159316,0.0036130962,0.0038431719,0.0049666635,0.0099541181,0.010488754,0.012255323,0.012613356,0.0088467774,0.0044994039,0.0049356571,0.01310039,0.012875304,0.012439062,0.010933522,0.0076230301,0.005760859,0.0038453531
7,0.15941245,0.030702975,0.034261962,0.020710452,0.016408378,0.012109727,0.012133902,0.008769564,0.011256972,0.036125498,0.017686605,0.01958405,0.0047689049,0.005960447,0.0081411397,0.019305768,0.026603433,0.050869869,0.10392355,0.014020511,0.0041470601,0.0064352025,0.01092554,0.0085471466,0.0051066101,0.0057352535,0.0042152789,0.0044837005,0.0057944408,0.011613138,0.01223688,0.014297877,0.014715582,0.01032124,0.0052493045,0.0057582666,0.015283788,0.015021188,0.014512239,0.012755775,0.0088935352,0.0067210022,0.0044862453
8,0.18218565,0.035089115,0.039156528,0.023669088,0.018752432,0.013839688,0.013867316,0.010022359,0.01286511,0.041286284,0.020213262,0.022381772,0.005450177,0.0068119394,0.0093041597,0.022063735,0.030403923,0.058136993,0.11876977,0.016023441,0.0047394972,0.0073545172,0.012486331,0.0097681675,0.0058361258,0.0065545755,0.0048174616,0.0051242292,0.0066222181,0.013272157,0.013985006,0.01634043,0.016817808,0.011795703,0.0059992052,0.0065808761,0.017467187,0.017167072,0.016585416,0.014578029,0.01016404,0.0076811454,0.0051271375
9,0.20495886,0.039475254,0.044051094,0.026627724,0.021096486,0.015569649,0.015600731,0.011275154,0.014473249,0.046447069,0.02273992,0.025179493,0.0061314491,0.0076634318,0.01046718,0.024821702,0.034204414,0.065404117,0.13361599,0.018026371,0.0053319344,0.0082738318,0.014047122,0.010989188,0.0065656416,0.0073738974,0.0054196443,0.0057647578,0.0074499953,0.014931177,0.015733131,0.018382984,0.018920034,0.013270166,0.0067491058,0.0074034856,0.019650585,0.019312956,0.018658593,0.016400282,0.011434545,0.0086412885,0.0057680297
