X coord (mm),Y coord (mm)
10.14,2.83888
2.95614,1.11878
5.05269,0.987013
7.0694,1.0606
9.05052,1.031
11.0486,1.08119
13.1438,0.822812
14.8438,1.42151
2.86214,2.96603
4.98773,2.99201
6.93532,3.02995
9.012,3.05379
11.0852,2.9774
13.1087,2.99617
14.8951,3.0418
3.06468,4.94313
5.0718,5.12548
7.10726,4.9316
8.85772,4.96498
11.0349,4.95176
13.0495,4.95646
15.0901,4.97678
3.04403,6.88518
4.95748,6.94599
6.93558,6.91008
8.97908,6.88478
11.0546,7.05072
13.0499,7.05655
14.9253,6.92167
3.09948,9.00918
4.96736,9.05228
6.93683,8.98883
9.01487,8.93281
10.9521,8.90644
12.9806,8.9007
15.006,8.96059
3.09842,10.7349
4.57324,10.6551
6.86021,10.9628
8.80929,10.5662
10.8094,10.5123
12.972,10.1545
14.2501,9.88319
