Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa)
0,-12.904401,-0.95739222,-3.0356042,-1.7338303,-1.0069677,-1.3275646,-1.1620255,-1.0698878,-0.95739222,-1.5864946,-1.7338303,-1.5591461,-2.1300068,-0.36522872,-0.72552037,-1.0224337,-0.8069287,-0.46704505,-4.749605,-8.4279416,-0.70603772,-0.620374,-0.73601863,-0.76183241,-0.37002971,-0.53799178,-0.54168547,-0.56151798,-0.60026129,-0.67065748,-0.75607173,-0.95262609,-1.2692204,-1.2286721,-0.85420838,-0.49752677,-0.67648491,-0.86118778,-0.98765413,-1.0165605,-0.96664137,-0.78592374,-0.61116382
1,-12.915804,-0.9582382,-3.0382866,-1.7353624,-1.0078575,-1.3287377,-1.1630523,-1.0708332,-0.9582382,-1.5878965,-1.7353624,-1.5605238,-2.131889,-0.36555145,-0.72616146,-1.0233371,-0.80764173,-0.46745774,-4.7538019,-8.4353888,-0.70666159,-0.62092218,-0.736669,-0.76250559,-0.37035668,-0.53846717,-0.54216412,-0.56201416,-0.60079171,-0.6712501,-0.75673982,-0.95346786,-1.2703419,-1.2297578,-0.85496318,-0.49796641,-0.67708268,-0.86194875,-0.98852686,-1.0174588,-0.96749552,-0.78661821,-0.61170386
2,-12.927207,-0.95908418,-3.040969,-1.7368944,-1.0087472,-1.3299107,-1.1640791,-1.0717786,-0.95908418,-1.5892983,-1.7368944,-1.5619016,-2.1337711,-0.36587417,-0.72680256,-1.0242406,-0.80835476,-0.46787044,-4.7579988,-8.442836,-0.70728547,-0.62147036,-0.73731937,-0.76317877,-0.37068365,-0.53894256,-0.54264277,-0.56251034,-0.60132212,-0.67184271,-0.75740791,-0.95430964,-1.2714634,-1.2308435,-0.85571799,-0.49840604,-0.67768044,-0.86270973,-0.98939958,-1.0183571,-0.96834968,-0.78731267,-0.61224391
3,-12.938609,-0.95993017,-3.0436513,-1.7384265,-1.009637,-1.3310838,-1.1651059,-1.0727239,-0.95993017,-1.5907002,-1.7384265,-1.5632793,-2.1356533,-0.3661969,-0.72744365,-1.0251441,-0.80906779,-0.46828314,-4.7621957,-8.4502833,-0.70790935,-0.62201855,-0.73796974,-0.76385195,-0.37101062,-0.53941795,-0.54312142,-0.56300651,-0.60185253,-0.67243533,-0.758076,-0.95515141,-1.272585,-1.2319292,-0.8564728,-0.49884567,-0.67827821,-0.8634707,-0.9902723,-1.0192553,-0.96920384,-0.78800714,-0.61278395
4,-12.950012,-0.96077615,-3.0463337,-1.7399586,-1.0105268,-1.3322569,-1.1661328,-1.0736693,-0.96077615,-1.5921021,-1.7399586,-1.564657,-2.1375354,-0.36651963,-0.72808475,-1.0260475,-0.80978082,-0.46869583,-4.7663926,-8.4577305,-0.70853323,-0.62256673,-0.73862011,-0.76452513,-0.37133759,-0.53989333,-0.54360007,-0.56350269,-0.60238294,-0.67302794,-0.75874409,-0.95599318,-1.2737065,-1.2330149,-0.8572276,-0.4992853,-0.67887597,-0.86423168,-0.99114503,-1.0201536,-0.97005799,-0.78870161,-0.613324
5,-12.961415,-0.96162213,-3.049016,-1.7414906,-1.0114166,-1.33343,-1.1671596,-1.0746147,-0.96162213,-1.593504,-1.7414906,-1.5660347,-2.1394176,-0.36684236,-0.72872584,-1.026951,-0.81049385,-0.46910853,-4.7705895,-8.4651777,-0.70915711,-0.62311491,-0.73927048,-0.76519831,-0.37166456,-0.54036872,-0.54407873,-0.56399886,-0.60291335,-0.67362056,-0.75941218,-0.95683495,-1.274828,-1.2341006,-0.85798241,-0.49972493,-0.67947374,-0.86499265,-0.99201775,-1.0210519,-0.97091215,-0.78939608,-0.61386404
6,-12.972818,-0.96246812,-3.0516984,-1.7430227,-1.0123064,-1.3346031,-1.1681864,-1.0755601,-0.96246812,-1.5949059,-1.7430227,-1.5674124,-2.1412997,-0.36716509,-0.72936693,-1.0278544,-0.81120688,-0.46952123,-4.7747864,-8.4726249,-0.70978099,-0.6236631,-0.73992085,-0.76587149,-0.37199153,-0.54084411,-0.54455738,-0.56449504,-0.60344376,-0.67421317,-0.76008027,-0.95767673,-1.2759496,-1.2351863,-0.85873722,-0.50016456,-0.6800715,-0.86575362,-0.99289048,-1.0219501,-0.97176631,-0.79009055,-0.61440409
7,-12.984221,-0.9633141,-3.0543808,-1.7445548,-1.0131962,-1.3357761,-1.1692132,-1.0765055,-0.9633141,-1.5963077,-1.7445548,-1.5687901,-2.1431819,-0.36748782,-0.73000803,-1.0287579,-0.8119199,-0.46993392,-4.7789833,-8.4800721,-0.71040487,-0.62421128,-0.74057122,-0.76654467,-0.3723185,-0.5413195,-0.54503603,-0.56499122,-0.60397417,-0.67480579,-0.76074836,-0.9585185,-1.2770711,-1.236272,-0.85949203,-0.50060419,-0.68066927,-0.8665146,-0.9937632,-1.0228484,-0.97262046,-0.79078502,-0.61494413
8,-12.995623,-0.96416009,-3.0570631,-1.7460869,-1.014086,-1.3369492,-1.17024,-1.0774509,-0.96416009,-1.5977096,-1.7460869,-1.5701678,-2.145064,-0.36781054,-0.73064912,-1.0296613,-0.81263293,-0.47034662,-4.7831803,-8.4875193,-0.71102874,-0.62475946,-0.7412216,-0.76721785,-0.37264548,-0.54179489,-0.54551468,-0.56548739,-0.60450458,-0.6753984,-0.76141645,-0.95936027,-1.2781926,-1.2373577,-0.86024683,-0.50104383,-0.68126703,-0.86727557,-0.99463593,-1.0237467,-0.97347462,-0.79147949,-0.61548418
9,-13.007026,-0.96500607,-3.0597455,-1.7476189,-1.0149758,-1.3381223,-1.1712668,-1.0783963,-0.96500607,-1.5991115,-1.7476189,-1.5715456,-2.1469461,-0.36813327,-0.73129022,-1.0305648,-0.81334596,-0.47075932,-4.7873772,-8.4949665,-0.71165262,-0.62530765,-0.74187197,-0.76789104,-0.37297245,-0.54227027,-0.54599333,-0.56598357,-0.60503499,-0.67599102,-0.76208454,-0.96020204,-1.2793141,-1.2384434,-0.86100164,-0.50148346,-0.6818648,-0.86803655,-0.99550865,-1.0246449,-0.97432878,-0.79217395,-0.61602422
