Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa)
0,-96.06025,0,0,0,0,0,-15.797338,-25.005697,0,0,0,0,0,0
1,-96.051753,0,0,0,0,0,-15.79594,-25.003485,0,0,0,0,0,0
2,-96.043255,0,0,0,0,0,-15.794543,-25.001272,0,0,0,0,0,0
3,-96.034757,0,0,0,0,0,-15.793145,-24.99906,0,0,0,0,0,0
4,-96.02626,0,0,0,0,0,-15.791748,-24.996848,0,0,0,0,0,0
5,-96.017762,0,0,0,0,0,-15.79035,-24.994636,0,0,0,0,0,0
6,-96.009264,0,0,0,0,0,-15.788953,-24.992424,0,0,0,0,0,0
7,-96.000767,0,0,0,0,0,-15.787555,-24.990212,0,0,0,0,0,0
8,-95.992269,0,0,0,0,0,-15.786158,-24.988,0,0,0,0,0,0
9,-95.983771,0,0,0,0,0,-15.78476,-24.985788,0,0,0,0,0,0
10,-95.975274,0,0,0,0,0,-15.783363,-24.983576,0,0,0,0,0,0
11,-95.966776,0,0,0,0,0,-15.781966,-24.981364,0,0,0,0,0,0
12,-95.958278,0,0,0,0,0,-15.780568,-24.979152,0,0,0,0,0,0
13,-95.949781,0,0,0,0,0,-15.779171,-24.97694,0,0,0,0,0,0
14,-95.941283,0,0,0,0,0,-15.777773,-24.974728,0,0,0,0,0,0
15,-95.932785,0,0,0,0,0,-15.776376,-24.972516,0,0,0,0,0,0
16,-95.924287,0,0,0,0,0,-15.774978,-24.970304,0,0,0,0,0,0
17,-95.91579,0,0,0,0,0,-15.773581,-24.968092,0,0,0,0,0,0
18,-95.907292,0,0,0,0,0,-15.772183,-24.96588,0,0,0,0,0,0
19,-95.898794,0,0,0,0,0,-15.770786,-24.963668,0,0,0,0,0,0
20,-95.890297,0,0,0,0,0,-15.769388,-24.961455,0,0,0,0,0,0
21,-95.881799,0,0,0,0,0,-15.767991,-24.959243,0,0,0,0,0,0
22,-95.873301,0,0,0,0,0,-15.766593,-24.957031,0,0,0,0,0,0
23,-95.864804,0,0,0,0,0,-15.765196,-24.954819,0,0,0,0,0,0
24,-95.856306,0,0,0,0,0,-15.763799,-24.952607,0,0,0,0,0,0
25,-95.847808,0,0,0,0,0,-15.762401,-24.950395,0,0,0,0,0,0
26,-95.839311,0,0,0,0,0,-15.761004,-24.948183,0,0,0,0,0,0
27,-95.830813,0,0,0,0,0,-15.759606,-24.945971,0,0,0,0,0,0
28,-95.822315,0,0,0,0,0,-15.758209,-24.943759,0,0,0,0,0,0
29,-95.813818,0,0,0,0,0,-15.756811,-24.941547,0,0,0,0,0,0
30,-95.80532,0,0,0,0,0,-15.755414,-24.939335,0,0,0,0,0,0
31,-95.796822,0,0,0,0,0,-15.754016,-24.937123,0,0,0,0,0,0
32,-95.788324,0,0,0,0,0,-15.752619,-24.934911,0,0,0,0,0,0
33,-95.779827,0,0,0,0,0,-15.751221,-24.932699,0,0,0,0,0,0
34,-95.771329,0,0,0,0,0,-15.749824,-24.930487,0,0,0,0,0,0
35,-95.762831,0,0,0,0,0,-15.748426,-24.928275,0,0,0,0,0,0
36,-95.754334,0,0,0,0,0,-15.747029,-24.926063,0,0,0,0,0,0
37,-95.745836,0,0,0,0,0,-15.745631,-24.923851,0,0,0,0,0,0
38,-95.737338,0,0,0,0,0,-15.744234,-24.921638,0,0,0,0,0,0
39,-95.728841,0,0,0,0,0,-15.742837,-24.919426,0,0,0,0,0,0
40,-95.720343,0,0,0,0,0,-15.741439,-24.917214,0,0,0,0,0,0
41,-95.711845,0,0,0,0,0,-15.740042,-24.915002,0,0,0,0,0,0
42,-95.703348,0,0,0,0,0,-15.738644,-24.91279,0,0,0,0,0,0
43,-95.69485,0,0,0,0,0,-15.737247,-24.910578,0,0,0,0,0,0
44,-95.686352,0,0,0,0,0,-15.735849,-24.908366,0,0,0,0,0,0
45,-95.677855,0,0,0,0,0,-15.734452,-24.906154,0,0,0,0,0,0
46,-95.669357,0,0,0,0,0,-15.733054,-24.903942,0,0,0,0,0,0
47,-95.660859,0,0,0,0,0,-15.731657,-24.90173,0,0,0,0,0,0
