Time (ms),Stress at 0.00 mm (kPa),Stress at 0.24 mm (kPa),Stress at 0.45 mm (kPa),Stress at 0.65 mm (kPa),Stress at 0.86 mm (kPa),Stress at 1.05 mm (kPa),Stress at 1.25 mm (kPa),Stress at 1.45 mm (kPa),Stress at 1.66 mm (kPa),Stress at 1.85 mm (kPa),Stress at 2.05 mm (kPa),Stress at 2.25 mm (kPa),Stress at 2.45 mm (kPa),Stress at 2.65 mm (kPa)
0,-96.06025,-81.108368,-71.80532,-56.157958,-45.182782,-33.071559,-24.099235,-16.534168,-9.8399014,-6.2655263,-2.9756116,-0.71719843,0,0
1,-96.051753,-81.101193,-71.798968,-56.152991,-45.178785,-33.068633,-24.097103,-16.532706,-9.839031,-6.264972,-2.9753484,-0.71713498,0,0
2,-96.043255,-81.094018,-71.792616,-56.148023,-45.174788,-33.065708,-24.094971,-16.531243,-9.8381605,-6.2644178,-2.9750852,-0.71707154,0,0
3,-96.034757,-81.086843,-71.786264,-56.143055,-45.170791,-33.062782,-24.092839,-16.52978,-9.8372901,-6.2638635,-2.974822,-0.7170081,0,0
4,-96.02626,-81.079668,-71.779912,-56.138087,-45.166794,-33.059856,-24.090708,-16.528318,-9.8364196,-6.2633092,-2.9745587,-0.71694465,0,0
5,-96.017762,-81.072493,-71.77356,-56.133119,-45.162797,-33.056931,-24.088576,-16.526855,-9.8355491,-6.262755,-2.9742955,-0.71688121,0,0
6,-96.009264,-81.065318,-71.767208,-56.128151,-45.1588,-33.054005,-24.086444,-16.525393,-9.8346787,-6.2622007,-2.9740323,-0.71681776,0,0
7,-96.000767,-81.058143,-71.760856,-56.123183,-45.154803,-33.05108,-24.084312,-16.52393,-9.8338082,-6.2616464,-2.973769,-0.71675432,0,0
8,-95.992269,-81.050968,-71.754503,-56.118216,-45.150806,-33.048154,-24.08218,-16.522467,-9.8329378,-6.2610922,-2.9735058,-0.71669087,0,0
9,-95.983771,-81.043793,-71.748151,-56.113248,-45.146809,-33.045228,-24.080048,-16.521005,-9.8320673,-6.2605379,-2.9732426,-0.71662743,0,0
10,-95.975274,-81.036618,-71.741799,-56.10828,-45.142812,-33.042303,-24.077916,-16.519542,-9.8311968,-6.2599837,-2.9729794,-0.71656398,0,0
11,-95.966776,-81.029443,-71.735447,-56.103312,-45.138815,-33.039377,-24.075784,-16.518079,-9.8303264,-6.2594294,-2.9727161,-0.71650054,0,0
12,-95.958278,-81.022268,-71.729095,-56.098344,-45.134819,-33.036452,-24.073653,-16.516617,-9.8294559,-6.2588751,-2.9724529,-0.71643709,0,0
13,-95.949781,-81.015093,-71.722743,-56.093376,-45.130822,-33.033526,-24.071521,-16.515154,-9.8285855,-6.2583209,-2.9721897,-0.71637365,0,0
14,-95.941283,-81.007918,-71.716391,-56.088409,-45.126825,-33.030601,-24.069389,-16.513691,-9.827715,-6.2577666,-2.9719264,-0.7163102,0,0
15,-95.932785,-81.000743,-71.710039,-56.083441,-45.122828,-33.027675,-24.067257,-16.512229,-9.8268446,-6.2572124,-2.9716632,-0.71624676,0,0
16,-95.924287,-80.993568,-71.703687,-56.078473,-45.118831,-33.024749,-24.065125,-16.510766,-9.8259741,-6.2566581,-2.9714,-0.71618331,0,0
17,-95.91579,-80.986393,-71.697335,-56.073505,-45.114834,-33.021824,-24.062993,-16.509303,-9.8251036,-6.2561038,-2.9711368,-0.71611987,0,0
18,-95.907292,-80.979218,-71.690983,-56.068537,-45.110837,-33.018898,-24.060861,-16.507841,-9.8242332,-6.2555496,-2.9708735,-0.71605642,0,0
19,-95.898794,-80.972043,-71.684631,-56.063569,-45.10684,-33.015973,-24.058729,-16.506378,-9.8233627,-6.2549953,-2.9706103,-0.71599298,0,0
20,-95.890297,-80.964868,-71.678279,-56.058601,-45.102843,-33.013047,-24.056598,-16.504916,-9.8224923,-6.254441,-2.9703471,-0.71592953,0,0
21,-95.881799,-80.957693,-71.671927,-56.053634,-45.098846,-33.010122,-24.054466,-16.503453,-9.8216218,-6.2538868,-2.9700838,-0.71586609,0,0
22,-95.873301,-80.950518,-71.665575,-56.048666,-45.094849,-33.007196,-24.052334,-16.50199,-9.8207514,-6.2533325,-2.9698206,-0.71580264,0,0
23,-95.864804,-80.943343,-71.659223,-56.043698,-45.090852,-33.00427,-24.050202,-16.500528,-9.8198809,-6.2527783,-2.9695574,-0.7157392,0,0
24,-95.856306,-80.936168,-71.652871,-56.03873,-45.086855,-33.001345,-24.04807,-16.499065,-9.8190104,-6.252224,-2.9692942,-0.71567575,0,0
25,-95.847808,-80.928993,-71.646519,-56.033762,-45.082858,-32.998419,-24.045938,-16.497602,-9.81814,-6.2516697,-2.9690309,-0.71561231,0,0
26,-95.839311,-80.921818,-71.640167,-56.028794,-45.078861,-32.995494,-24.043806,-16.49614,-9.8172695,-6.2511155,-2.9687677,-0.71554886,0,0
27,-95.830813,-80.914643,-71.633815,-56.023826,-45.074864,-32.992568,-24.041675,-16.494677,-9.8163991,-6.2505612,-2.9685045,-0.71548542,0,0
28,-95.822315,-80.907468,-71.627463,-56.018859,-45.070867,-32.989642,-24.039543,-16.493214,-9.8155286,-6.250007,-2.9682412,-0.71542197,0,0
29,-95.813818,-80.900293,-71.62111,-56.013891,-45.06687,-32.986717,-24.037411,-16.491752,-9.8146581,-6.2494527,-2.967978,-0.71535853,0,0
30,-95.80532,-80.893118,-71.614758,-56.008923,-45.062873,-32.983791,-24.035279,-16.490289,-9.8137877,-6.2488984,-2.9677148,-0.71529508,0,0
31,-95.796822,-80.885943,-71.608406,-56.003955,-45.058876,-32.980866,-24.033147,-16.488826,-9.8129172,-6.2483442,-2.9674515,-0.71523164,0,0
32,-95.788324,-80.878768,-71.602054,-55.998987,-45.054879,-32.97794,-24.031015,-16.487364,-9.8120468,-6.2477899,-2.9671883,-0.71516819,0,0
33,-95.779827,-80.871593,-71.595702,-55.994019,-45.050882,-32.975015,-24.028883,-16.485901,-9.8111763,-6.2472357,-2.9669251,-0.71510475,0,0
34,-95.771329,-80.864418,-71.58935,-55.989052,-45.046885,-32.972089,-24.026751,-16.484438,-9.8103059,-6.2466814,-2.9666619,-0.7150413,0,0
35,-95.762831,-80.857243,-71.582998,-55.984084,-45.042888,-32.969163,-24.02462,-16.482976,-9.8094354,-6.2461271,-2.9663986,-0.71497786,0,0
36,-95.754334,-80.850068,-71.576646,-55.979116,-45.038891,-32.966238,-24.022488,-16.481513,-9.8085649,-6.2455729,-2.9661354,-0.71491442,0,0
37,-95.745836,-80.842893,-71.570294,-55.974148,-45.034894,-32.963312,-24.020356,-16.480051,-9.8076945,-6.2450186,-2.9658722,-0.71485097,0,0
38,-95.737338,-80.835718,-71.563942,-55.96918,-45.030898,-32.960387,-24.018224,-16.478588,-9.806824,-6.2444643,-2.9656089,-0.71478753,0,0
39,-95.728841,-80.828543,-71.55759,-55.964212,-45.026901,-32.957461,-24.016092,-16.477125,-9.8059536,-6.2439101,-2.9653457,-0.71472408,0,0
40,-95.720343,-80.821368,-71.551238,-55.959244,-45.022904,-32.954536,-24.01396,-16.475663,-9.8050831,-6.2433558,-2.9650825,-0.71466064,0,0
41,-95.711845,-80.814193,-71.544886,-55.954277,-45.018907,-32.95161,-24.011828,-16.4742,-9.8042127,-6.2428016,-2.9648193,-0.71459719,0,0
42,-95.703348,-80.807018,-71.538534,-55.949309,-45.01491,-32.948684,-24.009697,-16.472737,-9.8033422,-6.2422473,-2.964556,-0.71453375,0,0
43,-95.69485,-80.799843,-71.532182,-55.944341,-45.010913,-32.945759,-24.007565,-16.471275,-9.8024717,-6.241693,-2.9642928,-0.7144703,0,0
44,-95.686352,-80.792668,-71.52583,-55.939373,-45.006916,-32.942833,-24.005433,-16.469812,-9.8016013,-6.2411388,-2.9640296,-0.71440686,0,0
45,-95.677855,-80.785493,-71.519478,-55.934405,-45.002919,-32.939908,-24.003301,-16.468349,-9.8007308,-6.2405845,-2.9637663,-0.71434341,0,0
46,-95.669357,-80.778318,-71.513126,-55.929437,-44.998922,-32.936982,-24.001169,-16.466887,-9.7998604,-6.2400303,-2.9635031,-0.71427997,0,0
47,-95.660859,-80.771143,-71.506774,-55.92447,-44.994925,-32.934057,-23.999037,-16.465424,-9.7989899,-6.239476,-2.9632399,-0.71421652,0,0
48,-95.652361,-80.763968,-71.500422,-55.919502,-44.990928,-32.931131,-23.996905,-16.463961,-9.7981194,-6.2389217,-2.9629767,-0.71415308,0,0
49,-95.643864,-80.756793,-71.49407,-55.914534,-44.986931,-32.928205,-23.994773,-16.462499,-9.797249,-6.2383675,-2.9627134,-0.71408963,0,0
50,-95.635366,-80.749618,-71.487718,-55.909566,-44.982934,-32.92528,-23.992642,-16.461036,-9.7963785,-6.2378132,-2.9624502,-0.71402619,0,0
51,-95.626868,-80.742442,-71.481365,-55.904598,-44.978937,-32.922354,-23.99051,-16.459573,-9.7955081,-6.2372589,-2.962187,-0.71396274,0,0
52,-95.618371,-80.735267,-71.475013,-55.89963,-44.97494,-32.919429,-23.988378,-16.458111,-9.7946376,-6.2367047,-2.9619237,-0.7138993,0,0
53,-95.609873,-80.728092,-71.468661,-55.894662,-44.970943,-32.916503,-23.986246,-16.456648,-9.7937672,-6.2361504,-2.9616605,-0.71383585,0,0
54,-95.601375,-80.720917,-71.462309,-55.889695,-44.966946,-32.913577,-23.984114,-16.455186,-9.7928967,-6.2355962,-2.9613973,-0.71377241,0,0
55,-95.592878,-80.713742,-71.455957,-55.884727,-44.962949,-32.910652,-23.981982,-16.453723,-9.7920262,-6.2350419,-2.9611341,-0.71370896,0,0
56,-95.58438,-80.706567,-71.449605,-55.879759,-44.958952,-32.907726,-23.97985,-16.45226,-9.7911558,-6.2344876,-2.9608708,-0.71364552,0,0
57,-95.575882,-80.699392,-71.443253,-55.874791,-44.954955,-32.904801,-23.977719,-16.450798,-9.7902853,-6.2339334,-2.9606076,-0.71358207,0,0
58,-95.567385,-80.692217,-71.436901,-55.869823,-44.950958,-32.901875,-23.975587,-16.449335,-9.7894149,-6.2333791,-2.9603444,-0.71351863,0,0
59,-95.558887,-80.685042,-71.430549,-55.864855,-44.946961,-32.89895,-23.973455,-16.447872,-9.7885444,-6.2328249,-2.9600811,-0.71345518,0,0
60,-95.550389,-80.677867,-71.424197,-55.859887,-44.942964,-32.896024,-23.971323,-16.44641,-9.7876739,-6.2322706,-2.9598179,-0.71339174,0,0
61,-95.541892,-80.670692,-71.417845,-55.85492,-44.938967,-32.893098,-23.969191,-16.444947,-9.7868035,-6.2317163,-2.9595547,-0.71332829,0,0
62,-95.533394,-80.663517,-71.411493,-55.849952,-44.93497,-32.890173,-23.967059,-16.443484,-9.785933,-6.2311621,-2.9592915,-0.71326485,0,0
63,-95.524896,-80.656342,-71.405141,-55.844984,-44.930973,-32.887247,-23.964927,-16.442022,-9.7850626,-6.2306078,-2.9590282,-0.7132014,0,0
64,-95.516398,-80.649167,-71.398789,-55.840016,-44.926977,-32.884322,-23.962795,-16.440559,-9.7841921,-6.2300535,-2.958765,-0.71313796,0,0
65,-95.507901,-80.641992,-71.392437,-55.835048,-44.92298,-32.881396,-23.960664,-16.439096,-9.7833217,-6.2294993,-2.9585018,-0.71307451,0,0
66,-95.499403,-80.634817,-71.386085,-55.83008,-44.918983,-32.878471,-23.958532,-16.437634,-9.7824512,-6.228945,-2.9582385,-0.71301107,0,0
67,-95.490905,-80.627642,-71.379733,-55.825113,-44.914986,-32.875545,-23.9564,-16.436171,-9.7815807,-6.2283908,-2.9579753,-0.71294762,0,0
68,-95.482408,-80.620467,-71.373381,-55.820145,-44.910989,-32.872619,-23.954268,-16.434708,-9.7807103,-6.2278365,-2.9577121,-0.71288418,0,0
69,-95.47391,-80.613292,-71.367029,-55.815177,-44.906992,-32.869694,-23.952136,-16.433246,-9.7798398,-6.2272822,-2.9574489,-0.71282073,0,0
70,-95.465412,-80.606117,-71.360677,-55.810209,-44.902995,-32.866768,-23.950004,-16.431783,-9.7789694,-6.226728,-2.9571856,-0.71275729,0,0
71,-95.456915,-80.598942,-71.354325,-55.805241,-44.898998,-32.863843,-23.947872,-16.430321,-9.7780989,-6.2261737,-2.9569224,-0.71269385,0,0
72,-95.448417,-80.591767,-71.347972,-55.800273,-44.895001,-32.860917,-23.94574,-16.428858,-9.7772285,-6.2256195,-2.9566592,-0.7126304,0,0
73,-95.439919,-80.584592,-71.34162,-55.795305,-44.891004,-32.857991,-23.943609,-16.427395,-9.776358,-6.2250652,-2.9563959,-0.71256696,0,0
74,-95.431422,-80.577417,-71.335268,-55.790338,-44.887007,-32.855066,-23.941477,-16.425933,-9.7754875,-6.2245109,-2.9561327,-0.71250351,0,0
75,-95.422924,-80.570242,-71.328916,-55.78537,-44.88301,-32.85214,-23.939345,-16.42447,-9.7746171,-6.2239567,-2.9558695,-0.71244007,0,0
76,-95.414426,-80.563067,-71.322564,-55.780402,-44.879013,-32.849215,-23.937213,-16.423007,-9.7737466,-6.2234024,-2.9556063,-0.71237662,0,0
77,-95.405929,-80.555892,-71.316212,-55.775434,-44.875016,-32.846289,-23.935081,-16.421545,-9.7728762,-6.2228482,-2.955343,-0.71231318,0,0
78,-95.397431,-80.548717,-71.30986,-55.770466,-44.871019,-32.843364,-23.932949,-16.420082,-9.7720057,-6.2222939,-2.9550798,-0.71224973,0,0
79,-95.388933,-80.541542,-71.303508,-55.765498,-44.867022,-32.840438,-23.930817,-16.418619,-9.7711352,-6.2217396,-2.9548166,-0.71218629,0,0
80,-95.380435,-80.534367,-71.297156,-55.760531,-44.863025,-32.837512,-23.928686,-16.417157,-9.7702648,-6.2211854,-2.9545533,-0.71212284,0,0
81,-95.371938,-80.527192,-71.290804,-55.755563,-44.859028,-32.834587,-23.926554,-16.415694,-9.7693943,-6.2206311,-2.9542901,-0.7120594,0,0
82,-95.36344,-80.520017,-71.284452,-55.750595,-44.855031,-32.831661,-23.924422,-16.414231,-9.7685239,-6.2200768,-2.9540269,-0.71199595,0,0
83,-95.354942,-80.512842,-71.2781,-55.745627,-44.851034,-32.828736,-23.92229,-16.412769,-9.7676534,-6.2195226,-2.9537637,-0.71193251,0,0
84,-95.346445,-80.505667,-71.271748,-55.740659,-44.847037,-32.82581,-23.920158,-16.411306,-9.766783,-6.2189683,-2.9535004,-0.71186906,0,0
85,-95.337947,-80.498492,-71.265396,-55.735691,-44.84304,-32.822885,-23.918026,-16.409843,-9.7659125,-6.2184141,-2.9532372,-0.71180562,0,0
86,-95.329449,-80.491317,-71.259044,-55.730723,-44.839043,-32.819959,-23.915894,-16.408381,-9.765042,-6.2178598,-2.952974,-0.71174217,0,0
87,-95.320952,-80.484142,-71.252692,-55.725756,-44.835046,-32.817033,-23.913762,-16.406918,-9.7641716,-6.2173055,-2.9527107,-0.71167873,0,0
88,-95.312454,-80.476967,-71.24634,-55.720788,-44.831049,-32.814108,-23.911631,-16.405456,-9.7633011,-6.2167513,-2.9524475,-0.71161528,0,0
89,-95.303956,-80.469792,-71.239988,-55.71582,-44.827052,-32.811182,-23.909499,-16.403993,-9.7624307,-6.216197,-2.9521843,-0.71155184,0,0
90,-95.295459,-80.462617,-71.233636,-55.710852,-44.823055,-32.808257,-23.907367,-16.40253,-9.7615602,-6.2156428,-2.9519211,-0.71148839,0,0
91,-95.286961,-80.455442,-71.227284,-55.705884,-44.819059,-32.805331,-23.905235,-16.401068,-9.7606898,-6.2150885,-2.9516578,-0.71142495,0,0
92,-95.278463,-80.448267,-71.220932,-55.700916,-44.815062,-32.802405,-23.903103,-16.399605,-9.7598193,-6.2145342,-2.9513946,-0.7113615,0,0
93,-95.269966,-80.441092,-71.21458,-55.695948,-44.811065,-32.79948,-23.900971,-16.398142,-9.7589488,-6.21398,-2.9511314,-0.71129806,0,0
94,-95.261468,-80.433917,-71.208227,-55.690981,-44.807068,-32.796554,-23.898839,-16.39668,-9.7580784,-6.2134257,-2.9508681,-0.71123461,0,0
95,-95.25297,-80.426742,-71.201875,-55.686013,-44.803071,-32.793629,-23.896708,-16.395217,-9.7572079,-6.2128714,-2.9506049,-0.71117117,0,0
96,-95.244472,-80.419567,-71.195523,-55.681045,-44.799074,-32.790703,-23.894576,-16.393754,-9.7563375,-6.2123172,-2.9503417,-0.71110772,0,0
97,-95.235975,-80.412392,-71.189171,-55.676077,-44.795077,-32.787778,-23.892444,-16.392292,-9.755467,-6.2117629,-2.9500785,-0.71104428,0,0
98,-95.227477,-80.405217,-71.182819,-55.671109,-44.79108,-32.784852,-23.890312,-16.390829,-9.7545965,-6.2112087,-2.9498152,-0.71098083,0,0
99,-95.218979,-80.398042,-71.176467,-55.666141,-44.787083,-32.781926,-23.88818,-16.389366,-9.7537261,-6.2106544,-2.949552,-0.71091739,0,0
100,-95.210482,-80.390867,-71.170115,-55.661174,-44.783086,-32.779001,-23.886048,-16.387904,-9.7528556,-6.2101001,-2.9492888,-0.71085394,0,0
101,-95.201984,-80.383692,-71.163763,-55.656206,-44.779089,-32.776075,-23.883916,-16.386441,-9.7519852,-6.2095459,-2.9490255,-0.7107905,0,0
102,-95.193486,-80.376517,-71.157411,-55.651238,-44.775092,-32.77315,-23.881784,-16.384978,-9.7511147,-6.2089916,-2.9487623,-0.71072705,0,0
103,-95.184989,-80.369342,-71.151059,-55.64627,-44.771095,-32.770224,-23.879653,-16.383516,-9.7502443,-6.2084374,-2.9484991,-0.71066361,0,0
104,-95.176491,-80.362167,-71.144707,-55.641302,-44.767098,-32.767299,-23.877521,-16.382053,-9.7493738,-6.2078831,-2.9482359,-0.71060017,0,0
105,-95.167993,-80.354992,-71.138355,-55.636334,-44.763101,-32.764373,-23.875389,-16.380591,-9.7485033,-6.2073288,-2.9479726,-0.71053672,0,0
106,-95.159496,-80.347817,-71.132003,-55.631366,-44.759104,-32.761447,-23.873257,-16.379128,-9.7476329,-6.2067746,-2.9477094,-0.71047328,0,0
107,-95.150998,-80.340642,-71.125651,-55.626399,-44.755107,-32.758522,-23.871125,-16.377665,-9.7467624,-6.2062203,-2.9474462,-0.71040983,0,0
108,-95.1425,-80.333467,-71.119299,-55.621431,-44.75111,-32.755596,-23.868993,-16.376203,-9.745892,-6.205666,-2.9471829,-0.71034639,0,0
109,-95.134003,-80.326292,-71.112947,-55.616463,-44.747113,-32.752671,-23.866861,-16.37474,-9.7450215,-6.2051118,-2.9469197,-0.71028294,0,0
110,-95.125505,-80.319117,-71.106595,-55.611495,-44.743116,-32.749745,-23.86473,-16.373277,-9.7441511,-6.2045575,-2.9466565,-0.7102195,0,0
111,-95.117007,-80.311942,-71.100243,-55.606527,-44.739119,-32.74682,-23.862598,-16.371815,-9.7432806,-6.2040033,-2.9463933,-0.71015605,0,0
112,-95.108509,-80.304767,-71.093891,-55.601559,-44.735122,-32.743894,-23.860466,-16.370352,-9.7424101,-6.203449,-2.94613,-0.71009261,0,0
113,-95.100012,-80.297592,-71.087539,-55.596592,-44.731125,-32.740968,-23.858334,-16.368889,-9.7415397,-6.2028947,-2.9458668,-0.71002916,0,0
114,-95.091514,-80.290417,-71.081187,-55.591624,-44.727128,-32.738043,-23.856202,-16.367427,-9.7406692,-6.2023405,-2.9456036,-0.70996572,0,0
115,-95.083016,-80.283242,-71.074834,-55.586656,-44.723131,-32.735117,-23.85407,-16.365964,-9.7397988,-6.2017862,-2.9453403,-0.70990227,0,0
116,-95.074519,-80.276067,-71.068482,-55.581688,-44.719134,-32.732192,-23.851938,-16.364501,-9.7389283,-6.201232,-2.9450771,-0.70983883,0,0
117,-95.066021,-80.268892,-71.06213,-55.57672,-44.715138,-32.729266,-23.849806,-16.363039,-9.7380578,-6.2006777,-2.9448139,-0.70977538,0,0
118,-95.057523,-80.261717,-71.055778,-55.571752,-44.711141,-32.72634,-23.847675,-16.361576,-9.7371874,-6.2001234,-2.9445506,-0.70971194,0,0
119,-95.049026,-80.254542,-71.049426,-55.566784,-44.707144,-32.723415,-23.845543,-16.360113,-9.7363169,-6.1995692,-2.9442874,-0.70964849,0,0
120,-95.040528,-80.247367,-71.043074,-55.561817,-44.703147,-32.720489,-23.843411,-16.358651,-9.7354465,-6.1990149,-2.9440242,-0.70958505,0,0
121,-95.03203,-80.240192,-71.036722,-55.556849,-44.69915,-32.717564,-23.841279,-16.357188,-9.734576,-6.1984607,-2.943761,-0.7095216,0,0
122,-95.023533,-80.233017,-71.03037,-55.551881,-44.695153,-32.714638,-23.839147,-16.355726,-9.7337056,-6.1979064,-2.9434977,-0.70945816,0,0
123,-95.015035,-80.225842,-71.024018,-55.546913,-44.691156,-32.711713,-23.837015,-16.354263,-9.7328351,-6.1973521,-2.9432345,-0.70939471,0,0
124,-95.006537,-80.218667,-71.017666,-55.541945,-44.687159,-32.708787,-23.834883,-16.3528,-9.7319646,-6.1967979,-2.9429713,-0.70933127,0,0
125,-94.99804,-80.211492,-71.011314,-55.536977,-44.683162,-32.705861,-23.832751,-16.351338,-9.7310942,-6.1962436,-2.942708,-0.70926782,0,0
126,-94.989542,-80.204316,-71.004962,-55.532009,-44.679165,-32.702936,-23.83062,-16.349875,-9.7302237,-6.1956893,-2.9424448,-0.70920438,0,0
127,-94.981044,-80.197141,-70.99861,-55.527042,-44.675168,-32.70001,-23.828488,-16.348412,-9.7293533,-6.1951351,-2.9421816,-0.70914093,0,0
128,-94.972546,-80.189966,-70.992258,-55.522074,-44.671171,-32.697085,-23.826356,-16.34695,-9.7284828,-6.1945808,-2.9419184,-0.70907749,0,0
129,-94.964049,-80.182791,-70.985906,-55.517106,-44.667174,-32.694159,-23.824224,-16.345487,-9.7276124,-6.1940266,-2.9416551,-0.70901404,0,0
130,-94.955551,-80.175616,-70.979554,-55.512138,-44.663177,-32.691234,-23.822092,-16.344024,-9.7267419,-6.1934723,-2.9413919,-0.7089506,0,0
131,-94.947053,-80.168441,-70.973202,-55.50717,-44.65918,-32.688308,-23.81996,-16.342562,-9.7258714,-6.192918,-2.9411287,-0.70888715,0,0
132,-94.938556,-80.161266,-70.96685,-55.502202,-44.655183,-32.685382,-23.817828,-16.341099,-9.725001,-6.1923638,-2.9408654,-0.70882371,0,0
133,-94.930058,-80.154091,-70.960498,-55.497235,-44.651186,-32.682457,-23.815697,-16.339636,-9.7241305,-6.1918095,-2.9406022,-0.70876026,0,0
134,-94.92156,-80.146916,-70.954146,-55.492267,-44.647189,-32.679531,-23.813565,-16.338174,-9.7232601,-6.1912553,-2.940339,-0.70869682,0,0
135,-94.913063,-80.139741,-70.947794,-55.487299,-44.643192,-32.676606,-23.811433,-16.336711,-9.7223896,-6.190701,-2.9400758,-0.70863337,0,0
136,-94.904565,-80.132566,-70.941442,-55.482331,-44.639195,-32.67368,-23.809301,-16.335249,-9.7215191,-6.1901467,-2.9398125,-0.70856993,0,0
137,-94.896067,-80.125391,-70.935089,-55.477363,-44.635198,-32.670754,-23.807169,-16.333786,-9.7206487,-6.1895925,-2.9395493,-0.70850649,0,0
138,-94.88757,-80.118216,-70.928737,-55.472395,-44.631201,-32.667829,-23.805037,-16.332323,-9.7197782,-6.1890382,-2.9392861,-0.70844304,0,0
139,-94.879072,-80.111041,-70.922385,-55.467427,-44.627204,-32.664903,-23.802905,-16.330861,-9.7189078,-6.1884839,-2.9390228,-0.7083796,0,0
140,-94.870574,-80.103866,-70.916033,-55.46246,-44.623207,-32.661978,-23.800773,-16.329398,-9.7180373,-6.1879297,-2.9387596,-0.70831615,0,0
141,-94.804125,-80.04776,-70.866363,-55.423613,-44.591953,-32.639101,-23.784103,-16.317961,-9.7112306,-6.1835956,-2.9367013,-0.70782003,0,0
142,-94.73767,-79.991649,-70.816687,-55.384762,-44.560695,-32.616222,-23.767431,-16.306522,-9.7044234,-6.179261,-2.9346427,-0.70732387,0,0
143,-94.671215,-79.935538,-70.767012,-55.345912,-44.529437,-32.593343,-23.750759,-16.295084,-9.6976161,-6.1749265,-2.9325842,-0.70682771,0,0
144,-94.60476,-79.879427,-70.717337,-55.307062,-44.49818,-32.570464,-23.734087,-16.283645,-9.6908088,-6.170592,-2.9305256,-0.70633155,0,0
145,-94.538306,-79.823316,-70.667662,-55.268211,-44.466922,-32.547585,-23.717415,-16.272207,-9.6840015,-6.1662575,-2.9284671,-0.70583539,0,0
146,-94.471851,-79.767204,-70.617986,-55.229361,-44.435664,-32.524705,-23.700743,-16.260768,-9.6771942,-6.161923,-2.9264086,-0.70533923,0,0
147,-94.405396,-79.711093,-70.568311,-55.190511,-44.404407,-32.501826,-23.684071,-16.24933,-9.6703869,-6.1575884,-2.92435,-0.70484307,0,0
148,-94.338941,-79.654982,-70.518636,-55.15166,-44.373149,-32.478947,-23.667399,-16.237892,-9.6635796,-6.1532539,-2.9222915,-0.70434691,0,0
149,-94.272486,-79.598871,-70.46896,-55.11281,-44.341891,-32.456068,-23.650727,-16.226453,-9.6567723,-6.1489194,-2.9202329,-0.70385074,0,0
150,-94.206031,-79.54276,-70.419285,-55.07396,-44.310634,-32.433189,-23.634055,-16.215015,-9.649965,-6.1445849,-2.9181744,-0.70335458,0,0
151,-94.139576,-79.486649,-70.36961,-55.035109,-44.279376,-32.41031,-23.617383,-16.203576,-9.6431577,-6.1402503,-2.9161158,-0.70285842,0,0
152,-94.073121,-79.430538,-70.319935,-54.996259,-44.248118,-32.387431,-23.600711,-16.192138,-9.6363504,-6.1359158,-2.9140573,-0.70236226,0,0
153,-94.006666,-79.374426,-70.270259,-54.957409,-44.216861,-32.364552,-23.584039,-16.1807,-9.6295431,-6.1315813,-2.9119988,-0.7018661,0,0
154,-93.940211,-79.318315,-70.220584,-54.918558,-44.185603,-32.341673,-23.567367,-16.169261,-9.6227359,-6.1272468,-2.9099402,-0.70136994,0,0
155,-93.873756,-79.262204,-70.170909,-54.879708,-44.154345,-32.318794,-23.550695,-16.157823,-9.6159286,-6.1229123,-2.9078817,-0.70087378,0,0
156,-93.807301,-79.206093,-70.121234,-54.840858,-44.123088,-32.295915,-23.534024,-16.146384,-9.6091213,-6.1185777,-2.9058231,-0.70037761,0,0
157,-93.740846,-79.149982,-70.071558,-54.802007,-44.09183,-32.273036,-23.517352,-16.134946,-9.602314,-6.1142432,-2.9037646,-0.69988145,0,0
158,-93.674391,-79.093871,-70.021883,-54.763157,-44.060572,-32.250157,-23.50068,-16.123507,-9.5955067,-6.1099087,-2.901706,-0.69938529,0,0
159,-93.607936,-79.037759,-69.972208,-54.724307,-44.029315,-32.227278,-23.484008,-16.112069,-9.5886994,-6.1055742,-2.8996475,-0.69888913,0,0
160,-93.541481,-78.981648,-69.922533,-54.685456,-43.998057,-32.204399,-23.467336,-16.100631,-9.5818921,-6.1012397,-2.897589,-0.69839297,0,0
161,-93.475026,-78.925537,-69.872857,-54.646606,-43.966799,-32.181519,-23.450664,-16.089192,-9.5750848,-6.0969051,-2.8955304,-0.69789681,0,0
162,-93.408571,-78.869426,-69.823182,-54.607756,-43.935542,-32.15864,-23.433992,-16.077754,-9.5682775,-6.0925706,-2.8934719,-0.69740065,0,0
163,-93.342117,-78.813315,-69.773507,-54.568905,-43.904284,-32.135761,-23.41732,-16.066315,-9.5614702,-6.0882361,-2.8914133,-0.69690449,0,0
164,-93.275662,-78.757204,-69.723831,-54.530055,-43.873026,-32.112882,-23.400648,-16.054877,-9.5546629,-6.0839016,-2.8893548,-0.69640832,0,0
165,-93.209207,-78.701092,-69.674156,-54.491204,-43.841769,-32.090003,-23.383976,-16.043439,-9.5478557,-6.079567,-2.8872962,-0.69591216,0,0
166,-93.142752,-78.644981,-69.624481,-54.452354,-43.810511,-32.067124,-23.367304,-16.032,-9.5410484,-6.0752325,-2.8852377,-0.695416,0,0
167,-93.076297,-78.58887,-69.574806,-54.413504,-43.779253,-32.044245,-23.350632,-16.020562,-9.5342411,-6.070898,-2.8831792,-0.69491984,0,0
