Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa)
14,-1.9309993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.41997698,-0.8683419,-0.45512348,0,0,0,0,0,-0.27688247,-1.0135904,-1.6207744,-0.72195635,0,0,0,0,0,0,-0.1753474,-0.2898502,0,0,0,0,0,0,0,0,0,0,0
15,-1.8884059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.41071324,-0.84918825,-0.44508449,0,0,0,0,0,-0.27077507,-0.99123294,-1.5850238,-0.70603163,0,0,0,0,0,0,-0.17147963,-0.28345677,0,0,0,0,0,0,0,0,0,0,0
16,-1.8458124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4014495,-0.8300346,-0.4350455,0,0,0,0,0,-0.26466768,-0.96887544,-1.5492732,-0.69010691,0,0,0,0,0,0,-0.16761187,-0.27706333,0,0,0,0,0,0,0,0,0,0,0
17,-1.803219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.39218576,-0.81088095,-0.42500651,0,0,0,0,0,-0.25856028,-0.94651793,-1.5135225,-0.6741822,0,0,0,0,0,0,-0.1637441,-0.27066989,0,0,0,0,0,0,0,0,0,0,0
18,-1.7606255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.38292202,-0.7917273,-0.41496752,0,0,0,0,0,-0.25245288,-0.92416043,-1.4777719,-0.65825748,0,0,0,0,0,0,-0.15987634,-0.26427645,0,0,0,0,0,0,0,0,0,0,0
19,-1.718032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.37365828,-0.77257365,-0.40492853,0,0,0,0,0,-0.24634548,-0.90180292,-1.4420213,-0.64233276,0,0,0,0,0,0,-0.15600857,-0.25788302,0,0,0,0,0,0,0,0,0,0,0
20,-1.6754386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.36439455,-0.75341999,-0.39488954,0,0,0,0,0,-0.24023808,-0.87944542,-1.4062707,-0.62640804,0,0,0,0,0,0,-0.15214081,-0.25148958,0,0,0,0,0,0,0,0,0,0,0
21,-1.6328451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.35513081,-0.73426634,-0.38485055,0,0,0,0,0,-0.23413068,-0.85708792,-1.3705201,-0.61048332,0,0,0,0,0,0,-0.14827304,-0.24509614,0,0,0,0,0,0,0,0,0,0,0
22,-1.5902517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.34586707,-0.71511269,-0.37481156,0,0,0,0,0,-0.22802328,-0.83473041,-1.3347695,-0.59455861,0,0,0,0,0,0,-0.14440528,-0.2387027,0,0,0,0,0,0,0,0,0,0,0
23,-1.5476582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.33660333,-0.69595904,-0.36477257,0,0,0,0,0,-0.22191588,-0.81237291,-1.2990189,-0.57863389,0,0,0,0,0,0,-0.14053751,-0.23230927,0,0,0,0,0,0,0,0,0,0,0
24,-1.5050647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.32733959,-0.67680539,-0.35473358,0,0,0,0,0,-0.21580849,-0.7900154,-1.2632683,-0.56270917,0,0,0,0,0,0,-0.13666974,-0.22591583,0,0,0,0,0,0,0,0,0,0,0
25,-1.4624713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31807585,-0.65765174,-0.34469459,0,0,0,0,0,-0.20970109,-0.7676579,-1.2275177,-0.54678445,0,0,0,0,0,0,-0.13280198,-0.21952239,0,0,0,0,0,0,0,0,0,0,0
26,-1.4198778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.30881211,-0.63849809,-0.3346556,0,0,0,0,0,-0.20359369,-0.7453004,-1.1917671,-0.53085973,0,0,0,0,0,0,-0.12893421,-0.21312895,0,0,0,0,0,0,0,0,0,0,0
27,-1.3772843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.29954837,-0.61934444,-0.3246166,0,0,0,0,0,-0.19748629,-0.72294289,-1.1560165,-0.51493502,0,0,0,0,0,0,-0.12506645,-0.20673552,0,0,0,0,0,0,0,0,0,0,0
28,-1.3346909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.29028464,-0.60019079,-0.31457761,0,0,0,0,0,-0.19137889,-0.70058539,-1.1202659,-0.4990103,0,0,0,0,0,0,-0.12119868,-0.20034208,0,0,0,0,0,0,0,0,0,0,0
29,-1.2920974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2810209,-0.58103714,-0.30453862,0,0,0,0,0,-0.18527149,-0.67822788,-1.0845153,-0.48308558,0,0,0,0,0,0,-0.11733092,-0.19394864,0,0,0,0,0,0,0,0,0,0,0
30,-1.249504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27175716,-0.56188349,-0.29449963,0,0,0,0,0,-0.17916409,-0.65587038,-1.0487647,-0.46716086,0,0,0,0,0,0,-0.11346315,-0.1875552,0,0,0,0,0,0,0,0,0,0,0
31,-1.2069049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2624922,-0.54272731,-0.28445932,0,0,0,0,0,-0.17305589,-0.63350993,-1.0130094,-0.45123404,0,0,0,0,0,0,-0.10959488,-0.18116092,0,0,0,0,0,0,0,0,0,0,0
32,-1.1087329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.24114057,-0.49858082,-0.26132084,0,0,0,0,0,-0.15897919,-0.581979,-0.93060925,-0.41452979,0,0,0,0,0,0,-0.10068022,-0.16642494,0,0,0,0,0,0,0,0,0,0,0
33,-1.0105609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21978895,-0.45443432,-0.23818237,0,0,0,0,0,-0.14490249,-0.53044807,-0.8482091,-0.37782554,0,0,0,0,0,0,-0.091765556,-0.15168896,0,0,0,0,0,0,0,0,0,0,0
34,-0.91238893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19843732,-0.41028783,-0.2150439,0,0,0,0,0,-0.13082578,-0.47891715,-0.76580895,-0.34112129,0,0,0,0,0,0,-0.082850896,-0.13695298,0,0,0,0,0,0,0,0,0,0,0
35,-0.81421695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1770857,-0.36614134,-0.19190543,0,0,0,0,0,-0.11674908,-0.42738622,-0.6834088,-0.30441703,0,0,0,0,0,0,-0.073936236,-0.122217,0,0,0,0,0,0,0,0,0,0,0
36,-0.71604496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15573408,-0.32199485,-0.16876695,0,0,0,0,0,-0.10267238,-0.37585529,-0.60100865,-0.26771278,0,0,0,0,0,0,-0.065021577,-0.10748102,0,0,0,0,0,0,0,0,0,0,0
37,-0.61787298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13438245,-0.27784836,-0.14562848,0,0,0,0,0,-0.088595679,-0.32432437,-0.5186085,-0.23100853,0,0,0,0,0,0,-0.056106917,-0.092745038,0,0,0,0,0,0,0,0,0,0,0
38,-0.51970099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11303083,-0.23370186,-0.12249001,0,0,0,0,0,-0.074518977,-0.27279344,-0.43620835,-0.19430428,0,0,0,0,0,0,-0.047192257,-0.078009057,0,0,0,0,0,0,0,0,0,0,0
39,-0.42152901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.091679201,-0.18955537,-0.099351536,0,0,0,0,0,-0.060442275,-0.22126252,-0.3538082,-0.15760002,0,0,0,0,0,0,-0.038277597,-0.063273076,0,0,0,0,0,0,0,0,0,0,0
40,-0.32335702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.070327577,-0.14540888,-0.076213063,0,0,0,0,0,-0.046365574,-0.16973159,-0.27140805,-0.12089577,0,0,0,0,0,0,-0.029362938,-0.048537095,0,0,0,0,0,0,0,0,0,0,0
