Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa),Coord 92 Stress (kPa),Coord 93 Stress (kPa),Coord 94 Stress (kPa),Coord 95 Stress (kPa),Coord 96 Stress (kPa),Coord 97 Stress (kPa),Coord 98 Stress (kPa),Coord 99 Stress (kPa),Coord 100 Stress (kPa),Coord 101 Stress (kPa),Coord 102 Stress (kPa),Coord 103 Stress (kPa),Coord 104 Stress (kPa),Coord 105 Stress (kPa),Coord 106 Stress (kPa),Coord 107 Stress (kPa),Coord 108 Stress (kPa),Coord 109 Stress (kPa),Coord 110 Stress (kPa),Coord 111 Stress (kPa),Coord 112 Stress (kPa),Coord 113 Stress (kPa),Coord 114 Stress (kPa),Coord 115 Stress (kPa),Coord 116 Stress (kPa),Coord 117 Stress (kPa),Coord 118 Stress (kPa),Coord 119 Stress (kPa),Coord 120 Stress (kPa),Coord 121 Stress (kPa),Coord 122 Stress (kPa),Coord 123 Stress (kPa)
0,-78.291688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.69175522,-4.0914258,-6.4695373,-3.5611596,-0.093753138,0,0,0,0,-4.2666563,0,0,0,0,-0.91550601,-0.2680026,-12.851486,-35.134665,-20.206942,-4.8152116,-0.01810886,0,0,0,0,0,0,0,0,0,-7.9736395,-28.398313,-69.359639,-32.859913,-7.7184314,-0.66776744,0,0,0,0,0,0,0,0,-4.5939042,-13.33983,-8.0673024,-0.95598844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-78.201142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6909552,-4.086694,-6.4620552,-3.5570411,-0.093644712,0,0,0,0,-4.2617219,0,0,0,0,-0.91444722,-0.26769265,-12.836623,-35.094031,-20.183572,-4.8096428,-0.018087917,0,0,0,0,0,0,0,0,0,-7.9644179,-28.36547,-69.279424,-32.82191,-7.7095049,-0.66699516,0,0,0,0,0,0,0,0,-4.5885912,-13.324403,-8.0579725,-0.95488283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-78.110597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.69015517,-4.0819623,-6.4545731,-3.5529226,-0.093536285,0,0,0,0,-4.2567874,0,0,0,0,-0.91338842,-0.2673827,-12.82176,-35.053397,-20.160203,-4.8040739,-0.018066974,0,0,0,0,0,0,0,0,0,-7.9551962,-28.332627,-69.199209,-32.783907,-7.7005784,-0.66622288,0,0,0,0,0,0,0,0,-4.5832783,-13.308975,-8.0486425,-0.95377721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-78.020051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.68935515,-4.0772305,-6.447091,-3.548804,-0.093427858,0,0,0,0,-4.251853,0,0,0,0,-0.91232963,-0.26707275,-12.806897,-35.012763,-20.136833,-4.798505,-0.01804603,0,0,0,0,0,0,0,0,0,-7.9459746,-28.299784,-69.118993,-32.745904,-7.6916519,-0.66545059,0,0,0,0,0,0,0,0,-4.5779654,-13.293547,-8.0393126,-0.9526716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-77.929506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.68855512,-4.0724987,-6.4396089,-3.5446855,-0.093319431,0,0,0,0,-4.2469185,0,0,0,0,-0.91127083,-0.26676281,-12.792034,-34.97213,-20.113463,-4.7929362,-0.018025087,0,0,0,0,0,0,0,0,0,-7.936753,-28.266941,-69.038778,-32.707901,-7.6827255,-0.66467831,0,0,0,0,0,0,0,0,-4.5726525,-13.278119,-8.0299826,-0.95156598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-77.83896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6877551,-4.0677669,-6.4321268,-3.540567,-0.093211004,0,0,0,0,-4.2419841,0,0,0,0,-0.91021204,-0.26645286,-12.777171,-34.931496,-20.090094,-4.7873673,-0.018004144,0,0,0,0,0,0,0,0,0,-7.9275314,-28.234098,-68.958562,-32.669898,-7.673799,-0.66390603,0,0,0,0,0,0,0,0,-4.5673396,-13.262692,-8.0206527,-0.95046037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-77.748415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.68695507,-4.0630351,-6.4246447,-3.5364484,-0.093102577,0,0,0,0,-4.2370496,0,0,0,0,-0.90915324,-0.26614291,-12.762308,-34.890862,-20.066724,-4.7817984,-0.017983201,0,0,0,0,0,0,0,0,0,-7.9183097,-28.201255,-68.878347,-32.631895,-7.6648725,-0.66313375,0,0,0,0,0,0,0,0,-4.5620267,-13.247264,-8.0113227,-0.94935476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-77.657869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.68615505,-4.0583033,-6.4171626,-3.5323299,-0.09299415,0,0,0,0,-4.2321152,0,0,0,0,-0.90809444,-0.26583296,-12.747445,-34.850229,-20.043354,-4.7762296,-0.017962258,0,0,0,0,0,0,0,0,0,-7.9090881,-28.168412,-68.798132,-32.593892,-7.655946,-0.66236146,0,0,0,0,0,0,0,0,-4.5567137,-13.231836,-8.0019928,-0.94824914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-77.567324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.68535503,-4.0535715,-6.4096804,-3.5282114,-0.092885724,0,0,0,0,-4.2271807,0,0,0,0,-0.90703565,-0.26552301,-12.732582,-34.809595,-20.019985,-4.7706607,-0.017941315,0,0,0,0,0,0,0,0,0,-7.8998665,-28.135568,-68.717916,-32.555889,-7.6470196,-0.66158918,0,0,0,0,0,0,0,0,-4.5514008,-13.216409,-7.9926628,-0.94714353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-77.476779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.684555,-4.0488397,-6.4021983,-3.5240929,-0.092777297,0,0,0,0,-4.2222463,0,0,0,0,-0.90597685,-0.26521306,-12.717719,-34.768961,-19.996615,-4.7650919,-0.017920371,0,0,0,0,0,0,0,0,0,-7.8906448,-28.102725,-68.637701,-32.517886,-7.6380931,-0.6608169,0,0,0,0,0,0,0,0,-4.5460879,-13.200981,-7.9833329,-0.94603791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
