X coord (mm),Y coord (mm)
11.4371,7.62637
12.0342,7.5398
12.6092,7.45859
12.886,7.42339
2.12902,7.99545
2.57208,7.92173
3.00827,7.84537
3.41986,8.07392
3.8864,7.989
4.35807,7.89864
5.18303,8.0497
5.60581,7.97847
6.01519,7.90491
6.41573,7.83572
7.15366,8.00391
7.52591,7.94284
7.88374,7.88435
8.54098,8.07144
8.88187,8.01669
9.54382,7.91454
9.8778,7.86442
10.4891,8.05373
11.1175,7.95879
11.421,7.91439
11.9928,8.11774
12.5729,8.03437
13.1253,7.95936
2.01637,8.63465
2.46789,8.55387
2.90051,8.47539
3.35678,8.39284
4.19476,8.54018
4.65541,8.44998
5.10722,8.36601
5.46587,8.60494
5.90197,8.52535
6.31698,8.44834
7.04645,8.61686
7.4238,8.55255
8.14677,8.43171
8.50253,8.37198
9.12918,8.56755
9.46388,8.51469
10.1218,8.40844
10.4429,8.35363
11.0387,8.55631
11.3566,8.50358
11.9632,8.41354
12.516,8.62511
13.0811,8.54442
1.94387,8.95992
2.39286,8.87975
3.18052,9.04891
3.63733,8.96021
4.09956,8.86881
4.47644,9.10706
4.93716,9.01317
5.38773,8.92536
6.15857,9.08738
6.5664,9.00986
6.95622,8.93959
7.61206,9.13518
7.98512,9.06895
8.34957,9.0035
9.04964,8.88425
9.65074,9.08878
9.98982,9.02979
10.6552,8.9184
10.9799,8.86454
11.5687,9.06751
11.8744,9.01931
12.4692,8.9308
13.0397,8.85093
2.21203,9.55105
2.65645,9.46671
3.10294,9.37682
3.46429,9.6215
3.91918,9.53195
4.38535,9.43675
5.16648,9.59867
5.59657,9.51424
6.02895,9.42868
6.44822,9.34599
7.11871,9.53585
7.49729,9.47023
7.85801,9.40571
8.51169,9.5988
8.87393,9.53318
9.57556,9.40815
9.91474,9.34926
10.5221,9.55052
10.8594,9.49095
11.5056,9.38072
12.0455,9.6066
12.6299,9.52033
12.9167,9.47893
2.13564,9.88988
2.47974,10.1423
2.91544,10.0539
3.35411,9.96468
4.14708,10.1285
4.58639,10.0396
5.01702,9.95367
5.45724,9.86377
