Time (ms),Stress at 0.00 mm (kPa),Stress at 0.26 mm (kPa),Stress at 0.42 mm (kPa),Stress at 0.65 mm (kPa),Stress at 0.85 mm (kPa),Stress at 1.06 mm (kPa),Stress at 1.26 mm (kPa),Stress at 1.44 mm (kPa),Stress at 1.66 mm (kPa),Stress at 1.87 mm (kPa),Stress at 2.06 mm (kPa),Stress at 2.25 mm (kPa),Stress at 2.44 mm (kPa),Stress at 2.66 mm (kPa),Stress at 2.86 mm (kPa),Stress at 3.05 mm (kPa),Stress at 3.26 mm (kPa),Stress at 3.45 mm (kPa),Stress at 3.66 mm (kPa),Stress at 3.85 mm (kPa),Stress at 4.05 mm (kPa),Stress at 4.24 mm (kPa),Stress at 4.45 mm (kPa),Stress at 4.65 mm (kPa),Stress at 4.84 mm (kPa)
21,6.4442583,5.7433645,5.85535,2.9256192,2.2746783,1.6351419,1.2891176,1.0207971,0.78503147,0.621518,0.51397311,0.4023061,0.29807866,0.25405122,0.24646915,0,0,0,0,0,0,0,0,0,0
22,6.7789629,6.0416658,6.1594677,3.0775713,2.3928215,1.7200686,1.3560723,1.0738157,0.82580477,0.65379867,0.54066806,0.42320124,0.3135604,0.26724624,0.25927037,0,0,0,0,0,0,0,0,0,0
23,7.1136676,6.3399671,6.4635853,3.2295233,2.5109647,1.8049953,1.4230271,1.1268343,0.86657807,0.68607933,0.56736302,0.44409639,0.32904214,0.28044126,0.27207159,0,0,0,0,0,0,0,0,0,0
24,7.4483722,6.6382684,6.767703,3.3814754,2.6291079,1.889922,1.4899818,1.1798529,0.90735136,0.71836,0.59405797,0.46499153,0.34452387,0.29363628,0.28487281,0,0,0,0,0,0,0,0,0,0
25,7.7830768,6.9365697,7.0718206,3.5334275,2.7472511,1.9748487,1.5569365,1.2328715,0.94812466,0.75064067,0.62075292,0.48588668,0.36000561,0.3068313,0.29767403,0,0,0,0,0,0,0,0,0,0
26,8.1177814,7.234871,7.3759383,3.6853795,2.8653943,2.0597754,1.6238913,1.28589,0.98889796,0.78292133,0.64744788,0.50678182,0.37548734,0.32002632,0.31047525,0,0,0,0,0,0,0,0,0,0
27,8.452486,7.5331723,7.680056,3.8373316,2.9835375,2.1447021,1.690846,1.3389086,1.0296713,0.815202,0.67414283,0.52767697,0.39096908,0.33322134,0.32327647,0,0,0,0,0,0,0,0,0,0
28,8.7871907,7.8314736,7.9841736,3.9892836,3.1016807,2.2296288,1.7578007,1.3919272,1.0704446,0.84748266,0.70083778,0.54857211,0.40645082,0.34641636,0.33607769,0,0,0,0,0,0,0,0,0,0
29,9.1218953,8.1297749,8.2882913,4.1412357,3.2198239,2.3145555,1.8247555,1.4449458,1.1112179,0.87976333,0.72753274,0.56946726,0.42193255,0.35961138,0.3488789,0,0,0,0,0,0,0,0,0,0
30,9.4565999,8.4280762,8.5924089,4.2931877,3.3379671,2.3994822,1.8917102,1.4979644,1.1519912,0.912044,0.75422769,0.5903624,0.43741429,0.3728064,0.36168012,0,0,0,0,0,0,0,0,0,0
