Time (ms),Avg stress (kPa),Upper (kPa),Lower (kPa)
127.02541,-5.5458153,0.52150653,-11.613137
128.02561,-5.4819807,0.63332632,-11.597288
129.02581,-5.418146,0.74515262,-11.581445
130.02601,-5.3543114,0.8569853,-11.565608
131.02621,-5.2904767,0.9688242,-11.549778
132.02641,-5.2266421,1.0806692,-11.533953
133.02661,-5.1628075,1.1925201,-11.518135
134.02681,-5.0989728,1.3043768,-11.502322
135.02701,-5.0351382,1.4162392,-11.486516
136.02721,-4.9713035,1.5281072,-11.470714
137.02741,-4.9074689,1.6399806,-11.454918
138.02761,-4.8436343,1.7518593,-11.439128
139.02781,-4.7797996,1.8637432,-11.423342
140.02801,-4.715965,1.9756322,-11.407562
141.02821,-4.6521304,2.0875261,-11.391787
142.02841,-4.5882957,2.199425,-11.376016
143.02861,-4.5244611,2.3113286,-11.360251
144.02881,-4.4606264,2.4232368,-11.34449
145.02901,-4.3967918,2.5351497,-11.328733
146.02921,-4.3329572,2.647067,-11.312981
147.02941,-4.2691225,2.7589887,-11.297234
148.02961,-4.2052879,2.8709147,-11.28149
149.02981,-4.1414532,2.9828449,-11.265751
150.03001,-4.0776186,3.0947792,-11.250016
151.03021,-4.013784,3.2067176,-11.234286
152.03041,-3.9499493,3.3186599,-11.218559
153.03061,-3.8861147,3.4306061,-11.202836
154.03081,-3.82228,3.5425562,-11.187116
155.03101,-3.7584454,3.6545099,-11.171401
156.03121,-3.6946108,3.7664673,-11.155689
157.03141,-3.6307761,3.8784283,-11.139981
158.03161,-3.5669415,3.9903928,-11.124276
159.03181,-3.5031069,4.1023608,-11.108575
160.03201,-3.4392722,4.2143322,-11.092877
161.03221,-3.3754376,4.3263069,-11.077182
162.03241,-3.3116029,4.4382848,-11.061491
163.03261,-3.2477683,4.550266,-11.045803
164.03281,-3.1839337,4.6622503,-11.030118
165.03301,-3.120099,4.7742377,-11.014436
166.03321,-3.0562644,4.8862281,-10.998757
167.03341,-2.9924297,4.9982215,-10.983081
168.03361,-2.9285951,5.1102178,-10.967408
169.03381,-2.8647605,5.222217,-10.951738
170.03401,-2.8009258,5.334219,-10.936071
171.03421,-2.7370912,5.4462238,-10.920406
172.03441,-2.6732566,5.5582313,-10.904744
173.03461,-2.6094219,5.6702415,-10.889085
174.03481,-2.5455873,5.7822543,-10.873429
175.03501,-2.4817526,5.8942697,-10.857775
176.03521,-2.417918,6.0062876,-10.842124
177.03541,-2.3540834,6.118308,-10.826475
178.03561,-2.2902487,6.2303308,-10.810828
179.03581,-2.2264141,6.3423561,-10.795184
180.03601,-2.1625794,6.4543838,-10.779543
181.03621,-2.0987448,6.5664137,-10.763903
182.03641,-2.0349102,6.678446,-10.748266
183.03661,-1.9710755,6.7904805,-10.732632
184.03681,-1.9072409,6.9025173,-10.716999
185.03701,-1.8434062,7.0145562,-10.701369
186.03721,-1.7795716,7.1265972,-10.68574
187.03741,-1.715737,7.2386404,-10.670114
188.03761,-1.6519023,7.3506857,-10.65449
189.03781,-1.5880677,7.462733,-10.638868
190.03801,-1.5242331,7.5747823,-10.623248
191.03821,-1.4603984,7.6868335,-10.60763
192.03841,-1.3965638,7.7988868,-10.592014
193.03861,-1.3327291,7.9109419,-10.5764
194.03881,-1.2688945,8.022999,-10.560788
195.03901,-1.2050599,8.1350579,-10.545178
196.03921,-1.1412252,8.2471186,-10.529569
197.03941,-1.0773906,8.3591811,-10.513962
198.03961,-1.0135559,8.4712454,-10.498357
199.03981,-0.94972131,8.5833115,-10.482754
200.04001,-0.88588667,8.6953792,-10.467153
201.04021,-0.82205203,8.8074487,-10.451553
202.04041,-0.75821739,8.9195198,-10.435955
203.04061,-0.69438275,9.0315926,-10.420358
204.04081,-0.62608015,9.1513911,-10.403551
205.04101,-0.4531038,9.4525006,-10.358708
206.04121,-0.28012744,9.7542715,-10.314526
207.04141,-0.10715109,10.056679,-10.270981
208.04161,0.065825258,10.359698,-10.228048
209.04181,0.23880161,10.663307,-10.185704
210.04201,0.41177796,10.967484,-10.143928
211.04221,0.58475431,11.272207,-10.102698
212.04241,0.75773066,11.577457,-10.061995
213.04261,0.93070701,11.883214,-10.0218
214.04281,1.1036834,12.189461,-9.9820941
215.04301,1.2766597,12.496179,-9.94286
216.04321,1.4496361,12.803353,-9.9040811
217.04341,1.6226124,13.110966,-9.8657414
218.04361,1.7955888,13.419003,-9.8278258
219.04381,1.9706564,13.727178,-9.7858653
220.04401,2.1913446,14.029622,-9.646933
221.04421,2.4120328,14.332072,-9.5080063
222.04441,2.632721,14.634527,-9.3690851
223.04461,2.8534092,14.936988,-9.2301693
224.04481,3.0740974,15.239453,-9.0912587
225.04501,3.2947855,15.541924,-8.9523533
226.04521,3.5154737,15.8444,-8.813453
227.04541,3.7361619,16.146881,-8.6745576
228.04561,3.9568501,16.449367,-8.5356671
229.04581,4.1775383,16.751858,-8.3967813
230.04601,4.3982265,17.054353,-8.2579002
231.04621,4.6189146,17.356853,-8.1190237
232.04641,4.8396028,17.659357,-7.9801517
233.04661,5.060291,17.961866,-7.8412841
234.04681,5.2809792,18.264379,-7.7024209
235.04701,5.5016674,18.566897,-7.5635619
236.04721,5.7223555,18.869418,-7.424707
237.04741,5.9430437,19.171944,-7.2858562
238.04761,6.1637319,19.474473,-7.1470095
239.04781,6.3844201,19.777007,-7.0081667
240.04801,6.6051083,20.079544,-6.8693277
241.04821,6.8257965,20.382086,-6.7304926
242.04841,7.0464846,20.68463,-6.5916612
243.04861,7.2671728,20.987179,-6.4528334
244.04881,7.487861,21.289731,-6.3140093
245.04901,7.7085492,21.592287,-6.1751887
246.04921,7.9292374,21.894846,-6.0363715
247.04941,8.1499256,22.197409,-5.8975578
248.04961,8.3706137,22.499975,-5.7587474
249.04981,8.5913019,22.802544,-5.6199403
250.05001,8.8119901,23.105117,-5.4811365
251.05021,9.0326783,23.407692,-5.3423358
252.05041,9.2533665,23.710271,-5.2035382
253.05061,9.4740547,24.012853,-5.0647438
254.05081,9.6947428,24.315438,-4.9259523
255.05101,9.915431,24.618026,-4.7871639
256.05121,10.136119,24.920617,-4.6483783
257.05141,10.356807,25.22321,-4.5095957
258.05161,10.577496,25.525807,-4.3708158
259.05181,10.798184,25.828406,-4.2320387
260.05201,11.018872,26.131008,-4.0932644
261.05221,11.23956,26.433613,-3.9544928
262.05241,11.460248,26.73622,-3.8157238
263.05261,11.680936,27.03883,-3.6769574
264.05281,11.901625,27.341443,-3.5381936
265.05301,12.122313,27.644058,-3.3994323
266.05321,12.343001,27.946676,-3.2606735
267.05341,12.563689,28.249296,-3.1219172
268.05361,12.784377,28.551918,-2.9831632
269.05381,13.005066,28.854543,-2.8444117
270.05401,13.225754,29.15717,-2.7056624
271.05421,13.446442,29.459799,-2.5669155
272.05441,13.66713,29.762431,-2.4281708
273.05461,13.887818,30.065065,-2.2894283
274.05481,14.108506,30.367701,-2.1506881
275.05501,14.329195,30.670339,-2.01195
276.05521,14.549883,30.97298,-1.873214
277.05541,14.770571,31.275622,-1.7344801
278.05561,14.991259,31.578267,-1.5957483
279.05581,15.211947,31.880913,-1.4570186
280.05601,15.432636,32.183562,-1.3182908
281.05621,15.653324,32.486213,-1.179565
282.05641,15.874012,32.788865,-1.0408412
283.05661,16.0947,33.09152,-0.90211926
284.05681,16.315388,33.394176,-0.76339923
285.05701,16.536076,33.696834,-0.62468108
286.05721,16.756765,33.999494,-0.48596475
287.05741,16.977453,34.302156,-0.34725025
288.05761,17.198141,34.60482,-0.20853752
289.05781,17.418829,34.907485,-0.069826565
290.05801,17.639517,35.210152,0.068882657
291.05821,17.860206,35.512821,0.20759017
292.05841,18.080894,35.815492,0.34629599
293.05861,18.301582,36.118164,0.48500014
294.05881,18.52227,36.420838,0.62370265
295.05901,18.742958,36.723513,0.76240354
296.05921,18.963646,37.02619,0.90110284
297.05941,19.184335,37.328869,1.0398006
298.05961,19.405023,37.631549,1.1784967
299.05981,19.625711,37.934231,1.3171913
300.06001,19.846399,38.236914,1.4558844
301.06021,20.067087,38.539599,1.5945761
302.06041,20.287776,38.842285,1.7332662
303.06061,20.508464,39.144973,1.8719549
304.06081,20.729152,39.447662,2.0106422
305.06101,20.94984,39.750352,2.149328
306.06121,21.170528,40.053044,2.2880124
307.06141,21.391217,40.355738,2.4266955
308.06161,21.611905,40.658432,2.5653772
309.06181,21.832593,40.961128,2.7040575
310.06201,22.053281,41.263826,2.8427366
311.06221,22.273969,41.566524,2.9814143
312.06241,22.494657,41.869224,3.1200907
313.06261,22.723095,42.182676,3.2635128
314.06281,23.067705,42.65763,3.4777801
315.06301,23.412316,43.133178,3.6914534
316.06321,23.756926,43.609308,3.9045442
317.06341,24.101536,44.086009,4.1170642
318.06361,24.446147,44.563269,4.3290245
319.06381,24.790757,45.041079,4.5404362
320.06401,25.135368,45.519426,4.75131
321.06421,25.479978,45.9983,4.9616564
322.06441,25.824589,46.477692,5.1714858
323.06461,26.169199,46.95759,5.3808082
324.06481,26.51381,47.437986,5.5896333
325.06501,26.85842,47.91887,5.7979709
326.06521,27.203031,48.400231,6.0058303
327.06541,27.547641,48.882062,6.2132207
328.06561,27.892252,49.364352,6.4201512
329.06581,28.241681,49.846157,6.6372064
330.06601,28.659648,50.314849,7.0044469
331.06621,29.077614,50.783552,7.3716754
332.06641,29.49558,51.252268,7.7388919
333.06661,29.913546,51.720996,8.1060966
334.06681,30.331513,52.189736,8.4732896
335.06701,30.749479,52.658487,8.8404709
336.06721,31.167445,53.127249,9.2076405
337.06741,31.585411,53.596024,9.5747987
338.06761,32.003377,54.064809,9.9419454
339.06781,32.421344,54.533606,10.309081
340.06801,32.83931,55.002415,10.676205
341.06821,33.257276,55.471234,11.043318
342.06841,33.675242,55.940065,11.41042
343.06861,34.093208,56.408907,11.77751
344.06881,34.511175,56.877759,12.14459
345.06901,34.929141,57.346623,12.511659
346.06921,35.347107,57.815497,12.878717
347.06941,35.765073,58.284383,13.245764
348.06961,36.18304,58.753278,13.612801
349.06981,36.601006,59.222185,13.979827
350.07001,37.018972,59.691102,14.346842
351.07021,37.436938,60.160029,14.713847
352.07041,37.854904,60.628967,15.080842
353.07061,38.272871,61.097915,15.447826
354.07081,38.690837,61.566874,15.8148
355.07101,39.108803,62.035842,16.181764
356.07121,39.526769,62.504821,16.548717
357.07141,39.944735,62.97381,16.915661
358.07161,40.362702,63.442809,17.282595
359.07181,40.780668,63.911817,17.649518
360.07201,41.198634,64.380836,18.016432
361.07221,41.6166,64.849864,18.383336
362.07241,42.034566,65.318902,18.750231
363.07261,42.452533,65.78795,19.117115
364.07281,42.870499,66.257007,19.48399
365.07301,43.288465,66.726074,19.850856
366.07321,43.706431,67.195151,20.217712
367.07341,44.124398,67.664236,20.584559
368.07361,44.542364,68.133331,20.951396
369.07381,44.96033,68.602436,21.318224
370.07401,45.378296,69.071549,21.685043
371.07421,45.796262,69.540672,22.051853
372.07441,46.214229,70.009804,22.418653
373.07461,46.632195,70.478945,22.785445
374.07481,47.050161,70.948095,23.152227
375.07502,47.468127,71.417254,23.519001
376.07522,47.886093,71.886421,23.885765
377.07542,48.30406,72.355598,24.252521
378.07562,48.722026,72.824783,24.619268
379.07582,49.139992,73.293977,24.986007
380.07602,49.557958,73.76318,25.352737
381.07622,49.975925,74.232391,25.719458
382.07642,50.393891,74.701611,26.08617
383.07662,50.811857,75.17084,26.452874
384.07682,51.229823,75.640076,26.81957
385.07702,51.647789,76.109322,27.186257
386.07722,52.065756,76.578575,27.552936
387.07742,52.483722,77.047837,27.919607
388.07762,52.901688,77.517107,28.286269
389.07782,53.319654,77.986385,28.652924
390.07802,53.73762,78.455671,29.01957
391.07822,54.155587,78.924966,29.386208
392.07842,54.573553,79.394268,29.752838
393.07862,54.991519,79.863578,30.11946
394.07882,55.409485,80.332897,30.486074
395.07902,55.827451,80.802223,30.85268
396.07922,56.245418,81.271557,31.219279
397.07942,56.663384,81.740899,31.585869
398.07962,57.08135,82.210248,31.952452
399.07982,57.499316,82.679605,32.319027
400.08002,57.917283,83.14897,32.685595
401.08022,58.335249,83.618343,33.052155
402.08042,58.753215,84.087723,33.418707
403.08062,59.171181,84.55711,33.785252
404.08082,59.589147,85.026505,34.15179
405.08102,60.007114,85.495907,34.51832
406.08122,60.42508,85.965317,34.884843
407.08142,60.843046,86.434734,35.251358
408.08162,61.261012,86.904158,35.617866
409.08182,61.678978,87.37359,35.984367
410.08202,62.096945,87.843029,36.350861
411.08222,62.514911,88.312475,36.717347
412.08242,62.932877,88.781928,37.083827
413.08262,63.350843,89.251388,37.450299
414.08282,63.76881,89.720855,37.816764
415.08302,64.186776,90.190329,38.183223
416.08322,64.604742,90.65981,38.549674
417.08342,65.022708,91.129298,38.916119
418.08362,65.440674,91.598792,39.282556
419.08382,65.858641,92.068294,39.648987
420.08402,66.276607,92.537802,40.015411
421.08422,66.694573,93.007317,40.381829
422.08442,67.112539,93.476839,40.748239
423.08462,67.536359,93.947237,41.125481
424.08482,68.023486,94.427283,41.619688
425.08502,68.510613,94.907779,42.113446
426.08522,68.99774,95.388724,42.606755
427.08542,69.484866,95.870119,43.099614
428.08562,69.971993,96.351964,43.592023
429.08582,70.45912,96.834259,44.083981
430.08602,70.946247,97.317005,44.575489
431.08622,71.433374,97.800201,45.066547
432.08642,71.920501,98.283849,45.557153
433.08662,72.407628,98.767948,46.047308
434.08682,72.894755,99.252498,46.537011
435.08702,73.381881,99.737499,47.026264
436.08722,73.869008,100.22295,47.515064
437.08742,74.356135,100.70886,48.003413
438.08762,74.854457,101.20966,48.49925
439.08782,75.469484,101.86132,49.077648
440.08802,76.084511,102.51298,49.656041
441.08822,76.699538,103.16465,50.23443
442.08842,77.314566,103.81632,50.812814
443.08862,77.929593,104.46799,51.391194
444.08882,78.54462,105.11967,51.969569
445.08902,79.159647,105.77135,52.547939
446.08922,79.774674,106.42304,53.126305
447.08942,80.389701,107.07474,53.704666
448.08962,81.004728,107.72643,54.283023
449.08982,81.619755,108.37813,54.861375
450.09002,82.234782,109.02984,55.439723
451.09022,82.849809,109.68155,56.018067
452.09042,83.464836,110.33327,56.596406
453.09062,84.079863,110.98499,57.174741
454.09082,84.69489,111.63671,57.753071
455.09102,85.309917,112.28844,58.331397
456.09122,85.924944,112.94017,58.909718
457.09142,86.539971,113.59191,59.488036
458.09162,87.154998,114.24365,60.066349
459.09182,87.770025,114.89539,60.644657
460.09202,88.385053,115.54714,61.222962
461.09222,89.00008,116.1989,61.801262
462.09242,89.615107,116.85066,62.379558
463.09262,90.230134,117.50242,62.957849
464.09282,90.845161,118.15418,63.536137
465.09302,91.460188,118.80596,64.11442
466.09322,92.075215,119.45773,64.692699
467.09342,92.690242,120.10951,65.270974
468.09362,93.305269,120.76129,65.849245
469.09382,93.920296,121.41308,66.427512
470.09402,94.535323,122.06487,67.005774
471.09422,95.15035,122.71667,67.584033
472.09442,95.765377,123.36847,68.162287
473.09462,96.380404,124.02027,68.740538
474.09482,96.995431,124.67208,69.318784
475.09502,97.610458,125.32389,69.897026
476.09522,98.225485,125.97571,70.475264
477.09542,98.840513,126.62753,71.053499
478.09562,99.45554,127.27935,71.631729
479.09582,100.07057,127.93118,72.209955
480.09602,100.68559,128.58301,72.788178
481.09622,101.30062,129.23485,73.366396
482.09642,101.91565,129.88668,73.944611
483.09662,102.53067,130.53853,74.522822
484.09682,103.1457,131.19038,75.101028
485.09702,103.76073,131.84223,75.679231
486.09722,104.37576,132.49408,76.25743
487.09742,104.99078,133.14594,76.835626
488.09762,105.60581,133.7978,77.413817
489.09782,106.22084,134.44967,77.992005
490.09802,106.83586,135.10154,78.570188
491.09822,107.45089,135.75341,79.148368
492.09842,108.06592,136.40529,79.726545
493.09862,108.68095,137.05717,80.304717
494.09882,109.29597,137.70906,80.882886
495.09902,109.911,138.36095,81.461051
496.09922,110.52603,139.01284,82.039212
497.09942,111.14105,139.66474,82.61737
498.09962,111.75608,140.31664,83.195524
499.09982,112.37111,140.96854,83.773674
500.10002,112.98613,141.62045,84.351821
501.10022,113.60116,142.27236,84.929964
502.10042,114.21619,142.92427,85.508104
503.10062,114.83122,143.57619,86.086239
504.10082,115.44624,144.22811,86.664372
505.10102,116.06127,144.88004,87.2425
506.10122,116.6763,145.53197,87.820625
507.10142,117.29132,146.1839,88.398747
508.10162,117.90635,146.83584,88.976865
509.10182,118.52138,147.48778,89.554979
510.10202,119.13641,148.13972,90.13309
511.10222,119.75143,148.79167,90.711198
512.10242,120.36646,149.44362,91.289302
513.10262,120.98149,150.09557,91.867402
514.10282,121.59651,150.74753,92.445499
515.10302,122.21154,151.39949,93.023593
516.10322,122.82657,152.05145,93.601683
517.10342,123.44159,152.70342,94.17977
518.10362,124.05662,153.35539,94.757853
519.10382,124.67165,154.00736,95.335933
520.10402,125.28668,154.65934,95.91401
521.10422,125.9017,155.31132,96.492083
522.10442,126.51673,155.96331,97.070153
523.10462,127.13176,156.6153,97.648219
524.10482,127.74678,157.26729,98.226283
