X coord (mm),Y coord (mm)
6.03309,4.67649
2.58144,0.44489
3.13849,0.448091
6.55829,0.465334
7.02043,0.36938
7.66157,0.355263
8.60491,0.135978
8.70169,0.111381
8.79615,0.085533
9.63438,-0.018112
9.89606,0.0353917
10.4794,0.113972
11.041,0.189514
11.2709,0.234642
11.7279,0.334665
1.83992,0.6363
2.16524,0.559465
2.58144,0.44489
3.13849,0.448091
3.13849,0.448091
4.01906,0.51005
4.56411,0.514329
5.22609,0.495891
5.66565,0.529246
5.89476,0.47932
6.55829,0.465334
7.02043,0.36938
7.55202,0.379994
8.07331,0.38927
8.60491,0.135978
8.79615,0.085533
9.5457,0.0101616
9.89606,0.0353917
10.4794,0.113972
11.041,0.189514
11.5004,0.287241
11.7279,0.334665
12.0985,0.586965
1.64703,0.793301
1.64703,0.793301
2.07954,0.585907
2.48237,0.475637
3.0218,0.473588
3.64163,0.720399
4.01906,0.51005
4.56411,0.514329
4.87981,0.570503
5.54911,0.554296
5.89476,0.47932
6.55829,0.465334
6.99554,0.500546
7.52886,0.510935
8.05281,0.519872
8.47711,0.42465
8.96602,0.430735
9.50812,0.536519
10.0404,0.511588
10.5488,0.484793
10.9588,0.481651
11.5025,0.420526
11.9533,0.513159
12.3091,0.761542
12.6466,1.00706
12.7806,1.07974
1.35746,1.34791
1.44942,1.08367
1.57139,1.05801
2.04388,0.954807
2.46745,0.982035
3.01123,0.982093
3.45195,1.01057
4.0076,1.01346
4.55765,1.01754
5.02573,0.918516
5.45631,0.948597
6.00474,0.956573
6.55186,0.963761
6.97828,0.995715
7.51615,1.0044
8.04445,1.01136
8.55385,1.01787
9.04463,1.02184
9.51346,1.02476
10.0515,0.998338
10.4828,0.997062
10.9877,0.968173
11.4671,0.936438
11.9912,1.00014
12.5085,0.93481
12.7806,1.07974
13.0932,1.32441
13.4002,1.56535
1.2444,1.74631
1.31589,1.47861
1.44281,1.45424
2.01366,1.45612
2.5513,1.45901
2.97227,1.48282
3.50929,1.48191
4.06006,1.48371
4.49133,1.51168
5.04749,1.5167
5.52346,1.41805
5.95055,1.4492
6.49614,1.45408
7.03351,1.45896
7.45233,1.48872
7.98013,1.49103
8.49681,1.49492
8.99565,1.49802
9.47581,1.49904
10.0294,1.47426
10.463,1.4705
10.9738,1.44197
11.5177,1.50917
11.987,1.47577
12.4917,1.53937
13.0001,1.47565
13.4002,1.56535
13.6928,1.79862
13.9591,2.03849
14.8529,2.38679
1.08982,2.13634
1.13956,2.00557
1.51702,1.92907
1.95638,1.95449
2.48161,1.95098
3.00718,1.94806
3.54688,1.94728
3.96257,1.97274
4.51139,1.97601
5.06037,1.9806
5.49093,2.00957
6.04532,2.01267
6.52402,1.91323
7.00031,2.04036
7.474,1.94067
7.99959,1.941
8.51692,1.94191
9.021,1.94158
9.50282,1.94134
9.96236,1.93922
10.5472,2.00533
10.9681,2.00094
11.4648,1.9726
11.9935,2.03659
12.534,1.97919
12.9669,1.94405
13.5136,1.97777
13.9591,2.03849
14.3354,2.37075
14.8529,2.38679
14.8529,2.38679
0.828957,2.75306
0.828957,2.75306
1.04728,2.49916
1.48227,2.52148
2.04399,2.51949
2.51191,2.41475
2.99386,2.54037
3.46149,2.4358
3.98729,2.43476
4.51573,2.43591
4.93764,2.46485
5.49092,2.46879
6.04779,2.47277
6.4692,2.49684
7.00006,2.49237
7.5291,2.48845
8.05764,2.48474
8.46033,2.50621
8.96527,2.50115
9.45098,2.4966
10.0118,2.4682
10.4491,2.46224
11.012,2.52714
11.514,2.49543
11.9972,2.4641
12.4972,2.5262
