Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa)
0,-0.82715181,0,0,0,0,0,0,-0.13319168,-0.51175613,0,0,0,0,0,0,0,0
1,-0.63491544,0,0,0,0,0,0,-0.10223692,-0.39282011,0,0,0,0,0,0,0,0
2,-0.44267907,0,0,0,0,0,0,-0.071282164,-0.2738841,0,0,0,0,0,0,0,0
3,-0.2504427,0,0,0,0,0,0,-0.040327404,-0.15494808,0,0,0,0,0,0,0,0
4,-0.05820633,0,0,0,0,0,0,-0.0093726436,-0.036012066,0,0,0,0,0,0,0,0
5,0.13403004,0,0,0,0,0,0,0.021582117,0.082923949,0,0,0,0,0,0,0,0
6,0.32626641,0,0,0,0,0,0,0.052536877,0.20185996,0,0,0,0,0,0,0,0
7,0.51850278,0,0,0,0,0,0,0.083491637,0.32079598,0,0,0,0,0,0,0,0
8,0.71073915,0,0,0,0,0,0,0.1144464,0.43973199,0,0,0,0,0,0,0,0
9,0.90297552,0,0,0,0,0,0,0.14540116,0.55866801,0,0,0,0,0,0,0,0
10,1.0952119,0,0,0,0,0,0,0.17635592,0.67760402,0,0,0,0,0,0,0,0
11,1.2874483,0,0,0,0,0,0,0.20731068,0.79654004,0,0,0,0,0,0,0,0
12,1.4796846,0,0,0,0,0,0,0.23826544,0.91547605,0,0,0,0,0,0,0,0
13,1.671921,0,0,0,0,0,0,0.2692202,1.0344121,0,0,0,0,0,0,0,0
14,1.8641574,0,0,0,0,0,0,0.30017496,1.1533481,0,0,0,0,0,0,0,0
15,2.0563937,0,0,0,0,0,0,0.33112972,1.2722841,0,0,0,0,0,0,0,0
16,2.2486301,0,0,0,0,0,0,0.36208448,1.3912201,0,0,0,0,0,0,0,0
17,2.4408665,0,0,0,0,0,0,0.39303924,1.5101561,0,0,0,0,0,0,0,0
18,2.6331028,0,0,0,0,0,0,0.423994,1.6290921,0,0,0,0,0,0,0,0
19,2.8253392,0,0,0,0,0,0,0.45494876,1.7480282,0,0,0,0,0,0,0,0
20,3.0175756,0,0,0,0,0,0,0.48590352,1.8669642,0,0,0,0,0,0,0,0
21,3.2098119,0,0,0,0,0,0,0.51685828,1.9859002,0,0,0,0,0,0,0,0
22,3.4020483,0,0,0,0,0,0,0.54781304,2.1048362,0,0,0,0,0,0,0,0
23,3.5942847,0,0,0,0,0,0,0.5787678,2.2237722,0,0,0,0,0,0,0,0
24,3.7865211,0,0,0,0,0,0,0.60972256,2.3427082,0,0,0,0,0,0,0,0
25,3.9787574,0,0,0,0,0,0,0.64067732,2.4616442,0,0,0,0,0,0,0,0
26,4.1709938,0,0,0,0,0,0,0.67163208,2.5805803,0,0,0,0,0,0,0,0
27,4.3632302,0,0,0,0,0,0,0.70258684,2.6995163,0,0,0,0,0,0,0,0
28,4.5554665,0,0,0,0,0,0,0.7335416,2.8184523,0,0,0,0,0,0,0,0
29,4.7477029,0,0,0,0,0,0,0.76449636,2.9373883,0,0,0,0,0,0,0,0
30,4.9399393,0,0,0,0,0,0,0.79545112,3.0563243,0,0,0,0,0,0,0,0
31,5.1321756,0,0,0,0,0,0,0.82640588,3.1752603,0,0,0,0,0,0,0,0
32,5.324412,0,0,0,0,0,0,0.85736064,3.2941964,0,0,0,0,0,0,0,0
33,5.5135296,0,0,0,0,0,0,0.8878132,3.4112028,0,0,0,0,0,0,0,0
34,5.702647,0,0,0,0,0,0,0.91826573,3.5282091,0,0,0,0,0,0,0,0
35,5.8917644,0,0,0,0,0,0,0.94871826,3.6452154,0,0,0,0,0,0,0,0
36,6.0808818,0,0,0,0,0,0,0.97917079,3.7622217,0,0,0,0,0,0,0,0
37,6.2699992,0,0,0,0,0,0,1.0096233,3.879228,0,0,0,0,0,0,0,0
38,6.4591166,0,0,0,0,0,0,1.0400758,3.9962344,0,0,0,0,0,0,0,0
39,6.648234,0,0,0,0,0,0,1.0705284,4.1132407,0,0,0,0,0,0,0,0
40,6.8373513,0,0,0,0,0,0,1.1009809,4.230247,0,0,0,0,0,0,0,0
41,7.0264687,0,0,0,0,0,0,1.1314334,4.3472533,0,0,0,0,0,0,0,0
42,7.2155861,0,0,0,0,0,0,1.161886,4.4642596,0,0,0,0,0,0,0,0
43,7.4047035,0,0,0,0,0,0,1.1923385,4.5812659,0,0,0,0,0,0,0,0
44,7.5938209,0,0,0,0,0,0,1.222791,4.6982722,0,0,0,0,0,0,0,0
45,7.7829383,0,0,0,0,0,0,1.2532435,4.8152786,0,0,0,0,0,0,0,0
46,7.9720557,0,0,0,0,0,0,1.2836961,4.9322849,0,0,0,0,0,0,0,0
47,8.1611731,0,0,0,0,0,0,1.3141486,5.0492912,0,0,0,0,0,0,0,0
48,8.3502905,0,0,0,0,0,0,1.3446011,5.1662975,0,0,0,0,0,0,0,0
49,8.5394079,0,0,0,0,0,0,1.3750537,5.2833038,0,0,0,0,0,0,0,0
50,8.7285253,0,0,0,0,0,0,1.4055062,5.4003101,0,0,0,0,0,0,0,0
51,8.9176426,0,0,0,0,0,0,1.4359587,5.5173164,0,0,0,0,0,0,0,0
52,9.10676,0,0,0,0,0,0,1.4664112,5.6343227,0,0,0,0,0,0,0,0
53,9.2958774,0,0,0,0,0,0,1.4968638,5.7513291,0,0,0,0,0,0,0,0
54,9.4849948,0,0,0,0,0,0,1.5273163,5.8683354,0,0,0,0,0,0,0,0
55,9.6741122,0,0,0,0,0,0,1.5577688,5.9853417,0,0,0,0,0,0,0,0
56,9.8632296,0,0,0,0,0,0,1.5882214,6.102348,0,0,0,0,0,0,0,0
57,10.052347,0,0,0,0,0,0,1.6186739,6.2193543,0,0,0,0,0,0,0,0
58,10.241464,0,0,0,0,0,0,1.6491264,6.3363606,0,0,0,0,0,0,0,0
59,10.430582,0,0,0,0,0,0,1.6795789,6.4533669,0,0,0,0,0,0,0,0
60,10.619699,0,0,0,0,0,0,1.7100315,6.5703733,0,0,0,0,0,0,0,0
61,10.808817,0,0,0,0,0,0,1.740484,6.6873796,0,0,0,0,0,0,0,0
62,10.997934,0,0,0,0,0,0,1.7709365,6.8043859,0,0,0,0,0,0,0,0
63,11.187051,0,0,0,0,0,0,1.8013891,6.9213922,0,0,0,0,0,0,0,0
