Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa)
0,-4.8936716,0,0,0,0,0,0,0,0,0,0,-0.016751673,-1.7111798,-0.0011319058,0,0,0,-0.033155347,0,0
1,-4.8031262,0,0,0,0,0,0,0,0,0,0,-0.016441724,-1.6795186,-0.0011109626,0,0,0,-0.032541888,0,0
2,-4.7125807,0,0,0,0,0,0,0,0,0,0,-0.016131775,-1.6478574,-0.0010900195,0,0,0,-0.03192843,0,0
3,-4.6220353,0,0,0,0,0,0,0,0,0,0,-0.015821826,-1.6161962,-0.0010690763,0,0,0,-0.031314971,0,0
4,-4.5314898,0,0,0,0,0,0,0,0,0,0,-0.015511877,-1.5845349,-0.0010481332,0,0,0,-0.030701512,0,0
5,-4.4409444,0,0,0,0,0,0,0,0,0,0,-0.015201929,-1.5528737,-0.00102719,0,0,0,-0.030088053,0,0
6,-4.3503989,0,0,0,0,0,0,0,0,0,0,-0.01489198,-1.5212125,-0.0010062469,0,0,0,-0.029474595,0,0
7,-4.2598535,0,0,0,0,0,0,0,0,0,0,-0.014582031,-1.4895513,-0.0009853037,0,0,0,-0.028861136,0,0
8,-4.169308,0,0,0,0,0,0,0,0,0,0,-0.014272082,-1.4578901,-0.00096436055,0,0,0,-0.028247677,0,0
9,-4.0787626,0,0,0,0,0,0,0,0,0,0,-0.013962133,-1.4262289,-0.00094341739,0,0,0,-0.027634218,0,0
10,-3.9882171,0,0,0,0,0,0,0,0,0,0,-0.013652184,-1.3945677,-0.00092247424,0,0,0,-0.027020759,0,0
