Time (ms),Stress (kPa)
0,-9.7956877
0.5,-9.3801644
1,-8.9646412
1.5,-8.5491179
2,-8.1335947
2.5,-7.7180714
3,-7.3025482
3.5,-6.887025
4,-6.4715017
4.5,-6.0559785
5,-5.6404552
5.5,-5.224932
6,-4.8094087
6.5,-4.3938855
7,-3.9783623
7.5,-3.562839
8,-3.1473158
8.5,-2.7317925
9,-2.3162693
9.5,-1.900746
10,-1.4852228
10.5,-1.0696996
11,-0.65417631
11.5,-0.23865307
12,0.17687018
12.5,0.59239342
13,1.0079167
13.5,1.4234399
14,1.8389632
14.5,2.2544864
15,2.6700096
15.5,3.0855329
16,3.5010561
16.5,3.9165794
17,4.3321026
17.5,4.7476259
18,5.1631491
18.5,5.5786723
19,5.9941956
19.5,6.4097188
20,6.8252421
20.5,7.2407653
21,7.6562886
21.5,8.0718118
22,8.487335
22.5,8.9028583
23,9.3183815
23.5,9.7339048
24,10.149428
24.5,10.564951
25,10.980475
25.5,11.395998
26,11.811521
26.5,12.227044
27,12.642567
27.5,13.058091
28,13.473614
28.5,13.889137
29,14.30466
29.5,14.720184
30,15.135707
30.5,15.55123
31,15.966753
31.5,16.382277
32,16.7978
32.5,17.213323
33,17.628846
33.5,18.04437
34,18.459893
34.5,18.875416
35,19.290939
35.5,19.706463
36,20.121986
36.5,20.537509
37,20.953032
37.5,21.368556
38,21.784079
38.5,22.199602
39,22.615125
39.5,23.030649
40,23.446172
40.5,23.861695
41,24.277218
41.5,24.692742
42,25.108265
42.5,25.523788
43,25.939311
43.5,26.354835
44,26.770358
44.5,27.185881
45,27.601404
45.5,28.016927
46,28.432451
46.5,28.847974
47,29.263497
47.5,29.67902
48,30.094544
48.5,30.510067
49,30.92559
49.5,31.341113
50,31.756637
50.5,32.17216
51,32.587683
51.5,33.003206
52,33.41873
52.5,33.834253
53,34.249776
53.5,34.665299
54,35.080823
54.5,35.496346
55,35.911869
55.5,36.327392
56,36.742916
56.5,37.158439
57,37.573962
57.5,37.989485
58,38.405009
58.5,38.820532
59,39.236055
59.5,39.651578
60,40.067102
60.5,40.482625
61,40.898148
61.5,41.313671
62,41.729195
62.5,42.144718
63,42.560241
63.5,42.975764
64,43.391287
64.5,43.806811
65,44.222334
65.5,44.637857
66,45.05338
66.5,45.468904
67,45.882477
67.5,46.295075
68,46.707673
68.5,47.120271
69,47.532869
69.5,47.945467
70,48.358065
70.5,48.770663
71,49.183262
71.5,49.59586
72,50.008458
72.5,50.421056
73,50.833654
73.5,51.246252
74,51.65885
74.5,52.071448
75,52.484046
75.5,52.896644
76,53.309242
76.5,53.72184
77,54.134439
77.5,54.547037
78,54.959635
78.5,55.372233
79,55.784831
79.5,56.197429
80,56.610027
80.5,57.022625
81,57.435223
81.5,57.847821
82,58.260419
82.5,58.673018
83,59.085616
83.5,59.498214
84,59.910812
84.5,60.32341
85,60.736008
85.5,61.148606
86,61.561204
86.5,61.973802
87,62.3864
87.5,62.798998
88,63.211596
88.5,63.624195
89,64.036793
89.5,64.449391
90,64.861989
90.5,65.274587
91,65.687185
91.5,66.099783
92,66.512381
92.5,66.924979
93,67.337577
93.5,67.750175
94,68.162773
94.5,68.575372
95,68.98797
95.5,69.400568
96,69.813166
96.5,70.225764
97,70.638362
97.5,71.05096
98,71.463558
98.5,71.876156
99,72.288754
99.5,72.701352
100,73.113951
100.5,73.526549
101,73.939147
101.5,74.351745
102,74.764343
102.5,75.176941
103,75.589539
103.5,76.002137
104,76.414735
104.5,76.827333
105,77.239931
105.5,77.652529
106,78.065128
106.5,78.477726
107,78.890324
107.5,79.302922
108,79.71552
108.5,80.128118
109,80.540716
109.5,80.953314
110,81.365912
110.5,81.77851
111,82.191108
111.5,82.603706
112,83.016305
112.5,83.428903
113,83.841501
113.5,84.254099
114,84.666697
114.5,85.079295
115,85.491893
115.5,85.904491
116,86.317089
116.5,86.729687
117,87.142285
117.5,87.554884
118,87.967482
118.5,88.38008
119,88.792678
119.5,89.205276
120,89.617874
120.5,90.030472
121,90.44307
121.5,90.855668
122,91.268266
122.5,91.680864
123,92.093462
123.5,92.506061
124,92.918659
124.5,93.331257
125,93.743855
125.5,94.156453
126,94.569051
126.5,94.981649
127,95.394247
127.5,95.806845
128,96.219443
128.5,96.632041
129,97.044639
129.5,97.457238
130,97.869836
130.5,98.282434
131,98.695032
131.5,99.10763
132,99.520228
132.5,99.932826
133,100.34542
133.5,100.76149
134,101.18449
134.5,101.6075
135,102.0305
135.5,102.4535
136,102.87651
136.5,103.29951
137,103.72251
137.5,104.14552
138,104.56852
138.5,104.99152
139,105.41453
139.5,105.83753
140,106.26053
140.5,106.68354
141,107.10654
141.5,107.52954
142,107.95255
142.5,108.37555
143,108.79855
143.5,109.22156
144,109.64456
144.5,110.06756
145,110.49057
145.5,110.91357
146,111.33657
146.5,111.75958
147,112.18258
147.5,112.60558
148,113.02859
148.5,113.45159
149,113.8746
149.5,114.2976
150,114.7206
150.5,115.14361
151,115.56661
151.5,115.98961
152,116.41262
152.5,116.83562
153,117.25862
153.5,117.68163
154,118.10463
154.5,118.52763
155,118.95064
155.5,119.37364
156,119.79664
156.5,120.21965
157,120.64265
157.5,121.06565
158,121.48866
158.5,121.91166
159,122.33466
159.5,122.75767
160,123.18067
160.5,123.60367
161,124.02668
161.5,124.44968
162,124.87268
162.5,125.29569
163,125.71869
163.5,126.14169
164,126.5647
164.5,126.9877
165,127.4107
165.5,127.83371
166,128.25671
166.5,128.67971
167,129.10272
167.5,129.52572
168,129.94872
168.5,130.37173
169,130.79473
169.5,131.21773
170,131.64074
170.5,132.06374
171,132.48674
171.5,132.90975
172,133.33275
172.5,133.75575
173,134.17876
173.5,134.60176
174,135.02476
174.5,135.44777
175,135.87077
175.5,136.29377
176,136.71678
176.5,137.13978
177,137.56278
177.5,137.98579
178,138.40879
178.5,138.83179
179,139.2548
179.5,139.6778
180,140.1008
180.5,140.52381
181,140.94681
181.5,141.36981
182,141.79282
182.5,142.21582
183,142.63882
183.5,143.06183
184,143.48483
184.5,143.90783
185,144.33084
185.5,144.75384
186,145.17684
186.5,145.59985
187,146.02285
187.5,146.44585
188,146.86886
188.5,147.29186
189,147.71486
189.5,148.13787
190,148.56087
190.5,148.98387
191,149.40688
191.5,149.82988
192,150.25288
192.5,150.67589
193,151.09889
193.5,151.52189
194,151.9449
194.5,152.3679
195,152.7909
195.5,153.21391
196,153.63691
196.5,154.05991
