Time (ms),Stress (kPa)
0,0
0.5,0.14873229
1,0.29746457
1.5,0.44619686
2,0.59492914
2.5,0.74366143
3,0.89239371
3.5,1.041126
4,1.1898583
4.5,1.3385906
5,1.4873229
5.5,1.6360551
6,1.7847874
6.5,1.9335197
7,2.082252
7.5,2.2309843
8,2.3797166
8.5,2.5284489
9,2.6771811
9.5,2.8259134
10,2.9746457
10.5,3.123378
11,3.2721103
11.5,3.4208426
12,3.5695749
12.5,3.7183071
13,3.8670394
13.5,4.0157717
14,4.164504
14.5,4.3132363
15,4.4619686
15.5,4.6107009
16,4.7594331
16.5,4.9081654
17,5.0568977
17.5,5.20563
18,5.3543623
18.5,5.5030946
19,5.6518268
19.5,5.8005591
20,5.9492914
20.5,6.0980237
21,6.246756
21.5,6.3954883
22,6.5442206
22.5,6.6929528
23,6.8416851
23.5,6.9904174
24,7.1391497
24.5,7.287882
25,7.4366143
25.5,7.5853466
26,7.7340788
26.5,7.8828111
27,8.0315434
27.5,8.1802757
28,8.329008
28.5,8.4777403
29,8.6264726
29.5,8.7752048
30,8.9239371
30.5,9.0726694
31,9.2214017
31.5,9.370134
32,9.5188663
32.5,9.6675986
33,9.8163308
33.5,9.9650631
34,10.113795
34.5,10.262528
35,10.41126
35.5,10.559992
36,10.708725
36.5,10.857457
37,11.006189
37.5,11.154921
38,11.303654
38.5,11.452386
39,11.601118
39.5,11.749851
40,11.898583
40.5,12.047315
41,12.196047
41.5,12.34478
42,12.493512
42.5,12.642244
43,12.790977
43.5,12.939709
44,13.088441
44.5,13.237173
45,13.385906
45.5,13.534638
46,13.68337
46.5,13.832103
47,13.980835
47.5,14.129567
48,14.278299
48.5,14.427032
49,14.575764
49.5,14.724496
50,14.873229
50.5,15.021961
51,15.170693
51.5,15.319425
52,15.468158
52.5,15.61689
53,15.765622
53.5,15.914355
54,16.063087
54.5,16.211819
55,16.360551
55.5,16.509284
56,16.658016
56.5,16.806748
57,16.955481
57.5,17.104213
58,17.252945
58.5,17.401677
59,17.55041
59.5,17.699142
60,17.847874
60.5,17.996607
61,18.145339
61.5,18.294071
62,18.442803
62.5,18.591536
63,18.740268
63.5,18.889
64,19.037733
64.5,19.186465
65,19.335197
65.5,19.483929
66,19.632662
66.5,19.781394
67,20.214632
67.5,20.790123
68,21.365614
