Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa)
0,-3.6129982,0,0,0,0,0,0,0,0,-0.14239348,-0.061337941,0,0,0,0,0,-0.17359405,-1.7241346,-1.7121958,0,0,0,0,0,-0.0038004713,-0.086281396,0,0,0,0,0,0,0,0,0
1,-3.6043817,0,0,0,0,0,0,0,0,-0.14205389,-0.061191659,0,0,0,0,0,-0.17318005,-1.7200228,-1.7081125,0,0,0,0,0,-0.0037914077,-0.086075628,0,0,0,0,0,0,0,0,0
2,-3.5957652,0,0,0,0,0,0,0,0,-0.1417143,-0.061045377,0,0,0,0,0,-0.17276605,-1.715911,-1.7040292,0,0,0,0,0,-0.0037823441,-0.085869859,0,0,0,0,0,0,0,0,0
3,-3.5871487,0,0,0,0,0,0,0,0,-0.14137471,-0.060899095,0,0,0,0,0,-0.17235206,-1.7117992,-1.6999458,0,0,0,0,0,-0.0037732806,-0.08566409,0,0,0,0,0,0,0,0,0
4,-3.5785322,0,0,0,0,0,0,0,0,-0.14103513,-0.060752812,0,0,0,0,0,-0.17193806,-1.7076874,-1.6958625,0,0,0,0,0,-0.003764217,-0.085458321,0,0,0,0,0,0,0,0,0
5,-3.5699157,0,0,0,0,0,0,0,0,-0.14069554,-0.06060653,0,0,0,0,0,-0.17152406,-1.7035755,-1.6917791,0,0,0,0,0,-0.0037551534,-0.085252552,0,0,0,0,0,0,0,0,0
6,-3.5612993,0,0,0,0,0,0,0,0,-0.14035595,-0.060460248,0,0,0,0,0,-0.17111007,-1.6994637,-1.6876958,0,0,0,0,0,-0.0037460898,-0.085046784,0,0,0,0,0,0,0,0,0
7,-3.5526828,0,0,0,0,0,0,0,0,-0.14001636,-0.060313966,0,0,0,0,0,-0.17069607,-1.6953519,-1.6836125,0,0,0,0,0,-0.0037370262,-0.084841015,0,0,0,0,0,0,0,0,0
8,-3.5440663,0,0,0,0,0,0,0,0,-0.13967677,-0.060167684,0,0,0,0,0,-0.17028207,-1.6912401,-1.6795291,0,0,0,0,0,-0.0037279627,-0.084635246,0,0,0,0,0,0,0,0,0
9,-3.5354498,0,0,0,0,0,0,0,0,-0.13933719,-0.060021401,0,0,0,0,0,-0.16986807,-1.6871283,-1.6754458,0,0,0,0,0,-0.0037188991,-0.084429477,0,0,0,0,0,0,0,0,0
