Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa)
16,-0.4929641,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012921198,-0.10315209,-0.32479872,-0.039712665,-0.0025300256,0,0,-0.0036810394,-0.074200715,-0.15197932,-0.027717154,-0.0011335931,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-0.41109447,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010775294,-0.086020976,-0.27085736,-0.033117335,-0.0021098484,0,0,-0.0030697062,-0.061877739,-0.12673917,-0.023113993,-0.00094533017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-0.32922484,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0086293898,-0.068889864,-0.21691601,-0.026522004,-0.0016896712,0,0,-0.002458373,-0.049554762,-0.10149901,-0.018510832,-0.00075706728,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-0.24735521,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0064834857,-0.051758752,-0.16297466,-0.019926673,-0.0012694941,0,0,-0.0018470397,-0.037231785,-0.076258854,-0.013907671,-0.0005688044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-0.16548558,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0043375815,-0.03462764,-0.1090333,-0.013331343,-0.00084931692,0,0,-0.0012357065,-0.024908809,-0.051018698,-0.00930451,-0.00038054151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-0.08361595,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0021916774,-0.017496527,-0.05509195,-0.0067360123,-0.00042913976,0,0,-0.00062437327,-0.012585832,-0.025778541,-0.0047013489,-0.00019227863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,-0.0017463205,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5773218e-05,-0.00036541526,-0.0011505963,-0.00014068173,-8.9625908e-06,0,0,-1.3040046e-05,-0.00026285531,-0.00053838526,-9.8187748e-05,-4.0157423e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.080123309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021001309,0.016765697,0.052790757,0.0064546488,0.00041121457,0,0,0.00059829318,0.012060121,0.024701771,0.0045049734,0.00018424714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.16199294,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042460351,0.033896809,0.10673211,0.013049979,0.00083139174,0,0,0.0012096264,0.024383098,0.049941927,0.0091081345,0.00037251003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.24386257,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063919392,0.051027921,0.16067346,0.01964531,0.0012515689,0,0,0.0018209596,0.036706075,0.075182083,0.013711296,0.00056077291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.3257322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085378434,0.068159033,0.21461482,0.026240641,0.0016717461,0,0,0.0024322929,0.049029051,0.10042224,0.018314457,0.0007490358,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.40760183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010683748,0.085290146,0.26855617,0.032835971,0.0020919232,0,0,0.0030436261,0.061352028,0.1256624,0.022917618,0.00093729868,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.48947146,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012829652,0.10242126,0.32249752,0.039431302,0.0025121004,0,0,0.0036549593,0.073675005,0.15090255,0.027520779,0.0011255616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.57134109,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014975556,0.11955237,0.37643888,0.046026632,0.0029322776,0,0,0.0042662925,0.085997981,0.17614271,0.03212394,0.0013138245,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.65321072,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01712146,0.13668348,0.43038023,0.052621963,0.0033524547,0,0,0.0048776258,0.098320958,0.20138286,0.036727101,0.0015020873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.73508035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019267364,0.15381459,0.48432158,0.059217293,0.0037726319,0,0,0.005488959,0.11064393,0.22662302,0.041330262,0.0016903502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.81694998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021413268,0.17094571,0.53826294,0.065812624,0.0041928091,0,0,0.0061002922,0.12296691,0.25186318,0.045933423,0.0018786131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.89881961,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023559172,0.18807682,0.59220429,0.072407954,0.0046129862,0,0,0.0067116255,0.13528989,0.27710333,0.050536585,0.002066876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.98068924,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025705077,0.20520793,0.64614564,0.079003285,0.0050331634,0,0,0.0073229587,0.14761286,0.30234349,0.055139746,0.0022551389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1.0625589,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027850981,0.22233904,0.700087,0.085598616,0.0054533405,0,0,0.0079342919,0.15993584,0.32758364,0.059742907,0.0024434018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1.1444285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029996885,0.23947016,0.75402835,0.092193946,0.0058735177,0,0,0.0085456251,0.17225882,0.3528238,0.064346068,0.0026316646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
