Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa)
605,239.23868,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2707415,50.060379,157.62693,19.272815,1.2278379,0,0,1.7864324,36.010089,73.756553,13.451315,0.55014008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,239.51916,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2780931,50.119068,157.81173,19.295409,1.2292773,0,0,1.7885267,36.052306,73.843023,13.467085,0.55078504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,239.79963,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2854447,50.177757,157.99652,19.318004,1.2307168,0,0,1.7906211,36.094523,73.929492,13.482855,0.55143001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,240.08011,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2927963,50.236446,158.18132,19.340599,1.2321563,0,0,1.7927154,36.136741,74.015962,13.498625,0.55207497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,240.36058,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3001479,50.295136,158.36611,19.363194,1.2335958,0,0,1.7948098,36.178958,74.102432,13.514395,0.55271994,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,240.64106,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3074995,50.353825,158.55091,19.385789,1.2350352,0,0,1.7969041,36.221175,74.188902,13.530165,0.55336491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611,240.92153,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3148511,50.412514,158.73571,19.408383,1.2364747,0,0,1.7989985,36.263392,74.275371,13.545935,0.55400987,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,241.20201,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3222027,50.471203,158.9205,19.430978,1.2379142,0,0,1.8010928,36.305609,74.361841,13.561704,0.55465484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,241.48249,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3295543,50.529892,159.1053,19.453573,1.2393537,0,0,1.8031872,36.347826,74.448311,13.577474,0.55529981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614,241.76296,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3369059,50.588581,159.2901,19.476168,1.2407931,0,0,1.8052815,36.390043,74.534781,13.593244,0.55594477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,242.04344,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3442576,50.64727,159.47489,19.498763,1.2422326,0,0,1.8073759,36.43226,74.62125,13.609014,0.55658974,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616,242.32391,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3516092,50.70596,159.65969,19.521357,1.2436721,0,0,1.8094703,36.474477,74.70772,13.624784,0.5572347,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,242.60439,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3589608,50.764649,159.84449,19.543952,1.2451116,0,0,1.8115646,36.516694,74.79419,13.640554,0.55787967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,242.88486,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3663124,50.823338,160.02928,19.566547,1.2465511,0,0,1.813659,36.558911,74.88066,13.656324,0.55852464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619,243.16534,0,0,0,0,0,0,0,0,0,0,0,0,0,6.373664,50.882027,160.21408,19.589142,1.2479905,0,0,1.8157533,36.601128,74.967129,13.672094,0.5591696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,243.44581,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3810156,50.940716,160.39888,19.611737,1.24943,0,0,1.8178477,36.643345,75.053599,13.687863,0.55981457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621,243.72629,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3883672,50.999405,160.58367,19.634332,1.2508695,0,0,1.819942,36.685562,75.140069,13.703633,0.56045953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,244.00677,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3957188,51.058094,160.76847,19.656926,1.252309,0,0,1.8220364,36.727779,75.226539,13.719403,0.5611045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623,244.28724,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4030704,51.116783,160.95327,19.679521,1.2537484,0,0,1.8241307,36.769996,75.313008,13.735173,0.56174947,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624,244.56772,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4104221,51.175473,161.13806,19.702116,1.2551879,0,0,1.8262251,36.812213,75.399478,13.750943,0.56239443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,244.84819,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4177737,51.234162,161.32286,19.724711,1.2566274,0,0,1.8283194,36.85443,75.485948,13.766713,0.5630394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626,245.12867,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4251253,51.292851,161.50766,19.747306,1.2580669,0,0,1.8304138,36.896647,75.572418,13.782483,0.56368436,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627,245.40914,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4324769,51.35154,161.69245,19.7699,1.2595063,0,0,1.8325082,36.938864,75.658887,13.798253,0.56432933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628,245.68962,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4398285,51.410229,161.87725,19.792495,1.2609458,0,0,1.8346025,36.981081,75.745357,13.814022,0.5649743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,245.97009,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4471801,51.468918,162.06205,19.81509,1.2623853,0,0,1.8366969,37.023298,75.831827,13.829792,0.56561926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,246.25057,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4545317,51.527607,162.24684,19.837685,1.2638248,0,0,1.8387912,37.065515,75.918297,13.845562,0.56626423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631,246.53105,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4618833,51.586297,162.43164,19.86028,1.2652643,0,0,1.8408856,37.107733,76.004766,13.861332,0.5669092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632,246.81152,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4692349,51.644986,162.61644,19.882874,1.2667037,0,0,1.8429799,37.14995,76.091236,13.877102,0.56755416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633,247.092,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4765866,51.703675,162.80123,19.905469,1.2681432,0,0,1.8450743,37.192167,76.177706,13.892872,0.56819913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,247.37247,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4839382,51.762364,162.98603,19.928064,1.2695827,0,0,1.8471686,37.234384,76.264176,13.908642,0.56884409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,247.65295,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4912898,51.821053,163.17083,19.950659,1.2710222,0,0,1.849263,37.276601,76.350645,13.924412,0.56948906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
636,247.93342,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4986414,51.879742,163.35562,19.973254,1.2724616,0,0,1.8513573,37.318818,76.437115,13.940181,0.57013403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637,248.2139,0,0,0,0,0,0,0,0,0,0,0,0,0,6.505993,51.938431,163.54042,19.995849,1.2739011,0,0,1.8534517,37.361035,76.523585,13.955951,0.57077899,0,0,0,0,0,0,0,0,0,0,0,0,0,0
638,248.49437,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5133446,51.997121,163.72522,20.018443,1.2753406,0,0,1.855546,37.403252,76.610055,13.971721,0.57142396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639,248.77485,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5206962,52.05581,163.91001,20.041038,1.2767801,0,0,1.8576404,37.445469,76.696524,13.987491,0.57206892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,249.05533,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5280478,52.114499,164.09481,20.063633,1.2782195,0,0,1.8597348,37.487686,76.782994,14.003261,0.57271389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,249.3358,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5353994,52.173188,164.27961,20.086228,1.279659,0,0,1.8618291,37.529903,76.869464,14.019031,0.57335886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642,249.61628,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5427511,52.231877,164.4644,20.108823,1.2810985,0,0,1.8639235,37.57212,76.955934,14.034801,0.57400382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
643,249.89675,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5501027,52.290566,164.6492,20.131417,1.282538,0,0,1.8660178,37.614337,77.042403,14.050571,0.57464879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644,250.17723,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5574543,52.349255,164.834,20.154012,1.2839774,0,0,1.8681122,37.656554,77.128873,14.066341,0.57529375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,250.4577,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5648059,52.407945,165.01879,20.176607,1.2854169,0,0,1.8702065,37.698771,77.215343,14.08211,0.57593872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646,250.73818,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5721575,52.466634,165.20359,20.199202,1.2868564,0,0,1.8723009,37.740988,77.301813,14.09788,0.57658369,0,0,0,0,0,0,0,0,0,0,0,0,0,0
647,251.01865,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5795091,52.525323,165.38839,20.221797,1.2882959,0,0,1.8743952,37.783205,77.388283,14.11365,0.57722865,0,0,0,0,0,0,0,0,0,0,0,0,0,0
648,251.29913,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5868607,52.584012,165.57318,20.244391,1.2897354,0,0,1.8764896,37.825422,77.474752,14.12942,0.57787362,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649,251.57961,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5942123,52.642701,165.75798,20.266986,1.2911748,0,0,1.8785839,37.867639,77.561222,14.14519,0.57851859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,251.86008,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6015639,52.70139,165.94278,20.289581,1.2926143,0,0,1.8806783,37.909856,77.647692,14.16096,0.57916355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
651,252.14056,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6089155,52.760079,166.12757,20.312176,1.2940538,0,0,1.8827727,37.952073,77.734162,14.17673,0.57980852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
652,252.42103,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6162672,52.818769,166.31237,20.334771,1.2954933,0,0,1.884867,37.99429,77.820631,14.1925,0.58045348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653,252.70151,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6236188,52.877458,166.49717,20.357366,1.2969327,0,0,1.8869614,38.036507,77.907101,14.208269,0.58109845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654,252.98198,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6309704,52.936147,166.68196,20.37996,1.2983722,0,0,1.8890557,38.078725,77.993571,14.224039,0.58174342,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655,253.26246,0,0,0,0,0,0,0,0,0,0,0,0,0,6.638322,52.994836,166.86676,20.402555,1.2998117,0,0,1.8911501,38.120942,78.080041,14.239809,0.58238838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,253.54293,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6456736,53.053525,167.05156,20.42515,1.3012512,0,0,1.8932444,38.163159,78.16651,14.255579,0.58303335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
657,253.82341,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6530252,53.112214,167.23635,20.447745,1.3026906,0,0,1.8953388,38.205376,78.25298,14.271349,0.58367831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
658,254.10389,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6603768,53.170903,167.42115,20.47034,1.3041301,0,0,1.8974331,38.247593,78.33945,14.287119,0.58432328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
659,254.38436,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6677284,53.229593,167.60595,20.492934,1.3055696,0,0,1.8995275,38.28981,78.42592,14.302889,0.58496825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,254.66484,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67508,53.288282,167.79074,20.515529,1.3070091,0,0,1.9016218,38.332027,78.512389,14.318659,0.58561321,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,254.94531,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6824317,53.346971,167.97554,20.538124,1.3084486,0,0,1.9037162,38.374244,78.598859,14.334428,0.58625818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662,255.22579,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6897833,53.40566,168.16034,20.560719,1.309888,0,0,1.9058106,38.416461,78.685329,14.350198,0.58690314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663,255.50626,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6971349,53.464349,168.34513,20.583314,1.3113275,0,0,1.9079049,38.458678,78.771799,14.365968,0.58754811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664,255.78674,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7044865,53.523038,168.52993,20.605908,1.312767,0,0,1.9099993,38.500895,78.858268,14.381738,0.58819308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665,256.06721,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7118381,53.581727,168.71473,20.628503,1.3142065,0,0,1.9120936,38.543112,78.944738,14.397508,0.58883804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666,256.34769,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7191897,53.640417,168.89952,20.651098,1.3156459,0,0,1.914188,38.585329,79.031208,14.413278,0.58948301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667,256.62817,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7265413,53.699106,169.08432,20.673693,1.3170854,0,0,1.9162823,38.627546,79.117678,14.429048,0.59012798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668,256.90864,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7338929,53.757795,169.26912,20.696288,1.3185249,0,0,1.9183767,38.669763,79.204147,14.444818,0.59077294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
669,257.18912,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7412445,53.816484,169.45391,20.718883,1.3199644,0,0,1.920471,38.71198,79.290617,14.460587,0.59141791,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,257.46959,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7485962,53.875173,169.63871,20.741477,1.3214038,0,0,1.9225654,38.754197,79.377087,14.476357,0.59206287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671,257.75007,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7559478,53.933862,169.82351,20.764072,1.3228433,0,0,1.9246597,38.796414,79.463557,14.492127,0.59270784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672,258.03054,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7632994,53.992551,170.0083,20.786667,1.3242828,0,0,1.9267541,38.838631,79.550026,14.507897,0.59335281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
673,258.31102,0,0,0,0,0,0,0,0,0,0,0,0,0,6.770651,54.05124,170.1931,20.809262,1.3257223,0,0,1.9288485,38.880848,79.636496,14.523667,0.59399777,0,0,0,0,0,0,0,0,0,0,0,0,0,0
674,258.59149,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7780026,54.10993,170.3779,20.831857,1.3271617,0,0,1.9309428,38.923065,79.722966,14.539437,0.59464274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,258.87197,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7853542,54.168619,170.56269,20.854451,1.3286012,0,0,1.9330372,38.965282,79.809436,14.555207,0.5952877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676,259.15245,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7927058,54.227308,170.74749,20.877046,1.3300407,0,0,1.9351315,39.007499,79.895905,14.570977,0.59593267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677,259.43292,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8000574,54.285997,170.93229,20.899641,1.3314802,0,0,1.9372259,39.049717,79.982375,14.586747,0.59657764,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,259.7134,0,0,0,0,0,0,0,0,0,0,0,0,0,6.807409,54.344686,171.11708,20.922236,1.3329197,0,0,1.9393202,39.091934,80.068845,14.602516,0.5972226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
679,259.99387,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8147607,54.403375,171.30188,20.944831,1.3343591,0,0,1.9414146,39.134151,80.155315,14.618286,0.59786757,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,260.27435,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8221123,54.462064,171.48667,20.967426,1.3357986,0,0,1.9435089,39.176368,80.241784,14.634056,0.59851253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
681,260.55482,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8294639,54.520754,171.67147,20.99002,1.3372381,0,0,1.9456033,39.218585,80.328254,14.649826,0.5991575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682,260.8353,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8368155,54.579443,171.85627,21.012615,1.3386776,0,0,1.9476976,39.260802,80.414724,14.665596,0.59980247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683,261.11577,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8441671,54.638132,172.04106,21.03521,1.340117,0,0,1.949792,39.303019,80.501194,14.681366,0.60044743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
684,261.39625,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8515187,54.696821,172.22586,21.057805,1.3415565,0,0,1.9518864,39.345236,80.587663,14.697136,0.6010924,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685,261.67673,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8588703,54.75551,172.41066,21.0804,1.342996,0,0,1.9539807,39.387453,80.674133,14.712906,0.60173737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686,261.9572,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8662219,54.814199,172.59545,21.102994,1.3444355,0,0,1.9560751,39.42967,80.760603,14.728675,0.60238233,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687,262.23768,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8735735,54.872888,172.78025,21.125589,1.3458749,0,0,1.9581694,39.471887,80.847073,14.744445,0.6030273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688,262.51815,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8809251,54.931578,172.96505,21.148184,1.3473144,0,0,1.9602638,39.514104,80.933542,14.760215,0.60367226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,262.79863,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8882768,54.990267,173.14984,21.170779,1.3487539,0,0,1.9623581,39.556321,81.020012,14.775985,0.60431723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,263.0791,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8956284,55.048956,173.33464,21.193374,1.3501934,0,0,1.9644525,39.598538,81.106482,14.791755,0.6049622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
691,263.35958,0,0,0,0,0,0,0,0,0,0,0,0,0,6.90298,55.107645,173.51944,21.215968,1.3516329,0,0,1.9665468,39.640755,81.192952,14.807525,0.60560716,0,0,0,0,0,0,0,0,0,0,0,0,0,0
692,263.64005,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9103316,55.166334,173.70423,21.238563,1.3530723,0,0,1.9686412,39.682972,81.279421,14.823295,0.60625213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693,263.92053,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9176832,55.225023,173.88903,21.261158,1.3545118,0,0,1.9707355,39.725189,81.365891,14.839065,0.60689709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694,264.20101,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9250348,55.283712,174.07383,21.283753,1.3559513,0,0,1.9728299,39.767406,81.452361,14.854834,0.60754206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695,264.48148,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9323864,55.342402,174.25862,21.306348,1.3573908,0,0,1.9749243,39.809623,81.538831,14.870604,0.60818703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696,264.76196,0,0,0,0,0,0,0,0,0,0,0,0,0,6.939738,55.401091,174.44342,21.328943,1.3588302,0,0,1.9770186,39.85184,81.6253,14.886374,0.60883199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697,265.04243,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9470896,55.45978,174.62822,21.351537,1.3602697,0,0,1.979113,39.894057,81.71177,14.902144,0.60947696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698,265.32291,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9544413,55.518469,174.81301,21.374132,1.3617092,0,0,1.9812073,39.936274,81.79824,14.917914,0.61012192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,265.60338,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9617929,55.577158,174.99781,21.396727,1.3631487,0,0,1.9833017,39.978491,81.88471,14.933684,0.61076689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,265.88386,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9691445,55.635847,175.18261,21.419322,1.3645881,0,0,1.985396,40.020709,81.971179,14.949454,0.61141186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,266.16433,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9764961,55.694536,175.3674,21.441917,1.3660276,0,0,1.9874904,40.062926,82.057649,14.965224,0.61205682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702,266.44481,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9838477,55.753226,175.5522,21.464511,1.3674671,0,0,1.9895847,40.105143,82.144119,14.980994,0.61270179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,266.72529,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9911993,55.811915,175.737,21.487106,1.3689066,0,0,1.9916791,40.14736,82.230589,14.996763,0.61334676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
704,266.82383,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9937822,55.832534,175.80192,21.495044,1.3694123,0,0,1.9924149,40.162192,82.260968,15.002304,0.61357335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,266.92235,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9963647,55.853151,175.86684,21.502982,1.369918,0,0,1.9931506,40.177022,82.291344,15.007844,0.61379992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
706,267.02088,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9989472,55.873767,175.93176,21.510919,1.3704236,0,0,1.9938863,40.191852,82.32172,15.013383,0.61402649,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707,267.11941,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0015297,55.894384,175.99667,21.518856,1.3709293,0,0,1.9946221,40.206683,82.352095,15.018923,0.61425306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
708,267.21793,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0041123,55.915001,176.06159,21.526793,1.371435,0,0,1.9953578,40.221513,82.382471,15.024463,0.61447962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
709,267.31646,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0066948,55.935618,176.1265,21.534731,1.3719407,0,0,1.9960935,40.236343,82.412847,15.030003,0.61470619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,267.41499,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0092773,55.956234,176.19142,21.542668,1.3724463,0,0,1.9968292,40.251173,82.443222,15.035542,0.61493276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711,267.51352,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0118598,55.976851,176.25634,21.550605,1.372952,0,0,1.9975649,40.266004,82.473598,15.041082,0.61515933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
712,267.61204,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0144423,55.997468,176.32125,21.558543,1.3734577,0,0,1.9983007,40.280834,82.503974,15.046622,0.6153859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
713,267.71057,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0170249,56.018084,176.38617,21.56648,1.3739633,0,0,1.9990364,40.295664,82.534349,15.052162,0.61561246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,267.8091,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0196074,56.038701,176.45109,21.574417,1.374469,0,0,1.9997721,40.310495,82.564725,15.057701,0.61583903,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,267.90763,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0221899,56.059318,176.516,21.582354,1.3749747,0,0,2.0005078,40.325325,82.595101,15.063241,0.6160656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716,268.00615,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0247724,56.079935,176.58092,21.590292,1.3754803,0,0,2.0012435,40.340155,82.625476,15.068781,0.61629217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
717,268.10468,0,0,0,0,0,0,0,0,0,0,0,0,0,7.027355,56.100551,176.64584,21.598229,1.375986,0,0,2.0019792,40.354985,82.655852,15.074321,0.61651874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
