Time (ms),Stress (kPa)
0.0309999,1.062442
0.0319999,1.169659
0.0329999,1.276876
0.0339999,1.384093
0.0349999,1.49131
0.0359999,1.598527
0.0369999,1.705743
0.0379999,1.81296
0.0389999,1.920177
0.0399999,2.027394
0.0409999,2.134611
0.0419999,2.241828
0.0429999,2.349045
0.0439999,2.456262
0.0449999,2.563479
0.0459999,2.670696
0.0469999,2.777913
0.0479999,2.88513
0.0489999,2.992347
0.0499999,3.099563
0.0509999,3.20678
0.0519999,3.313997
0.0529999,3.421214
0.0539999,3.528431
0.0549999,3.635648
0.0559999,3.742865
0.0569999,3.850082
0.0579999,3.957299
0.0589999,4.064516
0.0599999,4.171733
0.0609999,4.27895
0.0619999,4.386167
0.0629999,4.493383
0.0639999,4.6006
0.0649999,4.707817
0.0659999,4.815034
0.0669999,4.922251
0.0679999,5.029468
0.0689999,5.136685
0.0699999,5.243902
0.0709999,5.351119
0.0719999,5.458336
0.0729999,5.565553
0.0739999,5.67277
0.0749999,5.779986
0.0759999,5.887203
0.0769999,5.99442
0.0779999,6.101637
0.0789999,6.208854
0.0799999,6.316071
0.0809999,6.423288
0.0819999,6.530505
0.0829999,6.637722
0.0839999,6.744939
0.0849999,6.852156
0.0859999,6.959373
0.0869999,7.06659
0.0879999,7.173806
0.0889999,7.281023
0.0899999,7.38824
0.0909999,7.495457
0.0919999,7.602674
0.0929999,7.709891
0.0939999,7.817108
0.0949999,7.924325
0.0959999,8.031542
0.0969999,8.138759
0.0979999,8.245976
0.0989999,8.353193
0.0999999,8.46041
0.1009999,8.567626
0.1019999,8.674843
0.1029999,8.78206
0.1039999,8.889277
0.1049999,8.996494
0.1059999,9.103711
0.1069999,9.210928
0.1079999,9.318145
0.1089999,9.425362
0.1099999,9.532579
0.1109999,9.639796
0.1119999,9.747013
0.1129999,9.85423
0.1139999,9.961446
0.1149999,10.06866
0.1159999,10.17588
0.1169999,10.2831
0.1179999,10.39031
0.1189999,10.49753
0.1199999,10.60475
0.1209999,10.71196
0.1219999,10.81918
0.1229999,10.9264
0.1239999,11.03362
0.1249999,11.14083
0.1259999,11.24805
0.1269999,11.35527
0.1279999,11.46248
0.1289999,11.5697
0.1299999,11.67692
0.1309999,11.78413
0.1319999,11.89135
0.1329999,11.99857
0.1339999,12.10578
0.1349999,12.213
0.1359999,12.32022
0.1369999,12.42744
0.1379999,12.53465
0.1389999,12.64187
0.1399999,12.74909
0.1409999,13.00464
0.1419999,13.26022
0.1429999,13.5158
0.1439999,13.77139
0.1449999,14.02697
0.1459999,14.28255
0.1469999,14.53813
0.1479999,14.79372
0.1489999,15.0493
0.1499999,15.30488
0.1509999,15.56046
0.1519999,15.81605
0.1529999,16.07163
0.1539999,16.32721
0.1549999,16.58279
0.1559999,16.83838
0.1569999,17.09396
0.1579999,17.34954
0.1589999,17.60512
0.1599999,17.86071
0.1609999,18.11629
0.1619999,18.37187
0.1629999,18.62745
0.1639999,18.88304
0.1649999,19.13862
0.1659999,19.3942
0.1669999,19.64978
0.1679999,19.90537
0.1689999,20.16095
0.1699999,20.41653
0.1709999,20.67211
0.1719999,20.9277
0.1729999,21.18328
0.1739999,21.43886
0.1749999,21.69444
0.1759999,21.95003
0.1769999,22.20561
0.1779999,22.46119
0.1789999,22.71677
0.1799999,22.97236
0.1809999,23.22794
0.1819999,23.48352
0.1829999,23.7391
0.1839999,23.99469
0.1849999,24.25027
0.1859999,24.50585
0.1869999,24.76143
0.1879999,25.01702
0.1889999,25.2726
0.1899999,25.52818
0.1909999,25.78376
0.1919999,26.03935
0.1929999,26.29493
0.1939999,26.55051
0.1949999,26.80609
0.1959999,27.06168
0.1969999,27.31726
0.1979999,27.57284
0.1989999,27.82842
0.1999999,28.08401
0.2009999,28.33959
0.2019999,28.59517
0.2029999,28.85075
0.2039999,29.10634
0.2049999,29.36192
0.2059999,29.6175
0.2069999,29.87308
0.2079999,30.12867
0.2089999,30.38425
0.2099999,30.63983
0.2109999,30.89542
0.2119999,31.151
0.2129999,31.40658
0.2139999,31.66216
0.2149999,31.91775
