Time (ms),Stress at 0.00 mm (kPa),Stress at 0.27 mm (kPa),Stress at 0.46 mm (kPa),Stress at NaN mm (kPa),Stress at 0.80 mm (kPa),Stress at 1.06 mm (kPa),Stress at NaN mm (kPa),Stress at 1.44 mm (kPa),Stress at 1.66 mm (kPa),Stress at 1.84 mm (kPa),Stress at 2.03 mm (kPa),Stress at 2.25 mm (kPa),Stress at 2.46 mm (kPa),Stress at 2.66 mm (kPa),Stress at 2.85 mm (kPa)
0,-7.4019005,-6.5604994,-6.3205794,,-4.427233,-4.015071,,-1.89026,-2.636402,-1.5820544,-1.0801792,-0.5480345,-0.6724339,-0.44726138,-0.27536236
1,-7.2545002,-6.4298546,-6.1947123,,-4.3390698,-3.9351155,,-1.8526176,-2.5839011,-1.5505496,-1.0586687,-0.53712103,-0.65904316,-0.43835469,-0.26987883
2,-7.1070999,-6.2992098,-6.0688453,,-4.2509065,-3.85516,,-1.8149753,-2.5314002,-1.5190449,-1.0371582,-0.52620756,-0.64565242,-0.42944799,-0.26439531
3,-6.9596996,-6.1685651,-5.9429783,,-4.1627433,-3.7752045,,-1.7773329,-2.4788993,-1.4875401,-1.0156476,-0.51529408,-0.63226167,-0.4205413,-0.25891179
4,-6.8122993,-6.0379203,-5.8171113,,-4.0745801,-3.695249,,-1.7396906,-2.4263984,-1.4560353,-0.99413713,-0.50438061,-0.61887093,-0.41163461,-0.25342827
5,-6.664899,-5.9072756,-5.6912442,,-3.9864169,-3.6152935,,-1.7020483,-2.3738976,-1.4245305,-0.97262661,-0.49346714,-0.60548019,-0.40272791,-0.24794474
6,-6.5174987,-5.7766308,-5.5653772,,-3.8982536,-3.535338,,-1.6644059,-2.3213967,-1.3930257,-0.95111609,-0.48255367,-0.59208945,-0.39382122,-0.24246122
7,-6.3700985,-5.6459861,-5.4395102,,-3.8100904,-3.4553825,,-1.6267636,-2.2688958,-1.3615209,-0.92960557,-0.47164019,-0.5786987,-0.38491453,-0.2369777
8,-6.2226982,-5.5153413,-5.3136432,,-3.7219272,-3.375427,,-1.5891212,-2.2163949,-1.3300162,-0.90809505,-0.46072672,-0.56530796,-0.37600783,-0.23149417
9,-6.0752979,-5.3846966,-5.1877761,,-3.633764,-3.2954715,,-1.5514789,-2.163894,-1.2985114,-0.88658453,-0.44981325,-0.55191722,-0.36710114,-0.22601065
10,-5.9278976,-5.2540518,-5.0619091,,-3.5456008,-3.215516,,-1.5138366,-2.1113931,-1.2670066,-0.86507401,-0.43889977,-0.53852647,-0.35819445,-0.22052713
11,-5.7804973,-5.1234071,-4.9360421,,-3.4574375,-3.1355605,,-1.4761942,-2.0588922,-1.2355018,-0.84356349,-0.4279863,-0.52513573,-0.34928776,-0.21504361
12,-5.633097,-4.9927623,-4.8101751,,-3.3692743,-3.055605,,-1.4385519,-2.0063913,-1.203997,-0.82205297,-0.41707283,-0.51174499,-0.34038106,-0.20956008
13,-5.4856968,-4.8621175,-4.684308,,-3.2811111,-2.9756495,,-1.4009095,-1.9538904,-1.1724922,-0.80054245,-0.40615935,-0.49835424,-0.33147437,-0.20407656
14,-5.3382965,-4.7314728,-4.558441,,-3.1929479,-2.8956941,,-1.3632672,-1.9013895,-1.1409875,-0.77903194,-0.39524588,-0.4849635,-0.32256768,-0.19859304
15,-5.1908962,-4.600828,-4.432574,,-3.1047846,-2.8157386,,-1.3256249,-1.8488886,-1.1094827,-0.75752142,-0.38433241,-0.47157276,-0.31366098,-0.19310951
16,-5.0434959,-4.4701833,-4.306707,,-3.0166214,-2.7357831,,-1.2879825,-1.7963877,-1.0779779,-0.7360109,-0.37341893,-0.45818201,-0.30475429,-0.18762599
17,-4.8960956,-4.3395385,-4.1808399,,-2.9284582,-2.6558276,,-1.2503402,-1.7438868,-1.0464731,-0.71450038,-0.36250546,-0.44479127,-0.2958476,-0.18214247
18,-4.7486953,-4.2088938,-4.0549729,,-2.840295,-2.5758721,,-1.2126978,-1.6913859,-1.0149683,-0.69298986,-0.35159199,-0.43140053,-0.28694091,-0.17665895
19,-4.6012951,-4.078249,-3.9291059,,-2.7521317,-2.4959166,,-1.1750555,-1.638885,-0.98346354,-0.67147934,-0.34067852,-0.41800978,-0.27803421,-0.17117542
20,-4.4538948,-3.9476043,-3.8032389,,-2.6639685,-2.4159611,,-1.1374132,-1.5863841,-0.95195876,-0.64996882,-0.32976504,-0.40461904,-0.26912752,-0.1656919
21,-4.3064945,-3.8169595,-3.6773718,,-2.5758053,-2.3360056,,-1.0997708,-1.5338832,-0.92045398,-0.6284583,-0.31885157,-0.3912283,-0.26022083,-0.16020838
22,-4.1590942,-3.6863148,-3.5515048,,-2.4876421,-2.2560501,,-1.0621285,-1.4813823,-0.88894919,-0.60694778,-0.3079381,-0.37783755,-0.25131413,-0.15472486
23,-4.0116939,-3.55567,-3.4256378,,-2.3994789,-2.1760946,,-1.0244861,-1.4288814,-0.85744441,-0.58543726,-0.29702462,-0.36444681,-0.24240744,-0.14924133
24,-3.8642936,-3.4250252,-3.2997708,,-2.3113156,-2.0961391,,-0.9868438,-1.3763805,-0.82593962,-0.56392674,-0.28611115,-0.35105607,-0.23350075,-0.14375781
25,-3.7168934,-3.2943805,-3.1739037,,-2.2231524,-2.0161836,,-0.94920146,-1.3238796,-0.79443484,-0.54241623,-0.27519768,-0.33766532,-0.22459406,-0.13827429
26,-3.5694931,-3.1637357,-3.0480367,,-2.1349892,-1.9362281,,-0.91155912,-1.2713787,-0.76293006,-0.52090571,-0.2642842,-0.32427458,-0.21568736,-0.13279076
27,-3.4220928,-3.033091,-2.9221697,,-2.046826,-1.8562726,,-0.87391678,-1.2188778,-0.73142527,-0.49939519,-0.25337073,-0.31088384,-0.20678067,-0.12730724
28,-3.2746925,-2.9024462,-2.7963027,,-1.9586627,-1.7763172,,-0.83627444,-1.1663769,-0.69992049,-0.47788467,-0.24245726,-0.29749309,-0.19787398,-0.12182372
29,-3.1272922,-2.7718015,-2.6704356,,-1.8704995,-1.6963617,,-0.7986321,-1.113876,-0.66841571,-0.45637415,-0.23154378,-0.28410235,-0.18896728,-0.1163402
30,-2.9798919,-2.6411567,-2.5445686,,-1.7823363,-1.6164062,,-0.76098976,-1.0613751,-0.63691092,-0.43486363,-0.22063031,-0.27071161,-0.18006059,-0.11085667
31,-2.8324917,-2.510512,-2.4187016,,-1.6941731,-1.5364507,,-0.72334742,-1.0088742,-0.60540614,-0.41335311,-0.20971684,-0.25732086,-0.1711539,-0.10537315
32,-2.6850914,-2.3798672,-2.2928346,,-1.6060099,-1.4564952,,-0.68570508,-0.95637335,-0.57390136,-0.39184259,-0.19880336,-0.24393012,-0.16224721,-0.099889628
33,-2.5376911,-2.2492225,-2.1669675,,-1.5178466,-1.3765397,,-0.64806274,-0.90387246,-0.54239657,-0.37033207,-0.18788989,-0.23053938,-0.15334051,-0.094406106
34,-2.3902908,-2.1185777,-2.0411005,,-1.4296834,-1.2965842,,-0.6104204,-0.85137156,-0.51089179,-0.34882155,-0.17697642,-0.21714863,-0.14443382,-0.088922583
35,-2.2428905,-1.9879329,-1.9152335,,-1.3415202,-1.2166287,,-0.57277805,-0.79887066,-0.479387,-0.32731103,-0.16606295,-0.20375789,-0.13552713,-0.08343906
36,-2.0954902,-1.8572882,-1.7893665,,-1.253357,-1.1366732,,-0.53513571,-0.74636977,-0.44788222,-0.30580052,-0.15514947,-0.19036715,-0.12662043,-0.077955537
37,-1.94809,-1.7266434,-1.6634994,,-1.1651937,-1.0567177,,-0.49749337,-0.69386887,-0.41637744,-0.28429,-0.144236,-0.1769764,-0.11771374,-0.072472015
38,-1.8006897,-1.5959987,-1.5376324,,-1.0770305,-0.97676223,,-0.45985103,-0.64136797,-0.38487265,-0.26277948,-0.13332253,-0.16358566,-0.10880705,-0.066988492
39,-1.6532894,-1.4653539,-1.4117654,,-0.98886729,-0.89680674,,-0.42220869,-0.58886708,-0.35336787,-0.24126896,-0.12240905,-0.15019492,-0.099900356,-0.061504969
40,-1.5058891,-1.3347092,-1.2858983,,-0.90070407,-0.81685124,,-0.38456635,-0.53636618,-0.32186309,-0.21975844,-0.11149558,-0.13680418,-0.090993663,-0.056021447
41,-1.3584888,-1.2040644,-1.1600313,,-0.81254085,-0.73689575,,-0.34692401,-0.48386529,-0.2903583,-0.19824792,-0.10058211,-0.12341343,-0.08208697,-0.050537924
42,-1.2110885,-1.0734197,-1.0341643,,-0.72437763,-0.65694026,,-0.30928167,-0.43136439,-0.25885352,-0.1767374,-0.089668634,-0.11002269,-0.073180277,-0.045054401
43,-1.0636882,-0.94277491,-0.90829727,,-0.6362144,-0.57698476,,-0.27163933,-0.37886349,-0.22734874,-0.15522688,-0.078755161,-0.096631946,-0.064273584,-0.039570878
44,-0.91628796,-0.81213016,-0.78243025,,-0.54805118,-0.49702927,,-0.23399699,-0.3263626,-0.19584395,-0.13371636,-0.067841688,-0.083241202,-0.055366891,-0.034087356
45,-0.76888768,-0.68148541,-0.65656322,,-0.45988796,-0.41707378,,-0.19635465,-0.2738617,-0.16433917,-0.11220584,-0.056928215,-0.069850459,-0.046460198,-0.028603833
46,-0.6214874,-0.55084065,-0.5306962,,-0.37172474,-0.33711829,,-0.15871231,-0.2213608,-0.13283438,-0.090695324,-0.046014742,-0.056459716,-0.037553505,-0.02312031
47,-0.47408711,-0.4201959,-0.40482917,,-0.28356151,-0.25716279,,-0.12106997,-0.16885991,-0.1013296,-0.069184805,-0.035101269,-0.043068973,-0.028646813,-0.017636787
48,-0.32668683,-0.28955114,-0.27896214,,-0.19539829,-0.1772073,,-0.083427633,-0.11635901,-0.069824817,-0.047674286,-0.024187795,-0.029678229,-0.01974012,-0.012153265
49,-0.17928654,-0.15890639,-0.15309512,,-0.10723507,-0.097251807,,-0.045785292,-0.063858115,-0.038320033,-0.026163767,-0.013274322,-0.016287486,-0.010833427,-0.0066697419
50,-0.031886261,-0.028261633,-0.027228094,,-0.019071846,-0.017296315,,-0.0081429522,-0.011357219,-0.0068152497,-0.0046532476,-0.0023608492,-0.0028967429,-0.0019267339,-0.0011862191
51,0.11551402,0.10238312,0.098638931,,0.069091377,0.062659178,,0.029499388,0.041143678,0.024689534,0.016857271,0.0085526239,0.010494,0.0069799589,0.0042973036
52,0.26291431,0.23302788,0.22450596,,0.1572546,0.14261467,,0.067141728,0.093644574,0.056194318,0.038367791,0.019466097,0.023884744,0.015886652,0.0097808264
53,0.41031459,0.36367263,0.35037298,,0.24541782,0.22257016,,0.10478407,0.14614547,0.087699101,0.05987831,0.03037957,0.037275487,0.024793345,0.015264349
54,0.55771487,0.49431739,0.47624001,,0.33358104,0.30252566,,0.14242641,0.19864637,0.11920388,0.081388829,0.041293043,0.05066623,0.033700038,0.020747872
55,0.70511516,0.62496214,0.60210703,,0.42174427,0.38248115,,0.18006875,0.25114726,0.15070867,0.10289935,0.052206516,0.064056973,0.04260673,0.026231395
56,0.85251544,0.75560689,0.72797406,,0.50990749,0.46243664,,0.21771109,0.30364816,0.18221345,0.12440987,0.063119989,0.077447716,0.051513423,0.031714917
57,0.99991573,0.88625165,0.85384108,,0.59807071,0.54239213,,0.25535343,0.35614906,0.21371824,0.14592039,0.074033462,0.09083846,0.060420116,0.03719844
58,1.147316,1.0168964,0.97970811,,0.68623394,0.62234763,,0.29299577,0.40864995,0.24522302,0.16743091,0.084946935,0.1042292,0.069326809,0.042681963
59,1.2947163,1.1475412,1.1055751,,0.77439716,0.70230312,,0.33063811,0.46115085,0.2767278,0.18894142,0.095860409,0.11761995,0.078233502,0.048165486
60,1.4421166,1.2781859,1.2314422,,0.86256038,0.78225861,,0.36828045,0.51365174,0.30823259,0.21045194,0.10677388,0.13101069,0.087140195,0.053649008
61,1.5895169,1.4088307,1.3573092,,0.9507236,0.86221411,,0.40592279,0.56615264,0.33973737,0.23196246,0.11768735,0.14440143,0.096046888,0.059132531
62,1.7369171,1.5394754,1.4831762,,1.0388868,0.9421696,,0.44356513,0.61865354,0.37124215,0.25347298,0.12860083,0.15779218,0.10495358,0.064616054
63,1.8843174,1.6701202,1.6090432,,1.12705,1.0221251,,0.48120747,0.67115443,0.40274694,0.2749835,0.1395143,0.17118292,0.11386027,0.070099576
64,2.0317177,1.8007649,1.7349103,,1.2152133,1.1020806,,0.51884981,0.72365533,0.43425172,0.29649402,0.15042777,0.18457366,0.12276697,0.075583099
65,2.179118,1.9314097,1.8607773,,1.3033765,1.1820361,,0.55649215,0.77615623,0.4657565,0.31800454,0.16134125,0.19796441,0.13167366,0.081066622
66,2.3265183,2.0620544,1.9866443,,1.3915397,1.2619916,,0.59413449,0.82865712,0.49726129,0.33951506,0.17225472,0.21135515,0.14058035,0.086550145
67,2.4739186,2.1926992,2.1125113,,1.4797029,1.3419471,,0.63177683,0.88115802,0.52876607,0.36102558,0.18316819,0.22474589,0.14948705,0.092033667
68,2.6213188,2.3233439,2.2383784,,1.5678662,1.4219026,,0.66941917,0.93365891,0.56027086,0.3825361,0.19408167,0.23813664,0.15839374,0.09751719
69,2.7687191,2.4539887,2.3642454,,1.6560294,1.501858,,0.70706151,0.98615981,0.59177564,0.40404662,0.20499514,0.25152738,0.16730043,0.10300071
70,2.9161194,2.5846335,2.4901124,,1.7441926,1.5818135,,0.74470385,1.0386607,0.62328042,0.42555713,0.21590861,0.26491812,0.17620712,0.10848424
71,3.0635197,2.7152782,2.6159794,,1.8323558,1.661769,,0.78234619,1.0911616,0.65478521,0.44706765,0.22682209,0.27830887,0.18511382,0.11396776
72,3.21092,2.845923,2.7418465,,1.9205191,1.7417245,,0.81998853,1.1436625,0.68628999,0.46857817,0.23773556,0.29169961,0.19402051,0.11945128
73,3.3583203,2.9765677,2.8677135,,2.0086823,1.82168,,0.85763087,1.1961634,0.71779477,0.49008869,0.24864903,0.30509035,0.2029272,0.1249348
74,3.5057206,3.1072125,2.9935805,,2.0968455,1.9016355,,0.89527321,1.2486643,0.74929956,0.51159921,0.2595625,0.31848109,0.2118339,0.13041833
75,3.6531208,3.2378572,3.1194475,,2.1850087,1.981591,,0.93291555,1.3011652,0.78080434,0.53310973,0.27047598,0.33187184,0.22074059,0.13590185
76,3.8005211,3.368502,3.2453146,,2.2731719,2.0615465,,0.97055789,1.3536661,0.81230912,0.55462025,0.28138945,0.34526258,0.22964728,0.14138537
77,3.9479214,3.4991467,3.3711816,,2.3613352,2.141502,,1.0082002,1.406167,0.84381391,0.57613077,0.29230292,0.35865332,0.23855397,0.14686889
78,4.0953217,3.6297915,3.4970486,,2.4494984,2.2214575,,1.0458426,1.4586679,0.87531869,0.59764129,0.3032164,0.37204407,0.24746067,0.15235242
79,4.242722,3.7604362,3.6229156,,2.5376616,2.301413,,1.0834849,1.5111688,0.90682348,0.61915181,0.31412987,0.38543481,0.25636736,0.15783594
80,4.3901223,3.891081,3.7487827,,2.6258248,2.3813685,,1.1211273,1.5636697,0.93832826,0.64066233,0.32504334,0.39882555,0.26527405,0.16331946
81,4.5375225,4.0217258,3.8746497,,2.7139881,2.461324,,1.1587696,1.6161706,0.96983304,0.66217284,0.33595682,0.4122163,0.27418075,0.16880299
82,4.6849228,4.1523705,4.0005167,,2.8021513,2.5412795,,1.1964119,1.6686715,1.0013378,0.68368336,0.34687029,0.42560704,0.28308744,0.17428651
83,4.8323231,4.2830153,4.1263837,,2.8903145,2.6212349,,1.2340543,1.7211724,1.0328426,0.70519388,0.35778376,0.43899778,0.29199413,0.17977003
84,4.9797234,4.41366,4.2522508,,2.9784777,2.7011904,,1.2716966,1.7736733,1.0643474,0.7267044,0.36869724,0.45238853,0.30090082,0.18525355
85,5.1271237,4.5443048,4.3781178,,3.0666409,2.7811459,,1.309339,1.8261742,1.0958522,0.74821492,0.37961071,0.46577927,0.30980752,0.19073708
86,5.274524,4.6749495,4.5039848,,3.1548042,2.8611014,,1.3469813,1.878675,1.127357,0.76972544,0.39052418,0.47917001,0.31871421,0.1962206
87,5.4219242,4.8055943,4.6298518,,3.2429674,2.9410569,,1.3846236,1.9311759,1.1588617,0.79123596,0.40143766,0.49256076,0.3276209,0.20170412
88,5.5693245,4.936239,4.7557189,,3.3311306,3.0210124,,1.422266,1.9836768,1.1903665,0.81274648,0.41235113,0.5059515,0.3365276,0.20718764
89,5.7167248,5.0668838,4.8815859,,3.4192938,3.1009679,,1.4599083,2.0361777,1.2218713,0.834257,0.4232646,0.51934224,0.34543429,0.21267117
90,5.8641251,5.1975285,5.0074529,,3.5074571,3.1809234,,1.4975507,2.0886786,1.2533761,0.85576752,0.43417807,0.53273299,0.35434098,0.21815469
91,6.0115254,5.3281733,5.13332,,3.5956203,3.2608789,,1.535193,2.1411795,1.2848809,0.87727804,0.44509155,0.54612373,0.36324767,0.22363821
92,6.1589257,5.4588181,5.259187,,3.6837835,3.3408344,,1.5728353,2.1936804,1.3163857,0.89878856,0.45600502,0.55951447,0.37215437,0.22912174
93,6.3063259,5.5894628,5.385054,,3.7719467,3.4207899,,1.6104777,2.2461813,1.3478904,0.92029907,0.46691849,0.57290522,0.38106106,0.23460526
94,6.4537262,5.7201076,5.510921,,3.8601099,3.5007454,,1.64812,2.2986822,1.3793952,0.94180959,0.47783197,0.58629596,0.38996775,0.24008878
95,6.6011265,5.8507523,5.6367881,,3.9482732,3.5807009,,1.6857624,2.3511831,1.4109,0.96332011,0.48874544,0.5996867,0.39887445,0.2455723
96,6.7485268,5.9813971,5.7626551,,4.0364364,3.6606564,,1.7234047,2.403684,1.4424048,0.98483063,0.49965891,0.61307745,0.40778114,0.25105583
97,6.8959271,6.1120418,5.8885221,,4.1245996,3.7406118,,1.761047,2.4561849,1.4739096,1.0063412,0.51057239,0.62646819,0.41668783,0.25653935
98,7.0433274,6.2426866,6.0143891,,4.2127628,3.8205673,,1.7986894,2.5086858,1.5054144,1.0278517,0.52148586,0.63985893,0.42559452,0.26202287
99,7.1907276,6.3733313,6.1402562,,4.3009261,3.9005228,,1.8363317,2.5611867,1.5369191,1.0493622,0.53239933,0.65324968,0.43450122,0.2675064
100,7.3381279,6.5039761,6.2661232,,4.3890893,3.9804783,,1.8739741,2.6136876,1.5684239,1.0708727,0.54331281,0.66664042,0.44340791,0.27298992
101,7.4855282,6.6346208,6.3919902,,4.4772525,4.0604338,,1.9116164,2.6661885,1.5999287,1.0923832,0.55422628,0.68003116,0.4523146,0.27847344
102,7.6329285,6.7652656,6.5178572,,4.5654157,4.1403893,,1.9492587,2.7186894,1.6314335,1.1138937,0.56513975,0.69342191,0.4612213,0.28395696
103,7.7803288,6.8959104,6.6437243,,4.653579,4.2203448,,1.9869011,2.7711903,1.6629383,1.1354043,0.57605322,0.70681265,0.47012799,0.28944049
104,7.9277291,7.0265551,6.7695913,,4.7417422,4.3003003,,2.0245434,2.8236912,1.6944431,1.1569148,0.5869667,0.72020339,0.47903468,0.29492401
105,8.0751293,7.1571999,6.8954583,,4.8299054,4.3802558,,2.0621858,2.8761921,1.7259479,1.1784253,0.59788017,0.73359414,0.48794137,0.30040753
106,8.2225296,7.2878446,7.0213253,,4.9180686,4.4602113,,2.0998281,2.928693,1.7574526,1.1999358,0.60879364,0.74698488,0.49684807,0.30589105
107,8.3699299,7.4184894,7.1471924,,5.0062318,4.5401668,,2.1374704,2.9811939,1.7889574,1.2214463,0.61970712,0.76037562,0.50575476,0.31137458
108,8.5173302,7.5491341,7.2730594,,5.0943951,4.6201223,,2.1751128,3.0336948,1.8204622,1.2429569,0.63062059,0.77376636,0.51466145,0.3168581
109,8.6647305,7.6797789,7.3989264,,5.1825583,4.7000778,,2.2127551,3.0861957,1.851967,1.2644674,0.64153406,0.78715711,0.52356815,0.32234162
110,8.8121308,7.8104236,7.5247934,,5.2707215,4.7800333,,2.2503975,3.1386966,1.8834718,1.2859779,0.65244754,0.80054785,0.53247484,0.32782515
111,8.9595311,7.9410684,7.6506605,,5.3588847,4.8599887,,2.2880398,3.1911975,1.9149766,1.3074884,0.66336101,0.81393859,0.54138153,0.33330867
112,9.1069313,8.0717131,7.7765275,,5.447048,4.9399442,,2.3256821,3.2436984,1.9464813,1.3289989,0.67427448,0.82732934,0.55028822,0.33879219
113,9.2543316,8.2023579,7.9023945,,5.5352112,5.0198997,,2.3633245,3.2961992,1.9779861,1.3505095,0.68518796,0.84072008,0.55919492,0.34427571
114,9.4017319,8.3330027,8.0282615,,5.6233744,5.0998552,,2.4009668,3.3487001,2.0094909,1.37202,0.69610143,0.85411082,0.56810161,0.34975924
115,9.5491322,8.4636474,8.1541286,,5.7115376,5.1798107,,2.4386092,3.401201,2.0409957,1.3935305,0.7070149,0.86750157,0.5770083,0.35524276
116,9.6965325,8.5942922,8.2799956,,5.7997008,5.2597662,,2.4762515,3.4537019,2.0725005,1.415041,0.71792837,0.88089231,0.585915,0.36072628
117,9.8439328,8.7249369,8.4058626,,5.8878641,5.3397217,,2.5138938,3.5062028,2.1040053,1.4365515,0.72884185,0.89428305,0.59482169,0.3662098
118,9.991333,8.8555817,8.5317296,,5.9760273,5.4196772,,2.5515362,3.5587037,2.13551,1.4580621,0.73975532,0.9076738,0.60372838,0.37169333
119,10.138733,8.9862264,8.6575967,,6.0641905,5.4996327,,2.5891785,3.6112046,2.1670148,1.4795726,0.75066879,0.92106454,0.61263507,0.37717685
120,10.286134,9.1168712,8.7834637,,6.1523537,5.5795882,,2.6268209,3.6637055,2.1985196,1.5010831,0.76158227,0.93445528,0.62154177,0.38266037
121,10.433534,9.2475159,8.9093307,,6.240517,5.6595437,,2.6644632,3.7162064,2.2300244,1.5225936,0.77249574,0.94784603,0.63044846,0.3881439
122,10.580934,9.3781607,9.0351977,,6.3286802,5.7394992,,2.7021055,3.7687073,2.2615292,1.5441041,0.78340921,0.96123677,0.63935515,0.39362742
123,10.728334,9.5088054,9.1610648,,6.4168434,5.8194547,,2.7397479,3.8212082,2.293034,1.5656146,0.79432269,0.97462751,0.64826185,0.39911094
124,10.875735,9.6394502,9.2869318,,6.5050066,5.8994102,,2.7773902,3.8737091,2.3245387,1.5871252,0.80523616,0.98801826,0.65716854,0.40459446
125,11.023135,9.770095,9.4127988,,6.5931699,5.9793656,,2.8150326,3.92621,2.3560435,1.6086357,0.81614963,1.001409,0.66607523,0.41007799
126,11.170535,9.9007397,9.5386658,,6.6813331,6.0593211,,2.8526749,3.9787109,2.3875483,1.6301462,0.82706311,1.0147997,0.67498193,0.41556151
127,11.317936,10.031384,9.6645329,,6.7694963,6.1392766,,2.8903172,4.0312118,2.4190531,1.6516567,0.83797658,1.0281905,0.68388862,0.42104503
128,11.465336,10.162029,9.7903999,,6.8576595,6.2192321,,2.9279596,4.0837127,2.4505579,1.6731672,0.84889005,1.0415812,0.69279531,0.42652855
129,11.612736,10.292674,9.9162669,,6.9458227,6.2991876,,2.9656019,4.1362136,2.4820627,1.6946778,0.85980352,1.054972,0.701702,0.43201208
130,11.760136,10.423319,10.042134,,7.033986,6.3791431,,3.0032443,4.1887145,2.5135674,1.7161883,0.870717,1.0683627,0.7106087,0.4374956
131,11.907537,10.553963,10.168001,,7.1221492,6.4590986,,3.0408866,4.2412154,2.5450722,1.7376988,0.88163047,1.0817535,0.71951539,0.44297912
132,12.054937,10.684608,10.293868,,7.2103124,6.5390541,,3.0785289,4.2937163,2.576577,1.7592093,0.89254394,1.0951442,0.72842208,0.44846265
133,12.202337,10.815253,10.419735,,7.2984756,6.6190096,,3.1161713,4.3462172,2.6080818,1.7807198,0.90345742,1.1085349,0.73732878,0.45394617
134,12.349738,10.945898,10.545602,,7.3866389,6.6989651,,3.1538136,4.3987181,2.6395866,1.8022304,0.91437089,1.1219257,0.74623547,0.45942969
135,12.497138,11.076542,10.671469,,7.4748021,6.7789206,,3.191456,4.451219,2.6710914,1.8237409,0.92528436,1.1353164,0.75514216,0.46491321
136,12.644538,11.207187,10.797336,,7.5629653,6.8588761,,3.2290983,4.5037199,2.7025961,1.8452514,0.93619784,1.1487072,0.76404885,0.47039674
137,12.791938,11.337832,10.923203,,7.6511285,6.9388316,,3.2667406,4.5562208,2.7341009,1.8667619,0.94711131,1.1620979,0.77295555,0.47588026
138,12.939339,11.468477,11.04907,,7.7392917,7.0187871,,3.304383,4.6087217,2.7656057,1.8882724,0.95802478,1.1754887,0.78186224,0.48136378
139,13.086739,11.599122,11.174937,,7.827455,7.0987425,,3.3420253,4.6612225,2.7971105,1.909783,0.96893826,1.1888794,0.79076893,0.4868473
140,13.234139,11.729766,11.300804,,7.9156182,7.178698,,3.3796677,4.7137234,2.8286153,1.9312935,0.97985173,1.2022701,0.79967563,0.49233083
141,13.599442,12.053543,11.612741,,8.1341132,7.3768518,,3.4729567,4.8438365,2.9066936,1.984603,1.0068986,1.2354564,0.82174909,0.50592065
142,13.964767,12.377341,11.924696,,8.3526218,7.575018,,3.5662516,4.9739576,2.9847768,2.0379159,1.0339472,1.2686448,0.84382393,0.51951131
143,14.330092,12.701138,12.236652,,8.5711305,7.7731841,,3.6595465,5.1040788,3.06286,2.0912288,1.0609957,1.3018332,0.86589878,0.53310198
144,14.695417,13.024935,12.548608,,8.7896391,7.9713503,,3.7528413,5.2341999,3.1409433,2.1445416,1.0880443,1.3350215,0.88797362,0.54669265
145,15.060742,13.348732,12.860564,,9.0081478,8.1695164,,3.8461362,5.3643211,3.2190265,2.1978545,1.1150928,1.3682099,0.91004847,0.56028332
146,15.426067,13.67253,13.17252,,9.2266564,8.3676826,,3.9394311,5.4944422,3.2971097,2.2511674,1.1421414,1.4013983,0.93212331,0.57387399
147,15.791392,13.996327,13.484476,,9.4451651,8.5658487,,4.032726,5.6245634,3.3751929,2.3044802,1.16919,1.4345866,0.95419816,0.58746466
148,16.156717,14.320124,13.796432,,9.6636737,8.7640149,,4.1260208,5.7546845,3.4532761,2.3577931,1.1962385,1.467775,0.976273,0.60105533
149,16.522042,14.643921,14.108387,,9.8821824,8.9621811,,4.2193157,5.8848057,3.5313593,2.411106,1.2232871,1.5009634,0.99834785,0.614646
150,16.887367,14.967719,14.420343,,10.100691,9.1603472,,4.3126106,6.0149268,3.6094425,2.4644189,1.2503356,1.5341517,1.0204227,0.62823667
151,17.252692,15.291516,14.732299,,10.3192,9.3585134,,4.4059055,6.145048,3.6875258,2.5177317,1.2773842,1.5673401,1.0424975,0.64182734
152,17.618018,15.615313,15.044255,,10.537708,9.5566795,,4.4992004,6.2751691,3.765609,2.5710446,1.3044328,1.6005285,1.0645724,0.655418
153,17.983343,15.93911,15.356211,,10.756217,9.7548457,,4.5924952,6.4052903,3.8436922,2.6243575,1.3314813,1.6337168,1.0866472,0.66900867
154,18.348668,16.262908,15.668167,,10.974726,9.9530118,,4.6857901,6.5354114,3.9217754,2.6776703,1.3585299,1.6669052,1.1087221,0.68259934
155,18.713993,16.586705,15.980123,,11.193234,10.151178,,4.779085,6.6655326,3.9998586,2.7309832,1.3855785,1.7000936,1.1307969,0.69619001
156,19.079318,16.910502,16.292079,,11.411743,10.349344,,4.8723799,6.7956538,4.0779418,2.7842961,1.412627,1.7332819,1.1528718,0.70978068
157,19.444643,17.234299,16.604034,,11.630252,10.54751,,4.9656747,6.9257749,4.156025,2.837609,1.4396756,1.7664703,1.1749466,0.72337135
158,19.809968,17.558097,16.91599,,11.84876,10.745676,,5.0589696,7.0558961,4.2341083,2.8909218,1.4667241,1.7996587,1.1970215,0.73696202
159,20.175293,17.881894,17.227946,,12.067269,10.943843,,5.1522645,7.1860172,4.3121915,2.9442347,1.4937727,1.832847,1.2190963,0.75055269
160,20.540618,18.205691,17.539902,,12.285778,11.142009,,5.2455594,7.3161384,4.3902747,2.9975476,1.5208213,1.8660354,1.2411711,0.76414336
161,20.905943,18.529488,17.851858,,12.504286,11.340175,,5.3388543,7.4462595,4.4683579,3.0508604,1.5478698,1.8992238,1.263246,0.77773402
