Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa)
49,-0.17928654,0,0,0,0,-0.0017730027,-0.026813799,0,0,0,-0.026609918,0,0,0,0
50,-0.031886261,0,0,0,0,-0.00031532999,-0.0047688564,0,0,0,-0.004732596,0,0,0,0
51,0.11551402,0,0,0,0,0.0011423427,0.017276086,0,0,0,0.017144726,0,0,0,0
52,0.26291431,0,0,0,0,0.0026000153,0.039321029,0,0,0,0.039022049,0,0,0,0
53,0.41031459,0,0,0,0,0.004057688,0.061365972,0,0,0,0.060899371,0,0,0,0
54,0.55771487,0,0,0,0,0.0055153607,0.083410914,0,0,0,0.082776693,0,0,0,0
55,0.70511516,0,0,0,0,0.0069730333,0.10545586,0,0,0,0.10465402,0,0,0,0
56,0.85251544,0,0,0,0,0.008430706,0.1275008,0,0,0,0.12653134,0,0,0,0
57,0.99991573,0,0,0,0,0.0098883786,0.14954574,0,0,0,0.14840866,0,0,0,0
58,1.147316,0,0,0,0,0.011346051,0.17159068,0,0,0,0.17028598,0,0,0,0
59,1.2947163,0,0,0,0,0.012803724,0.19363563,0,0,0,0.1921633,0,0,0,0
60,1.4421166,0,0,0,0,0.014261397,0.21568057,0,0,0,0.21404063,0,0,0,0
61,1.5895169,0,0,0,0,0.015719069,0.23772551,0,0,0,0.23591795,0,0,0,0
62,1.7369171,0,0,0,0,0.017176742,0.25977046,0,0,0,0.25779527,0,0,0,0
63,1.8843174,0,0,0,0,0.018634415,0.2818154,0,0,0,0.27967259,0,0,0,0
64,2.0317177,0,0,0,0,0.020092087,0.30386034,0,0,0,0.30154992,0,0,0,0
65,2.179118,0,0,0,0,0.02154976,0.32590528,0,0,0,0.32342724,0,0,0,0
66,2.3265183,0,0,0,0,0.023007433,0.34795023,0,0,0,0.34530456,0,0,0,0
67,2.4739186,0,0,0,0,0.024465105,0.36999517,0,0,0,0.36718188,0,0,0,0
68,2.6213188,0,0,0,0,0.025922778,0.39204011,0,0,0,0.3890592,0,0,0,0
69,2.7687191,0,0,0,0,0.027380451,0.41408505,0,0,0,0.41093653,0,0,0,0
70,2.9161194,0,0,0,0,0.028838123,0.43613,0,0,0,0.43281385,0,0,0,0
71,3.0635197,0,0,0,0,0.030295796,0.45817494,0,0,0,0.45469117,0,0,0,0
72,3.21092,0,0,0,0,0.031753469,0.48021988,0,0,0,0.47656849,0,0,0,0
73,3.3583203,0,0,0,0,0.033211141,0.50226482,0,0,0,0.49844582,0,0,0,0
74,3.5057206,0,0,0,0,0.034668814,0.52430977,0,0,0,0.52032314,0,0,0,0
75,3.6531208,0,0,0,0,0.036126487,0.54635471,0,0,0,0.54220046,0,0,0,0
76,3.8005211,0,0,0,0,0.037584159,0.56839965,0,0,0,0.56407778,0,0,0,0
77,3.9479214,0,0,0,0,0.039041832,0.5904446,0,0,0,0.58595511,0,0,0,0
78,4.0953217,0,0,0,0,0.040499505,0.61248954,0,0,0,0.60783243,0,0,0,0
79,4.242722,0,0,0,0,0.041957177,0.63453448,0,0,0,0.62970975,0,0,0,0
80,4.3901223,0,0,0,0,0.04341485,0.65657942,0,0,0,0.65158707,0,0,0,0
81,4.5375225,0,0,0,0,0.044872523,0.67862437,0,0,0,0.67346439,0,0,0,0
82,4.6849228,0,0,0,0,0.046330195,0.70066931,0,0,0,0.69534172,0,0,0,0
83,4.8323231,0,0,0,0,0.047787868,0.72271425,0,0,0,0.71721904,0,0,0,0
84,4.9797234,0,0,0,0,0.049245541,0.74475919,0,0,0,0.73909636,0,0,0,0
85,5.1271237,0,0,0,0,0.050703213,0.76680414,0,0,0,0.76097368,0,0,0,0
86,5.274524,0,0,0,0,0.052160886,0.78884908,0,0,0,0.78285101,0,0,0,0
87,5.4219242,0,0,0,0,0.053618559,0.81089402,0,0,0,0.80472833,0,0,0,0
88,5.5693245,0,0,0,0,0.055076231,0.83293896,0,0,0,0.82660565,0,0,0,0
89,5.7167248,0,0,0,0,0.056533904,0.85498391,0,0,0,0.84848297,0,0,0,0
90,5.8641251,0,0,0,0,0.057991576,0.87702885,0,0,0,0.8703603,0,0,0,0
91,6.0115254,0,0,0,0,0.059449249,0.89907379,0,0,0,0.89223762,0,0,0,0
92,6.1589257,0,0,0,0,0.060906922,0.92111873,0,0,0,0.91411494,0,0,0,0
93,6.3063259,0,0,0,0,0.062364594,0.94316368,0,0,0,0.93599226,0,0,0,0
94,6.4537262,0,0,0,0,0.063822267,0.96520862,0,0,0,0.95786958,0,0,0,0
95,6.6011265,0,0,0,0,0.06527994,0.98725356,0,0,0,0.97974691,0,0,0,0
96,6.7485268,0,0,0,0,0.066737612,1.0092985,0,0,0,1.0016242,0,0,0,0
97,6.8959271,0,0,0,0,0.068195285,1.0313434,0,0,0,1.0235016,0,0,0,0
98,7.0433274,0,0,0,0,0.069652958,1.0533884,0,0,0,1.0453789,0,0,0,0
99,7.1907276,0,0,0,0,0.07111063,1.0754333,0,0,0,1.0672562,0,0,0,0
100,7.3381279,0,0,0,0,0.072568303,1.0974783,0,0,0,1.0891335,0,0,0,0
101,7.4855282,0,0,0,0,0.074025976,1.1195232,0,0,0,1.1110108,0,0,0,0
102,7.6329285,0,0,0,0,0.075483648,1.1415682,0,0,0,1.1328882,0,0,0,0
103,7.7803288,0,0,0,0,0.076941321,1.1636131,0,0,0,1.1547655,0,0,0,0
104,7.9277291,0,0,0,0,0.078398994,1.185658,0,0,0,1.1766428,0,0,0,0
105,8.0751293,0,0,0,0,0.079856666,1.207703,0,0,0,1.1985201,0,0,0,0
106,8.2225296,0,0,0,0,0.081314339,1.2297479,0,0,0,1.2203975,0,0,0,0
107,8.3699299,0,0,0,0,0.082772012,1.2517929,0,0,0,1.2422748,0,0,0,0
108,8.5173302,0,0,0,0,0.084229684,1.2738378,0,0,0,1.2641521,0,0,0,0
109,8.6647305,0,0,0,0,0.085687357,1.2958828,0,0,0,1.2860294,0,0,0,0
110,8.8121308,0,0,0,0,0.08714503,1.3179277,0,0,0,1.3079067,0,0,0,0
111,8.9595311,0,0,0,0,0.088602702,1.3399726,0,0,0,1.3297841,0,0,0,0
112,9.1069313,0,0,0,0,0.090060375,1.3620176,0,0,0,1.3516614,0,0,0,0
113,9.2543316,0,0,0,0,0.091518048,1.3840625,0,0,0,1.3735387,0,0,0,0
114,9.4017319,0,0,0,0,0.09297572,1.4061075,0,0,0,1.395416,0,0,0,0
115,9.5491322,0,0,0,0,0.094433393,1.4281524,0,0,0,1.4172934,0,0,0,0
116,9.6965325,0,0,0,0,0.095891066,1.4501974,0,0,0,1.4391707,0,0,0,0
117,9.8439328,0,0,0,0,0.097348738,1.4722423,0,0,0,1.461048,0,0,0,0
118,9.991333,0,0,0,0,0.098806411,1.4942872,0,0,0,1.4829253,0,0,0,0
119,10.138733,0,0,0,0,0.10026408,1.5163322,0,0,0,1.5048026,0,0,0,0
120,10.286134,0,0,0,0,0.10172176,1.5383771,0,0,0,1.52668,0,0,0,0
121,10.433534,0,0,0,0,0.10317943,1.5604221,0,0,0,1.5485573,0,0,0,0
122,10.580934,0,0,0,0,0.1046371,1.582467,0,0,0,1.5704346,0,0,0,0
123,10.728334,0,0,0,0,0.10609477,1.604512,0,0,0,1.5923119,0,0,0,0
124,10.875735,0,0,0,0,0.10755245,1.6265569,0,0,0,1.6141893,0,0,0,0
125,11.023135,0,0,0,0,0.10901012,1.6486018,0,0,0,1.6360666,0,0,0,0
126,11.170535,0,0,0,0,0.11046779,1.6706468,0,0,0,1.6579439,0,0,0,0
127,11.317936,0,0,0,0,0.11192546,1.6926917,0,0,0,1.6798212,0,0,0,0
128,11.465336,0,0,0,0,0.11338314,1.7147367,0,0,0,1.7016985,0,0,0,0
129,11.612736,0,0,0,0,0.11484081,1.7367816,0,0,0,1.7235759,0,0,0,0
130,11.760136,0,0,0,0,0.11629848,1.7588266,0,0,0,1.7454532,0,0,0,0
131,11.907537,0,0,0,0,0.11775616,1.7808715,0,0,0,1.7673305,0,0,0,0
132,12.054937,0,0,0,0,0.11921383,1.8029164,0,0,0,1.7892078,0,0,0,0
133,12.202337,0,0,0,0,0.1206715,1.8249614,0,0,0,1.8110852,0,0,0,0
134,12.349738,0,0,0,0,0.12212917,1.8470063,0,0,0,1.8329625,0,0,0,0
135,12.497138,0,0,0,0,0.12358685,1.8690513,0,0,0,1.8548398,0,0,0,0
136,12.644538,0,0,0,0,0.12504452,1.8910962,0,0,0,1.8767171,0,0,0,0
137,12.791938,0,0,0,0,0.12650219,1.9131412,0,0,0,1.8985944,0,0,0,0
138,12.939339,0,0,0,0,0.12795986,1.9351861,0,0,0,1.9204718,0,0,0,0
139,13.086739,0,0,0,0,0.12941754,1.957231,0,0,0,1.9423491,0,0,0,0
140,13.234139,0,0,0,0,0.13087521,1.979276,0,0,0,1.9642264,0,0,0,0
141,13.599442,0,0,0,0,0.13448776,2.03391,0,0,0,2.018445,0,0,0,0
142,13.964767,0,0,0,0,0.13810054,2.0885474,0,0,0,2.072667,0,0,0,0
143,14.330092,0,0,0,0,0.14171332,2.1431848,0,0,0,2.1268889,0,0,0,0
144,14.695417,0,0,0,0,0.14532609,2.1978222,0,0,0,2.1811109,0,0,0,0
145,15.060742,0,0,0,0,0.14893887,2.2524596,0,0,0,2.2353329,0,0,0,0
146,15.426067,0,0,0,0,0.15255165,2.3070971,0,0,0,2.2895549,0,0,0,0
147,15.791392,0,0,0,0,0.15616442,2.3617345,0,0,0,2.3437769,0,0,0,0
148,16.156717,0,0,0,0,0.1597772,2.4163719,0,0,0,2.3979988,0,0,0,0
149,16.522042,0,0,0,0,0.16338998,2.4710093,0,0,0,2.4522208,0,0,0,0
150,16.887367,0,0,0,0,0.16700276,2.5256467,0,0,0,2.5064428,0,0,0,0
151,17.252692,0,0,0,0,0.17061553,2.5802841,0,0,0,2.5606648,0,0,0,0
152,17.618018,0,0,0,0,0.17422831,2.6349216,0,0,0,2.6148867,0,0,0,0
153,17.983343,0,0,0,0,0.17784109,2.689559,0,0,0,2.6691087,0,0,0,0
154,18.348668,0,0,0,0,0.18145387,2.7441964,0,0,0,2.7233307,0,0,0,0
155,18.713993,0,0,0,0,0.18506664,2.7988338,0,0,0,2.7775527,0,0,0,0
156,19.079318,0,0,0,0,0.18867942,2.8534712,0,0,0,2.8317747,0,0,0,0
157,19.444643,0,0,0,0,0.1922922,2.9081086,0,0,0,2.8859966,0,0,0,0
158,19.809968,0,0,0,0,0.19590498,2.9627461,0,0,0,2.9402186,0,0,0,0
159,20.175293,0,0,0,0,0.19951775,3.0173835,0,0,0,2.9944406,0,0,0,0
160,20.540618,0,0,0,0,0.20313053,3.0720209,0,0,0,3.0486626,0,0,0,0
161,20.905943,0,0,0,0,0.20674331,3.1266583,0,0,0,3.1028845,0,0,0,0
162,21.271268,0,0,0,0,0.21035608,3.1812957,0,0,0,3.1571065,0,0,0,0
163,21.636594,0,0,0,0,0.21396886,3.2359332,0,0,0,3.2113285,0,0,0,0
164,22.001919,0,0,0,0,0.21758164,3.2905706,0,0,0,3.2655505,0,0,0,0
165,22.367244,0,0,0,0,0.22119442,3.345208,0,0,0,3.3197724,0,0,0,0
166,22.732569,0,0,0,0,0.22480719,3.3998454,0,0,0,3.3739944,0,0,0,0
