Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa)
17,-3.0647005,0,0,0,0,0,0,0,0,-0.42450526,-0.50506024,0,0,0,0,0,0,-0.66720386,-2.8406209,-1.9678629,-0.11910318,0,0,0,0,-0.36710436,-0.83865728,-0.49368905,0,0,0,0,0,0,0,0,0,0
18,-3.1147285,0,0,0,0,0,0,0,0,-0.43143486,-0.51330482,0,0,0,0,0,0,-0.67809527,-2.8869911,-1.9999862,-0.12104742,0,0,0,0,-0.37309695,-0.85234749,-0.50174801,0,0,0,0,0,0,0,0,0,0
19,-3.1647566,0,0,0,0,0,0,0,0,-0.43836447,-0.5215494,0,0,0,0,0,0,-0.68898667,-2.9333613,-2.0321095,-0.12299165,0,0,0,0,-0.37908954,-0.86603769,-0.50980697,0,0,0,0,0,0,0,0,0,0
20,-3.2147846,0,0,0,0,0,0,0,0,-0.44529407,-0.52979398,0,0,0,0,0,0,-0.69987808,-2.9797314,-2.0642328,-0.12493589,0,0,0,0,-0.38508214,-0.87972789,-0.51786592,0,0,0,0,0,0,0,0,0,0
21,-3.2648126,0,0,0,0,0,0,0,0,-0.45222367,-0.53803856,0,0,0,0,0,0,-0.71076948,-3.0261016,-2.0963561,-0.12688012,0,0,0,0,-0.39107473,-0.89341809,-0.52592488,0,0,0,0,0,0,0,0,0,0
22,-3.3148407,0,0,0,0,0,0,0,0,-0.45915328,-0.54628314,0,0,0,0,0,0,-0.72166089,-3.0724718,-2.1284795,-0.12882436,0,0,0,0,-0.39706733,-0.9071083,-0.53398384,0,0,0,0,0,0,0,0,0,0
23,-3.3648687,0,0,0,0,0,0,0,0,-0.46608288,-0.55452772,0,0,0,0,0,0,-0.73255229,-3.1188419,-2.1606028,-0.13076859,0,0,0,0,-0.40305992,-0.9207985,-0.5420428,0,0,0,0,0,0,0,0,0,0
24,-3.4148967,0,0,0,0,0,0,0,0,-0.47301249,-0.5627723,0,0,0,0,0,0,-0.7434437,-3.1652121,-2.1927261,-0.13271283,0,0,0,0,-0.40905252,-0.9344887,-0.55010175,0,0,0,0,0,0,0,0,0,0
25,-3.4649247,0,0,0,0,0,0,0,0,-0.47994209,-0.57101688,0,0,0,0,0,0,-0.7543351,-3.2115823,-2.2248494,-0.13465706,0,0,0,0,-0.41504511,-0.94817891,-0.55816071,0,0,0,0,0,0,0,0,0,0
26,-3.5149528,0,0,0,0,0,0,0,0,-0.4868717,-0.57926146,0,0,0,0,0,0,-0.76522651,-3.2579524,-2.2569727,-0.1366013,0,0,0,0,-0.42103771,-0.96186911,-0.56621967,0,0,0,0,0,0,0,0,0,0
