Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa)
0,-32.801621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4224426,-3.8060713,-7.7810705,-9.1226527,-3.3955039,0,0,0,0,0,0,0,-0.96909027,-7.5918131,-20.236272,-26.246649,-16.288271,-2.6485488,0,0,0,0,0,0,0,-4.2956943,-14.577661,-20.639671,-10.980967,0,0,0,0,0,0,0,0,0,-0.36211699,0,0,0,0,0,0,0,0,0,0,0,0
1,-32.730458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4215261,-3.7978139,-7.7641894,-9.1028609,-3.3881373,0,0,0,0,0,0,0,-0.96698781,-7.5753425,-20.192369,-26.189707,-16.252933,-2.6428027,0,0,0,0,0,0,0,-4.2863748,-14.546035,-20.594893,-10.957144,0,0,0,0,0,0,0,0,0,-0.36133138,0,0,0,0,0,0,0,0,0,0,0,0
2,-32.659294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.42060961,-3.7895566,-7.7473082,-9.0830692,-3.3807707,0,0,0,0,0,0,0,-0.96488535,-7.558872,-20.148466,-26.132764,-16.217596,-2.6370567,0,0,0,0,0,0,0,-4.2770552,-14.514408,-20.550114,-10.93332,0,0,0,0,0,0,0,0,0,-0.36054576,0,0,0,0,0,0,0,0,0,0,0,0
3,-32.58813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.41969311,-3.7812993,-7.7304271,-9.0632775,-3.3734041,0,0,0,0,0,0,0,-0.9627829,-7.5424014,-20.104563,-26.075822,-16.182258,-2.6313106,0,0,0,0,0,0,0,-4.2677356,-14.482782,-20.505336,-10.909497,0,0,0,0,0,0,0,0,0,-0.35976014,0,0,0,0,0,0,0,0,0,0,0,0
4,-32.516967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.41877662,-3.773042,-7.7135459,-9.0434857,-3.3660375,0,0,0,0,0,0,0,-0.96068044,-7.5259309,-20.06066,-26.018879,-16.14692,-2.6255645,0,0,0,0,0,0,0,-4.258416,-14.451155,-20.460558,-10.885674,0,0,0,0,0,0,0,0,0,-0.35897452,0,0,0,0,0,0,0,0,0,0,0,0
5,-32.445803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.41786012,-3.7647846,-7.6966648,-9.023694,-3.3586709,0,0,0,0,0,0,0,-0.95857799,-7.5094603,-20.016757,-25.961937,-16.111583,-2.6198185,0,0,0,0,0,0,0,-4.2490965,-14.419529,-20.41578,-10.86185,0,0,0,0,0,0,0,0,0,-0.3581889,0,0,0,0,0,0,0,0,0,0,0,0
6,-32.37464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.41694363,-3.7565273,-7.6797836,-9.0039023,-3.3513043,0,0,0,0,0,0,0,-0.95647553,-7.4929898,-19.972855,-25.904994,-16.076245,-2.6140724,0,0,0,0,0,0,0,-4.2397769,-14.387902,-20.371002,-10.838027,0,0,0,0,0,0,0,0,0,-0.35740329,0,0,0,0,0,0,0,0,0,0,0,0
7,-32.303476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.41602713,-3.74827,-7.6629025,-8.9841106,-3.3439377,0,0,0,0,0,0,0,-0.95437308,-7.4765192,-19.928952,-25.848052,-16.040907,-2.6083263,0,0,0,0,0,0,0,-4.2304573,-14.356276,-20.326224,-10.814204,0,0,0,0,0,0,0,0,0,-0.35661767,0,0,0,0,0,0,0,0,0,0,0,0
8,-32.232312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.41511064,-3.7400127,-7.6460213,-8.9643188,-3.3365711,0,0,0,0,0,0,0,-0.95227062,-7.4600487,-19.885049,-25.791109,-16.00557,-2.6025803,0,0,0,0,0,0,0,-4.2211378,-14.324649,-20.281446,-10.79038,0,0,0,0,0,0,0,0,0,-0.35583205,0,0,0,0,0,0,0,0,0,0,0,0
9,-32.161149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.41419414,-3.7317553,-7.6291402,-8.9445271,-3.3292045,0,0,0,0,0,0,0,-0.95016817,-7.4435781,-19.841146,-25.734167,-15.970232,-2.5968342,0,0,0,0,0,0,0,-4.2118182,-14.293023,-20.236668,-10.766557,0,0,0,0,0,0,0,0,0,-0.35504643,0,0,0,0,0,0,0,0,0,0,0,0
