X coord (mm),Y coord (mm)
10.6255,4.91076
2.34024,0.996647
2.34024,0.996647
3.14354,0.925659
3.51912,0.911996
3.90377,0.895057
4.41577,1.15231
5.06694,0.843643
5.5712,1.101
5.96286,1.08328
6.35216,1.06507
7.10005,1.03035
7.45657,1.01189
8.15847,0.985472
8.15847,0.985472
9.17234,0.941389
9.4952,0.928485
10.1208,0.904417
10.4304,0.889027
11.0409,0.860996
11.4427,1.11701
12.0449,1.09153
12.6309,1.0662
12.9107,1.05391
1.92577,1.83005
2.72166,1.80199
3.09143,1.78533
3.35413,1.48301
4.14622,1.44185
4.54233,1.42494
4.92103,1.4052
5.42449,1.65744
6.09126,1.35446
6.59479,1.60985
6.97227,1.59275
7.34048,1.57411
8.05091,1.54442
8.40958,1.53095
9.08059,1.50696
9.39686,1.48915
10.0294,1.46153
10.6362,1.42989
10.9346,1.41418
11.5364,1.3847
11.9107,1.63586
12.4875,1.60661
13.0554,1.57904
2.01132,2.11483
2.72166,1.80199
3.18626,2.05716
3.57089,2.03899
3.96783,2.02028
4.36112,1.98929
5.1181,1.93833
5.52876,1.93026
5.92293,1.91277
6.40458,2.1613
7.07137,1.86438
7.53504,2.11812
7.89357,2.10246
8.60277,2.0787
8.93225,2.06479
9.57051,2.04018
9.88513,2.0248
10.5058,1.99279
11.0899,1.95468
11.3771,1.93506
11.9721,1.90132
12.5514,1.87255
12.8927,2.1187
2.08501,2.40134
2.48443,2.37622
2.94831,2.63229
3.32253,2.60835
4.10188,2.56341
4.49544,2.5373
4.87694,2.51218
5.69462,2.4818
6.09144,2.45689
6.49449,2.46019
6.8764,2.42124
7.63281,2.38789
7.98945,2.37335
8.42375,2.63527
9.09384,2.61726
9.40741,2.60648
10.0151,2.57833
10.6265,2.54168
10.9226,2.51951
11.5033,2.47346
12.0885,2.43285
12.3759,2.41412
12.9475,2.37848
1.789,2.98453
2.61421,2.93015
3.01136,2.90745
3.38618,2.88247
3.84143,3.13462
4.63421,3.08787
5.03235,3.06455
5.42616,3.04264
5.8422,3.02147
6.6527,2.97992
7.03693,2.95812
7.41729,2.94033
8.14282,2.91915
8.49085,2.91099
9.15688,2.89247
9.46241,2.88111
10.07,2.85406
10.4233,3.11267
11.0182,3.06192
11.6071,3.00501
11.8956,2.981
12.4692,2.93687
13.0492,2.89929
1.86069,3.54927
2.7067,3.48883
3.10927,3.46321
3.49697,3.43752
3.89641,3.41233
4.33198,3.66164
5.13899,3.61358
5.53933,3.58949
5.94551,3.56277
6.34702,3.53916
7.1264,3.49747
7.50599,3.47715
7.87394,3.46653
8.58651,3.45072
8.92903,3.45507
9.56409,3.43231
9.87299,3.42203
10.4704,3.38582
11.0973,3.59563
11.3925,3.55994
11.9781,3.50001
12.555,3.45497
13.1363,3.41747
2.31101,3.80579
2.31101,3.80579
3.12851,3.7419
3.54408,4.00323
3.93048,3.69115
4.3596,3.9497
5.17691,3.88939
5.57866,3.86496
5.98883,3.83689
6.39142,3.81165
7.22909,4.03949
7.61359,4.01782
7.97851,3.99893
8.34392,3.98786
9.02415,3.98767
9.35108,3.99073
9.96171,3.95998
10.5581,3.92747
10.8441,3.89399
11.4628,4.08032
12.0532,4.01895
12.6398,3.97113
12.9251,3.95353
1.89791,4.96059
2.33396,4.89617
3.15327,5.15022
3.54408,4.00323
4.00067,5.09919
4.39493,5.05421
5.23413,4.711
5.65785,4.68229
5.65785,4.68229
6.51079,4.88917
6.93949,4.87974
7.61359,4.01782
7.97851,3.99893
8.44754,4.77334
9.15038,4.9886
9.35108,3.99073
10.2897,4.22905
10.6028,4.44596
10.9012,4.40541
11.5111,4.58495
12.1066,4.53601
12.4076,4.51006
12.9794,4.46648
1.89791,4.96059
2.33396,4.89617
3.15327,5.15022
3.15327,5.15022
4.00067,5.09919
4.39493,5.05421
4.81666,5.02792
5.65526,4.95407
6.09541,4.91942
6.51079,4.88917
6.93949,4.87974
7.32436,5.09277
8.10684,5.04413
8.47945,5.02668
9.15038,4.9886
9.48496,5.21303
10.345,5.16659
10.6255,4.91076
10.9252,4.88866
11.5334,5.08984
12.1307,5.05287
12.4287,5.03599
13.006,4.9947
1.86482,5.57745
2.2962,5.53243
3.13368,5.46057
3.53573,5.42715
3.96788,5.3904
4.39196,5.35647
5.22591,5.56487
5.66158,5.52572
6.09492,5.48323
6.51301,5.44779
6.92626,5.41173
7.32979,5.37835
8.08478,5.59069
8.44471,5.56308
9.13714,5.50793
9.45942,5.48493
10.0606,5.44777
10.6445,5.40942
10.939,5.38398
11.5374,5.61442
12.1412,5.58481
12.4421,5.56387
13.028,5.52919
1.82634,5.87458
2.64667,6.08973
3.06365,6.05216
3.46627,6.01223
3.8791,5.97687
4.30816,5.93897
5.13377,6.14929
5.58933,6.1005
6.0325,6.05479
6.47006,6.01058
6.88514,5.97349
7.67252,5.90221
8.04346,5.86916
8.36332,6.11892
9.06509,6.05629
9.39849,6.02586
10.0155,5.98362
10.6187,5.94151
10.9174,5.92573
11.5365,5.89072
12.136,6.12369
12.4301,6.10639
13.0111,6.07098
2.15392,6.43848
2.58372,6.39561
3.00373,6.35454
3.36218,6.615
4.21145,6.53468
4.64023,6.48985
5.08034,6.44657
5.5411,6.39464
5.93824,6.64117
6.37334,6.5936
7.17398,6.51954
7.56184,6.48305
7.93858,6.44871
8.6198,6.66915
8.97052,6.6344
9.6319,6.57874
9.94934,6.55377
10.5689,6.51009
10.8821,6.48854
11.5109,6.44591
12.1224,6.40072
12.4143,6.38234
12.971,6.62534
2.00165,7.05983
2.45385,7.01338
2.87912,6.96767
3.30843,6.92307
4.08198,7.14788
4.50105,7.10546
4.9479,7.0541
5.39062,7.0006
5.84749,6.94716
6.61719,7.16335
7.03055,7.11811
7.43334,7.07881
7.82421,7.03897
8.56512,6.96414
8.91314,6.93279
9.58209,6.87455
9.90508,6.85082
10.4994,7.0946
11.1295,7.04991
11.4491,7.01999
12.0645,6.97008
12.3686,6.94794
12.9484,6.90597
1.91649,7.37728
2.37851,7.32491
3.13148,7.55266
3.566,7.50829
3.99226,7.4617
4.41752,7.41626
4.85804,7.36573
5.65072,7.57505
6.09695,7.52146
6.53204,7.47152
6.94956,7.42563
7.36603,7.37935
8.06069,7.60419
8.42272,7.57002
9.12679,7.50586
9.4663,7.47682
10.1314,7.42169
10.454,7.39419
11.0231,7.64367
11.6585,7.58342
11.9714,7.55409
12.5858,7.49922
12.886,7.47429
2.17032,7.9651
2.61806,7.91686
3.02751,7.87307
3.46278,7.82736
3.80393,8.09592
4.67804,7.99352
5.11064,7.94311
5.56428,7.88654
6.0091,7.83294
6.33114,8.10049
7.15668,8.00919
7.56333,7.96235
7.95248,7.9207
8.56668,8.17354
8.91881,8.14143
9.61985,8.07683
9.96097,8.04475
10.6205,7.98148
10.946,7.95269
11.5937,7.88584
11.9122,7.85364
12.4772,8.09057
13.0839,8.03367
1.95436,8.62729
2.39153,8.57468
2.83636,8.52176
3.70346,8.41657
4.13897,8.3662
