Time (ms),Stress at 0.00 mm (kPa),Stress at 0.22 mm (kPa),Stress at 0.43 mm (kPa),Stress at 0.62 mm (kPa),Stress at 0.82 mm (kPa),Stress at 1.02 mm (kPa),Stress at 1.22 mm (kPa),Stress at 1.43 mm (kPa),Stress at 1.63 mm (kPa),Stress at 1.83 mm (kPa),Stress at 2.03 mm (kPa),Stress at 2.23 mm (kPa),Stress at 2.42 mm (kPa),Stress at 2.63 mm (kPa)
0,-3.6129982,-3.2675237,-2.9275188,-2.4160613,-1.8932212,-1.5163454,-1.0822178,-0.73467291,-0.43926627,-0.30598515,-0.16815018,-0.046717649,0,0
1,-3.6043817,-3.2597311,-2.9205371,-2.4102994,-1.8887062,-1.5127291,-1.0796369,-0.73292082,-0.43821869,-0.30525541,-0.16774916,-0.046606234,0,0
2,-3.5957652,-3.2519386,-2.9135554,-2.4045374,-1.8841911,-1.5091128,-1.0770559,-0.73116873,-0.4371711,-0.30452568,-0.16734815,-0.046494819,0,0
3,-3.5871487,-3.244146,-2.9065736,-2.3987755,-1.879676,-1.5054966,-1.074475,-0.72941664,-0.43612351,-0.30379595,-0.16694713,-0.046383404,0,0
4,-3.5785322,-3.2363534,-2.8995919,-2.3930135,-1.875161,-1.5018803,-1.0718941,-0.72766455,-0.43507593,-0.30306622,-0.16654612,-0.046271989,0,0
5,-3.5699157,-3.2285608,-2.8926102,-2.3872515,-1.8706459,-1.498264,-1.0693131,-0.72591246,-0.43402834,-0.30233649,-0.16614511,-0.046160574,0,0
6,-3.5612993,-3.2207683,-2.8856285,-2.3814896,-1.8661309,-1.4946478,-1.0667322,-0.72416037,-0.43298075,-0.30160676,-0.16574409,-0.046049159,0,0
7,-3.5526828,-3.2129757,-2.8786468,-2.3757276,-1.8616158,-1.4910315,-1.0641513,-0.72240828,-0.43193316,-0.30087703,-0.16534308,-0.045937744,0,0
8,-3.5440663,-3.2051831,-2.8716651,-2.3699657,-1.8571007,-1.4874152,-1.0615703,-0.72065619,-0.43088558,-0.3001473,-0.16494206,-0.04582633,0,0
9,-3.5354498,-3.1973905,-2.8646834,-2.3642037,-1.8525857,-1.483799,-1.0589894,-0.7189041,-0.42983799,-0.29941757,-0.16454105,-0.045714915,0,0
10,-3.5268333,-3.189598,-2.8577017,-2.3584417,-1.8480706,-1.4801827,-1.0564085,-0.71715201,-0.4287904,-0.29868784,-0.16414004,-0.0456035,0,0
11,-3.5182168,-3.1818054,-2.8507199,-2.3526798,-1.8435556,-1.4765665,-1.0538275,-0.71539993,-0.42774282,-0.29795811,-0.16373902,-0.045492085,0,0
12,-3.5096004,-3.1740128,-2.8437382,-2.3469178,-1.8390405,-1.4729502,-1.0512466,-0.71364784,-0.42669523,-0.29722838,-0.16333801,-0.04538067,0,0
13,-3.5009839,-3.1662202,-2.8367565,-2.3411559,-1.8345254,-1.4693339,-1.0486657,-0.71189575,-0.42564764,-0.29649865,-0.16293699,-0.045269255,0,0
14,-3.4923674,-3.1584277,-2.8297748,-2.3353939,-1.8300104,-1.4657177,-1.0460847,-0.71014366,-0.42460005,-0.29576892,-0.16253598,-0.04515784,0,0
15,-3.4837509,-3.1506351,-2.8227931,-2.3296319,-1.8254953,-1.4621014,-1.0435038,-0.70839157,-0.42355247,-0.29503918,-0.16213496,-0.045046425,0,0
16,-3.4751344,-3.1428425,-2.8158114,-2.32387,-1.8209802,-1.4584851,-1.0409229,-0.70663948,-0.42250488,-0.29430945,-0.16173395,-0.04493501,0,0
