Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa)
0,-3.6129982,0,0,0,0,0,-0.58810034,-0.93090741,0,0,0,0,0,0
1,-3.6043817,0,0,0,0,0,-0.58669781,-0.92868733,0,0,0,0,0,0
2,-3.5957652,0,0,0,0,0,-0.58529527,-0.92646725,0,0,0,0,0,0
3,-3.5871487,0,0,0,0,0,-0.58389274,-0.92424717,0,0,0,0,0,0
4,-3.5785322,0,0,0,0,0,-0.5824902,-0.92202709,0,0,0,0,0,0
5,-3.5699157,0,0,0,0,0,-0.58108767,-0.91980701,0,0,0,0,0,0
6,-3.5612993,0,0,0,0,0,-0.57968513,-0.91758693,0,0,0,0,0,0
7,-3.5526828,0,0,0,0,0,-0.5782826,-0.91536685,0,0,0,0,0,0
8,-3.5440663,0,0,0,0,0,-0.57688006,-0.91314677,0,0,0,0,0,0
9,-3.5354498,0,0,0,0,0,-0.57547753,-0.91092669,0,0,0,0,0,0
10,-3.5268333,0,0,0,0,0,-0.57407499,-0.90870661,0,0,0,0,0,0
11,-3.5182168,0,0,0,0,0,-0.57267246,-0.90648653,0,0,0,0,0,0
12,-3.5096004,0,0,0,0,0,-0.57126992,-0.90426644,0,0,0,0,0,0
13,-3.5009839,0,0,0,0,0,-0.56986739,-0.90204636,0,0,0,0,0,0
14,-3.4923674,0,0,0,0,0,-0.56846485,-0.89982628,0,0,0,0,0,0
15,-3.4837509,0,0,0,0,0,-0.56706232,-0.8976062,0,0,0,0,0,0
16,-3.4751344,0,0,0,0,0,-0.56565978,-0.89538612,0,0,0,0,0,0
17,-3.4665179,0,0,0,0,0,-0.56425725,-0.89316604,0,0,0,0,0,0
18,-3.4579015,0,0,0,0,0,-0.56285471,-0.89094596,0,0,0,0,0,0
19,-3.449285,0,0,0,0,0,-0.56145218,-0.88872588,0,0,0,0,0,0
20,-3.4406685,0,0,0,0,0,-0.56004964,-0.8865058,0,0,0,0,0,0
21,-3.432052,0,0,0,0,0,-0.55864711,-0.88428572,0,0,0,0,0,0
22,-3.4234355,0,0,0,0,0,-0.55724457,-0.88206564,0,0,0,0,0,0
23,-3.414819,0,0,0,0,0,-0.55584204,-0.87984556,0,0,0,0,0,0
24,-3.4062026,0,0,0,0,0,-0.5544395,-0.87762548,0,0,0,0,0,0
25,-3.3975861,0,0,0,0,0,-0.55303697,-0.87540539,0,0,0,0,0,0
26,-3.3889696,0,0,0,0,0,-0.55163443,-0.87318531,0,0,0,0,0,0
27,-3.3803531,0,0,0,0,0,-0.5502319,-0.87096523,0,0,0,0,0,0
28,-3.3717366,0,0,0,0,0,-0.54882936,-0.86874515,0,0,0,0,0,0
29,-3.3631202,0,0,0,0,0,-0.54742683,-0.86652507,0,0,0,0,0,0
30,-3.3545037,0,0,0,0,0,-0.54602429,-0.86430499,0,0,0,0,0,0
31,-3.3458872,0,0,0,0,0,-0.54462176,-0.86208491,0,0,0,0,0,0
32,-3.3372707,0,0,0,0,0,-0.54321922,-0.85986483,0,0,0,0,0,0
33,-3.3286542,0,0,0,0,0,-0.54181669,-0.85764475,0,0,0,0,0,0
34,-3.3200377,0,0,0,0,0,-0.54041415,-0.85542467,0,0,0,0,0,0
35,-3.3114213,0,0,0,0,0,-0.53901162,-0.85320459,0,0,0,0,0,0
36,-3.3028048,0,0,0,0,0,-0.53760908,-0.85098451,0,0,0,0,0,0
37,-3.2941883,0,0,0,0,0,-0.53620655,-0.84876442,0,0,0,0,0,0
38,-3.2855718,0,0,0,0,0,-0.53480401,-0.84654434,0,0,0,0,0,0
39,-3.2769553,0,0,0,0,0,-0.53340148,-0.84432426,0,0,0,0,0,0
40,-3.2683388,0,0,0,0,0,-0.53199894,-0.84210418,0,0,0,0,0,0
41,-3.2597224,0,0,0,0,0,-0.53059641,-0.8398841,0,0,0,0,0,0
42,-3.2511059,0,0,0,0,0,-0.52919387,-0.83766402,0,0,0,0,0,0
43,-3.2424894,0,0,0,0,0,-0.52779134,-0.83544394,0,0,0,0,0,0
44,-3.2338729,0,0,0,0,0,-0.5263888,-0.83322386,0,0,0,0,0,0
45,-3.2252564,0,0,0,0,0,-0.52498627,-0.83100378,0,0,0,0,0,0
46,-3.2166399,0,0,0,0,0,-0.52358373,-0.8287837,0,0,0,0,0,0
47,-3.2080235,0,0,0,0,0,-0.5221812,-0.82656362,0,0,0,0,0,0
48,-3.199407,0,0,0,0,0,-0.52077866,-0.82434354,0,0,0,0,0,0
49,-3.1907905,0,0,0,0,0,-0.51937613,-0.82212346,0,0,0,0,0,0
50,-3.182174,0,0,0,0,0,-0.51797359,-0.81990337,0,0,0,0,0,0
51,-3.1735575,0,0,0,0,0,-0.51657106,-0.81768329,0,0,0,0,0,0
52,-3.164941,0,0,0,0,0,-0.51516852,-0.81546321,0,0,0,0,0,0
53,-3.1563246,0,0,0,0,0,-0.51376599,-0.81324313,0,0,0,0,0,0
54,-3.1477081,0,0,0,0,0,-0.51236345,-0.81102305,0,0,0,0,0,0
55,-3.1390916,0,0,0,0,0,-0.51096092,-0.80880297,0,0,0,0,0,0
56,-3.1304751,0,0,0,0,0,-0.50955838,-0.80658289,0,0,0,0,0,0
57,-3.1218586,0,0,0,0,0,-0.50815585,-0.80436281,0,0,0,0,0,0
58,-3.1132421,0,0,0,0,0,-0.50675331,-0.80214273,0,0,0,0,0,0
59,-3.1046257,0,0,0,0,0,-0.50535078,-0.79992265,0,0,0,0,0,0
60,-3.0960092,0,0,0,0,0,-0.50394824,-0.79770257,0,0,0,0,0,0
61,-3.0873927,0,0,0,0,0,-0.50254571,-0.79548249,0,0,0,0,0,0
62,-3.0787762,0,0,0,0,0,-0.50114317,-0.7932624,0,0,0,0,0,0
63,-3.0701597,0,0,0,0,0,-0.49974064,-0.79104232,0,0,0,0,0,0
64,-3.0615432,0,0,0,0,0,-0.4983381,-0.78882224,0,0,0,0,0,0
65,-3.0529268,0,0,0,0,0,-0.49693557,-0.78660216,0,0,0,0,0,0
66,-3.0443103,0,0,0,0,0,-0.49553303,-0.78438208,0,0,0,0,0,0
67,-3.0356938,0,0,0,0,0,-0.4941305,-0.782162,0,0,0,0,0,0
68,-3.0270773,0,0,0,0,0,-0.49272796,-0.77994192,0,0,0,0,0,0
69,-3.0184608,0,0,0,0,0,-0.49132543,-0.77772184,0,0,0,0,0,0
70,-3.0098444,0,0,0,0,0,-0.48992289,-0.77550176,0,0,0,0,0,0
71,-3.0012279,0,0,0,0,0,-0.48852036,-0.77328168,0,0,0,0,0,0
72,-2.9926114,0,0,0,0,0,-0.48711782,-0.7710616,0,0,0,0,0,0
73,-2.9839949,0,0,0,0,0,-0.48571529,-0.76884152,0,0,0,0,0,0
74,-2.9753784,0,0,0,0,0,-0.48431275,-0.76662144,0,0,0,0,0,0
75,-2.9667619,0,0,0,0,0,-0.48291022,-0.76440135,0,0,0,0,0,0
76,-2.9581455,0,0,0,0,0,-0.48150768,-0.76218127,0,0,0,0,0,0
77,-2.949529,0,0,0,0,0,-0.48010515,-0.75996119,0,0,0,0,0,0
78,-2.9409125,0,0,0,0,0,-0.47870261,-0.75774111,0,0,0,0,0,0
79,-2.932296,0,0,0,0,0,-0.47730008,-0.75552103,0,0,0,0,0,0
